# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=279 anchor_m=7 Swiss=11 | 加速烙刀,绵鳚,篝火,打火机,大钢弩,三花,燃烧响炮
  4. RR=236 anchor_m=235 Swiss=11 | 集成式HUD,吸血章鱼,沙滩充气球,潜水配重,六分仪,淬锋钢,牌桌
  5. RR=235 anchor_m=235 Swiss=10 | 吸血章鱼,潜水配重,沙滩充气球,六分仪,淬锋钢,枪套,牌桌
  6. RR=229 anchor_m=229 Swiss=11 | 吸血章鱼,潜水配重,沙滩充气球,六分仪,烈酒杯,牌桌,淬锋钢
  7. RR=227 anchor_m=227 Swiss=10 | 烈酒杯,吸血章鱼,水车,潜水配重,六分仪,牌桌
  8. RR=218 anchor_m=218 Swiss=10 | 吸血章鱼,码头缆索,潜水配重,六分仪,牌桌,星盘
  9. RR=214 anchor_m=214 Swiss=11 | 集成式HUD,吸血章鱼,潜水配重,沙滩充气球,六分仪,牌桌,烈酒杯
  10. RR=197 anchor_m=195 Swiss=11 | 沙滩充气球,牌桌,定制准镜,吸血章鱼,潜水配重,淬锋钢,六分仪
  11. RR=195 anchor_m=195 Swiss=10 | 码头缆索,吸血章鱼,牌桌,烈酒杯,沙滩充气球,六分仪
  12. RR=190 anchor_m=190 Swiss=10 | 消音器,吸血章鱼,水车,潜水配重,六分仪,牌桌
  13. RR=186 anchor_m=186 Swiss=9 | 海影宝驹,迷幻蝠鲼,吸血章鱼,船舵,沙滩充气球,六分仪
  14. RR=186 anchor_m=186 Swiss=10 | 集成式HUD,吸血章鱼,潜水配重,沙滩充气球,六分仪,定制准镜,牌桌
  15. RR=180 anchor_m=180 Swiss=10 | 吸血章鱼,炮弹,潜水配重,六分仪,沙滩充气球,牌桌,淬锋钢
  16. RR=179 anchor_m=179 Swiss=9 | 定制准镜,吸血章鱼,潜水配重,沙滩充气球,六分仪,牌桌,烈酒杯
  17. RR=175 anchor_m=175 Swiss=10 | 吸血章鱼,水车,潜水配重,六分仪,牌桌,枪套
  18. RR=173 anchor_m=173 Swiss=10 | 吸血章鱼,船舵,潜水配重,海影宝驹,六分仪,牌桌
  19. RR=173 anchor_m=173 Swiss=10 | 淬锋钢,烈酒杯,吸血章鱼,潜水配重,沙滩充气球,大钢弩,六分仪
  20. RR=173 anchor_m=173 Swiss=10 | 吸血章鱼,潜水配重,沙滩充气球,六分仪,牌桌,枪套,烈酒杯

[GDF] seeds: 减速烙刀
[GDF] size=10 top 20
  1. RR=233 anchor_m=233 Swiss=10 | 枪套,火药角,烈酒杯,拍立蚌,大钢弩,皮皮虾,绵鳚,减速烙刀
  2. RR=202 anchor_m=202 Swiss=12 | 流星索,火药角,烈酒杯,拍立蚌,燃烧响炮,皮皮虾,十手,绵鳚,减速烙刀
  3. RR=194 anchor_m=192 Swiss=11 | 流星索,大钢弩,皮皮虾,拍立蚌,火药角,烈酒杯,减速烙刀,十手
  4. RR=193 anchor_m=192 Swiss=10 | 皮皮虾,火药角,烈酒杯,绵鳚,减速烙刀,拍立蚌,大钢弩,燃烧响炮
  5. RR=184 anchor_m=184 Swiss=10 | 流星索,皮皮虾,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,十手,燃烧响炮
  6. RR=182 anchor_m=182 Swiss=10 | 减速烙刀,绵鳚,迷幻蝠鲼,皮皮虾,十手,拍立蚌,燃烧响炮,炮弹,烈酒杯
  7. RR=182 anchor_m=182 Swiss=10 | 燃烧响炮,减速烙刀,绵鳚,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,十手,拍立蚌
  8. RR=182 anchor_m=182 Swiss=10 | 流星索,皮皮虾,迷幻蝠鲼,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,十手
  9. RR=179 anchor_m=179 Swiss=9 | 流星索,拍立蚌,大钢弩,皮皮虾,火药角,烈酒杯,绵鳚,减速烙刀
  10. RR=177 anchor_m=177 Swiss=11 | 减速烙刀,绵鳚,迷幻蝠鲼,皮皮虾,流星索,火药角,烈酒杯,十手,拍立蚌
  11. RR=173 anchor_m=173 Swiss=11 | 流星索,皮皮虾,珊瑚,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,十手
  12. RR=172 anchor_m=172 Swiss=10 | 减速烙刀,绵鳚,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,流星索,拍立蚌,燃烧响炮
  13. RR=171 anchor_m=171 Swiss=10 | 珊瑚,火药角,烈酒杯,燃烧响炮,皮皮虾,十手,绵鳚,减速烙刀,拍立蚌
  14. RR=169 anchor_m=169 Swiss=10 | 减速烙刀,绵鳚,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,十手,理查森先生,拍立蚌
  15. RR=165 anchor_m=165 Swiss=10 | 拍立蚌,火药角,烈酒杯,十手,大钢弩,皮皮虾,燃烧响炮,减速烙刀
  16. RR=165 anchor_m=165 Swiss=10 | 流星索,皮皮虾,拍立蚌,盐钳海盗,火药角,烈酒杯,减速烙刀,锁镰,十手
  17. RR=164 anchor_m=156 Swiss=10 | 大钢弩,拍立蚌,火药角,烈酒杯,十手,锁镰,皮皮虾,减速烙刀
  18. RR=161 anchor_m=161 Swiss=10 | 大钢弩,减速烙刀,绵鳚,迷幻蝠鲼,皮皮虾,炮弹,烈酒杯,十手
  19. RR=161 anchor_m=161 Swiss=10 | 流星索,皮皮虾,拍立蚌,火药角,烈酒杯,减速烙刀,小冰镐,锁镰,十手
  20. RR=159 anchor_m=159 Swiss=10 | 流星索,拍立蚌,皮皮虾,火药角,烈酒杯,打火机,减速烙刀,绵鳚,十手

[GDF] seeds: 刺刀
[GDF] size=10 top 20
  1. RR=218 anchor_m=11 Swiss=11 | 小冰镐,刺刀,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,拍立蚌
  2. RR=210 anchor_m=22 Swiss=11 | 小冰镐,刺刀,皮皮虾,迷幻蝠鲼,绵鳚,元素深水炸弹,雪怪蟹,水母,拍立蚌
  3. RR=191 anchor_m=40 Swiss=10 | 小冰镐,刺刀,拍立蚌,绵鳚,元素深水炸弹,雪怪蟹,水母,鱼饵,水草
  4. RR=198 anchor_m=1 Swiss=10 | 小冰镐,刺刀,珊瑚,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,拍立蚌
  5. RR=185 anchor_m=25 Swiss=11 | 小冰镐,刺刀,珊瑚,绵鳚,元素深水炸弹,雪怪蟹,水母,鱼饵,水草
  6. RR=187 anchor_m=16 Swiss=10 | 小冰镐,刺刀,珊瑚,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,拍立蚌
  7. RR=177 anchor_m=23 Swiss=10 | 小冰镐,刺刀,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,珊瑚
  8. RR=177 anchor_m=20 Swiss=11 | 小冰镐,刺刀,珍珠,毒须鲶,雪怪蟹,元素深水炸弹,绵鳚,潜水配重,水草
  9. RR=177 anchor_m=19 Swiss=9 | 小冰镐,刺刀,迷幻蝠鲼,绵鳚,元素深水炸弹,雪怪蟹,水母,拍立蚌,水草
  10. RR=172 anchor_m=18 Swiss=9 | 小冰镐,刺刀,盐钳海盗,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,珊瑚
  11. RR=169 anchor_m=22 Swiss=10 | 小冰镐,刺刀,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,龙涎香,珊瑚
  12. RR=177 anchor_m=5 Swiss=10 | 小冰镐,刺刀,珊瑚,绵鳚,元素深水炸弹,雪怪蟹,水母,拍立蚌,皮皮虾
  13. RR=174 anchor_m=9 Swiss=9 | 小冰镐,刺刀,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,龙涎香,拍立蚌
  14. RR=181 anchor_m=-9 Swiss=10 | 小冰镐,刺刀,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,珊瑚
  15. RR=166 anchor_m=21 Swiss=10 | 小冰镐,刺刀,龙涎香,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,珊瑚
  16. RR=166 anchor_m=20 Swiss=10 | 小冰镐,刺刀,潜水配重,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,水草
  17. RR=167 anchor_m=16 Swiss=11 | 小冰镐,刺刀,迷幻蝠鲼,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,水草
  18. RR=161 anchor_m=24 Swiss=10 | 小冰镐,刺刀,毒须鲶,雪怪蟹,元素深水炸弹,绵鳚,潜水配重,水草,海螺壳
  19. RR=162 anchor_m=22 Swiss=10 | 小冰镐,刺刀,理查森先生,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,拍立蚌
  20. RR=163 anchor_m=16 Swiss=9 | 小冰镐,刺刀,盐钳海盗,鱼饵,绵鳚,元素深水炸弹,雪怪蟹,水母,拍立蚌

[GDF] seeds: 加速烙刀
[GDF] size=10 top 20
  1. RR=263 anchor_m=263 Swiss=11 | 燃烧响炮,枪套,水母,潜水配重,绵鳚,加速烙刀,大钢弩,打火机
  2. RR=247 anchor_m=247 Swiss=11 | 枪套,燃烧响炮,大钢弩,加速烙刀,绵鳚,潜水配重,水母,拍立蚌
  3. RR=243 anchor_m=239 Swiss=11 | 飞鱼,潜水配重,绵鳚,加速烙刀,枪套,大钢弩,打火机,燃烧响炮
  4. RR=215 anchor_m=215 Swiss=10 | 燃烧响炮,燃烧子弹,拍立蚌,大钢弩,加速烙刀,绵鳚,篝火
  5. RR=215 anchor_m=215 Swiss=11 | 枪套,燃烧响炮,大钢弩,加速烙刀,绵鳚,潜水配重,水母,珊瑚
  6. RR=213 anchor_m=209 Swiss=11 | 大钢弩,燃烧响炮,燃烧子弹,加速烙刀,篝火,绵鳚,打火机
  7. RR=200 anchor_m=200 Swiss=10 | 烈酒杯,枪套,燃烧响炮,大钢弩,加速烙刀,绵鳚,潜水配重,水母
  8. RR=192 anchor_m=192 Swiss=10 | 燃烧响炮,绵鳚,加速烙刀,大钢弩,枪套,篝火,打火机
  9. RR=189 anchor_m=189 Swiss=10 | 枪套,燃烧响炮,打火机,大钢弩,烈酒杯,潜水配重,绵鳚,加速烙刀
  10. RR=189 anchor_m=189 Swiss=10 | 枪套,烈酒杯,燃烧响炮,燃烧子弹,潜水配重,绵鳚,加速烙刀,大钢弩
  11. RR=184 anchor_m=184 Swiss=10 | 飞鱼,潜水配重,绵鳚,加速烙刀,枪套,大钢弩,燃烧子弹,打火机
  12. RR=179 anchor_m=178 Swiss=9 | 枪套,燃烧响炮,大钢弩,流星索,加速烙刀,绵鳚,潜水配重,水母
  13. RR=177 anchor_m=177 Swiss=10 | 燃烧响炮,绵鳚,潜水配重,大钢弩,加速烙刀,篝火,枪套
  14. RR=172 anchor_m=170 Swiss=10 | 枪套,藏刃匕首,大钢弩,燃烧响炮,飞鱼,潜水配重,绵鳚,加速烙刀
  15. RR=171 anchor_m=171 Swiss=10 | 藏刃匕首,枪套,燃烧响炮,大钢弩,加速烙刀,绵鳚,潜水配重,水母
  16. RR=170 anchor_m=170 Swiss=10 | 枪套,燃烧响炮,大钢弩,烈酒杯,皮皮虾,潜水配重,绵鳚,加速烙刀
  17. RR=166 anchor_m=166 Swiss=10 | 燃烧响炮,枪套,潜水配重,绵鳚,加速烙刀,大钢弩,藏刃匕首,打火机
  18. RR=166 anchor_m=166 Swiss=10 | 小冰镐,枪套,燃烧响炮,大钢弩,烈酒杯,潜水配重,绵鳚,加速烙刀
  19. RR=164 anchor_m=164 Swiss=10 | 大钢弩,燃烧响炮,绵鳚,烈酒杯,加速烙刀,篝火,打火机
  20. RR=164 anchor_m=164 Swiss=11 | 枪套,流星索,燃烧响炮,燃烧子弹,潜水配重,绵鳚,加速烙刀,大钢弩

[GDF] seeds: 十手
[GDF] size=10 top 20
  1. RR=283 anchor_m=32 Swiss=11 | 大钢弩,十手,打火机,绵鳚,加速烙刀,篝火,燃烧响炮
  2. RR=273 anchor_m=182 Swiss=11 | 十手,绵鳚,打火机,燃烧子弹,拍立蚌,加速烙刀,篝火,燃烧响炮
  3. RR=271 anchor_m=140 Swiss=11 | 十手,绵鳚,打火机,燃烧子弹,加速烙刀,篝火,燃烧响炮,珊瑚
  4. RR=244 anchor_m=169 Swiss=10 | 十手,绵鳚,打火机,燃烧子弹,套娃,加速烙刀,篝火,燃烧响炮
  5. RR=234 anchor_m=173 Swiss=10 | 烈酒杯,十手,绵鳚,打火机,燃烧子弹,加速烙刀,篝火,燃烧响炮
  6. RR=234 anchor_m=167 Swiss=10 | 十手,绵鳚,打火机,燃烧子弹,流星索,加速烙刀,篝火,燃烧响炮
  7. RR=237 anchor_m=153 Swiss=11 | 十手,绵鳚,打火机,燃烧子弹,加速烙刀,篝火,理查森先生,燃烧响炮
  8. RR=230 anchor_m=157 Swiss=10 | 十手,绵鳚,打火机,燃烧子弹,淬锋钢,加速烙刀,篝火,燃烧响炮
  9. RR=222 anchor_m=170 Swiss=10 | 枪套,十手,绵鳚,打火机,燃烧子弹,加速烙刀,篝火,燃烧响炮
  10. RR=206 anchor_m=181 Swiss=10 | 十手,打火机,加速烙刀,篝火,枪套,大钢弩,燃烧响炮
  11. RR=238 anchor_m=99 Swiss=10 | 十手,枪套,打火机,绵鳚,加速烙刀,篝火,珊瑚,燃烧响炮
  12. RR=236 anchor_m=47 Swiss=10 | 大钢弩,十手,打火机,燃烧子弹,加速烙刀,篝火,燃烧响炮
  13. RR=205 anchor_m=108 Swiss=10 | 手斧,十手,绵鳚,打火机,燃烧子弹,加速烙刀,篝火,燃烧响炮
  14. RR=200 anchor_m=116 Swiss=10 | 十手,打火机,绵鳚,加速烙刀,篝火,燃烧响炮,枪套,流星索
  15. RR=181 anchor_m=154 Swiss=10 | 十手,绵鳚,打火机,燃烧子弹,左轮手枪,加速烙刀,篝火,燃烧响炮
  16. RR=180 anchor_m=133 Swiss=10 | 拍立蚌,十手,枪套,打火机,绵鳚,加速烙刀,篝火,燃烧响炮
  17. RR=171 anchor_m=149 Swiss=9 | 十手,绵鳚,打火机,燃烧子弹,独角鲸,加速烙刀,篝火,燃烧响炮
  18. RR=207 anchor_m=76 Swiss=11 | 十手,葡萄弹,绵鳚,打火机,燃烧子弹,加速烙刀,篝火,燃烧响炮
  19. RR=195 anchor_m=88 Swiss=10 | 十手,枪套,打火机,绵鳚,加速烙刀,篝火,理查森先生,燃烧响炮
  20. RR=192 anchor_m=91 Swiss=10 | 蔻森娜纹章,十手,绵鳚,打火机,燃烧子弹,加速烙刀,篝火,燃烧响炮

[GDF] seeds: 双管霰弹枪
[GDF] size=10 top 20
  1. RR=235 anchor_m=234 Swiss=10 | 火药角,双管霰弹枪,水车,淬锋钢,加速烙刀,珊瑚
  2. RR=230 anchor_m=230 Swiss=10 | 火药角,双管霰弹枪,水车,淬锋钢,珊瑚,六分仪
  3. RR=219 anchor_m=219 Swiss=9 | 理查森先生,小冰镐,火药角,双管霰弹枪,水车,淬锋钢,珊瑚
  4. RR=217 anchor_m=217 Swiss=10 | 火药角,双管霰弹枪,水车,淬锋钢,码头缆索,珊瑚
  5. RR=198 anchor_m=198 Swiss=10 | 小冰镐,雪怪蟹,火药角,双管霰弹枪,水车,淬锋钢,珊瑚
  6. RR=196 anchor_m=196 Swiss=10 | 淬锋钢,燃烧响炮,填弹杆,双管霰弹枪,水车,打火机
  7. RR=195 anchor_m=195 Swiss=10 | 迷幻蝠鲼,理查森先生,火药角,双管霰弹枪,水车,淬锋钢,珊瑚
  8. RR=198 anchor_m=186 Swiss=11 | 流星索,手雷,手斧,船长舱,双管霰弹枪,小冰镐,藏刃匕首
  9. RR=200 anchor_m=179 Swiss=11 | 手雷,手斧,舱底蠕虫,船长舱,双管霰弹枪,小冰镐,藏刃匕首
  10. RR=190 anchor_m=190 Swiss=10 | 珊瑚,淬锋钢,水车,燃烧响炮,填弹杆,双管霰弹枪
  11. RR=185 anchor_m=185 Swiss=10 | 船长舱,双管霰弹枪,刺刀,手斧,小冰镐,藏刃匕首,流星索
  12. RR=183 anchor_m=182 Swiss=11 | 手雷,船长舱,双管霰弹枪,刺刀,小冰镐,藏刃匕首,流星索
  13. RR=183 anchor_m=177 Swiss=11 | 手雷,船长舱,双管霰弹枪,刺刀,小冰镐,舱底蠕虫,藏刃匕首
  14. RR=179 anchor_m=179 Swiss=10 | 小冰镐,抓钩,火药角,双管霰弹枪,水车,淬锋钢,珊瑚
  15. RR=180 anchor_m=174 Swiss=11 | 手斧,船长舱,舱底蠕虫,双管霰弹枪,刺刀,小冰镐,藏刃匕首
  16. RR=177 anchor_m=177 Swiss=10 | 毒须鲶,迷幻蝠鲼,火药角,双管霰弹枪,水车,淬锋钢,珊瑚
  17. RR=175 anchor_m=175 Swiss=10 | 理查森先生,拍立蚌,火药角,双管霰弹枪,水车,淬锋钢,珊瑚
  18. RR=174 anchor_m=174 Swiss=11 | 火药角,双管霰弹枪,水车,小冰镐,加速烙刀,淬锋钢
  19. RR=174 anchor_m=174 Swiss=10 | 手雷,手斧,船长舱,双管霰弹枪,刺刀,小冰镐,藏刃匕首
  20. RR=199 anchor_m=104 Swiss=10 | 鱼雷,潜水配重,船长舱,双管霰弹枪,小冰镐,藏刃匕首

[GDF] seeds: 吸血章鱼
[GDF] size=10 top 20
  1. RR=270 anchor_m=270 Swiss=11 | 牌桌,淬锋钢,水车,吸血章鱼,潜水配重,六分仪
  2. RR=249 anchor_m=249 Swiss=10 | 潜水配重,沙滩充气球,枪套,淬锋钢,吸血章鱼,六分仪,牌桌
  3. RR=240 anchor_m=240 Swiss=10 | 六分仪,潜水配重,牌桌,烈酒杯,沙滩充气球,淬锋钢,吸血章鱼
  4. RR=227 anchor_m=227 Swiss=10 | 潜水配重,沙滩充气球,淬锋钢,吸血章鱼,消音器,六分仪,牌桌
  5. RR=225 anchor_m=225 Swiss=11 | 牌桌,淬锋钢,水车,吸血章鱼,六分仪,烈酒杯
  6. RR=214 anchor_m=214 Swiss=11 | 潜水配重,淬锋钢,集成式HUD,吸血章鱼,沙滩充气球,牌桌,六分仪
  7. RR=210 anchor_m=210 Swiss=10 | 牌桌,淬锋钢,水车,吸血章鱼,六分仪,拍立蚌
