anchor	rr	anchor_m	swiss	deck
舱底蠕虫	237	8	11	救生圈,舱底蠕虫,燃烧响炮,绵鳚,打火机,加速烙刀,篝火
船舵	229	219	10	潜水配重,六分仪,淬锋钢,船舵,吸血章鱼,枪套,海影宝驹
船长舱	214	214	10	船长舱,靴里剑,手雷,手里剑,刺刀,流星索,手斧,小冰镐
船首像	223	223	11	枪套,船首像,手斧,小冰镐,手里剑,带刃悬浮板,潜水配重,淬锋钢
葡萄弹	252	-5	11	淬锋钢,带刃悬浮板,潜水配重,救生圈,船长舱,葡萄弹
蔻森娜纹章	241	42	11	珊瑚,珊瑚护甲,理查森先生,蔻森娜纹章,小冰镐,水车,淬锋钢
藏刃匕首	264	76	11	手斧,小冰镐,绵鳚,大钢弩,打火机,葡萄弹,枪套,藏刃匕首,燃烧响炮
蝶剑	261	16	11	蝶剑,理查森先生,绵鳚,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
赛博铁尺	192	113	11	手斧,火炮,打火机,绵鳚,小冰镐,燃烧响炮,赛博铁尺,蔻森娜纹章
连发步枪	273	273	11	套娃,燃烧响炮,流星索,填弹杆,连发步枪,弹簧刀,鱼雷
迷你弯刀	240	49	10	枪套,打火机,绵鳚,小冰镐,迷你弯刀,燃烧响炮,篝火,大钢弩
迷幻蝠鲼	218	39	10	枪套,拍立蚌,十手,火药角,烈酒杯,大钢弩,绵鳚,皮皮虾,迷幻蝠鲼
通缉海报	212	59	11	藏刃匕首,枪套,燃烧响炮,绵鳚,加速烙刀,打火机,通缉海报,小冰镐
钓鱼竿	263	9	11	大钢弩,燃烧响炮,绵鳚,打火机,钓鱼竿,毒须鲶,篝火
铲子	294	9	11	篝火,打火机,大钢弩,铲子,燃烧响炮,绵鳚,理查森先生
锁匣	281	17	11	大钢弩,珊瑚,绵鳚,燃烧响炮,锁匣,篝火,打火机
锁镰	220	59	10	大钢弩,绵鳚,拍立蚌,小冰镐,枪套,锁镰,十手,火药角,烈酒杯
集成式HUD	239	159	10	燃烧响炮,鱼饵,集成式HUD,吸血章鱼,打火机,淬锋钢,湿件战服,绵鳚,小冰镐
雪怪蟹	215	213	11	海螺壳,潜水配重,拍立蚌,水草,绵鳚,元素深水炸弹,雪怪蟹,毒须鲶,小冰镐
靴里剑	254	24	11	燃烧响炮,绵鳚,珊瑚,篝火,打火机,燃烧子弹,靴里剑,大钢弩
风暴瓶	231	231	10	枪套,雪怪蟹,风暴瓶,绵鳚,小冰镐,流星索,燃烧响炮,大钢弩
飞镖发射器	220	63	10	皮皮虾,飞镖发射器,烈酒杯,炮弹,枪套,十手,拍立蚌,绵鳚,大钢弩
飞鱼	261	40	11	篝火,打火机,飞鱼,绵鳚,燃烧响炮,大钢弩,救生圈
食人鱼	255	57	11	食人鱼,潜水配重,鱼雷,打火机,绵鳚,加速烙刀,枪套,燃烧响炮
马龙鱼	234	234	10	牌桌,码头缆索,马龙鱼,水车,淬锋钢
鱼叉	232	3	9	鱼叉,救生圈,步枪,填弹杆,火炮
鱼雷	256	256	11	火药角,鱼雷,潜水配重,水车,拍立蚌,大钢弩
鱼饵	261	15	11	珊瑚,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,鱼饵,救生圈
鲨齿爪	247	230	11	鲨齿爪,小冰镐,手里剑,带刃悬浮板,潜水配重,深潜器,手斧
鳐鲨	256	234	11	鳐鲨,大钢弩,绵鳚,独角鲸,枪套,水母,潜水配重,飞鱼
鸦巢	225	222	10	毒须鲶,雪怪蟹,元素深水炸弹,船舵,小冰镐,鸦巢
鹦鹉皮特	251	6	11	救生圈,燃烧响炮,燃烧子弹,打火机,篝火,绵鳚,理查森先生,鹦鹉皮特
龙涎香	210	71	11	小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,龙涎香,拍立蚌
