# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=276 anchor_m=5 Swiss=11 | 篝火,打火机,燃烧子弹,三花,燃烧响炮,绵鳚,珊瑚,大钢弩
  19. RR=191 anchor_m=-11 Swiss=10 | 伪装,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,抓钩,枪套
  20. RR=191 anchor_m=-19 Swiss=10 | 伪装,燃烧响炮,绵鳚,珊瑚,加速烙刀,篝火,打火机

[GDF] seeds: 元素深水炸弹
[GDF] size=10 top 20
  1. RR=194 anchor_m=193 Swiss=10 | 盐钳海盗,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水车,拍立蚌
  2. RR=181 anchor_m=181 Swiss=11 | 珊瑚,拍立蚌,流星索,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾,迷幻蝠鲼
  3. RR=173 anchor_m=173 Swiss=10 | 珍珠,潜水配重,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,水草,小冰镐
  4. RR=172 anchor_m=172 Swiss=10 | 拍立蚌,流星索,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾,迷幻蝠鲼,理查森先生
  5. RR=172 anchor_m=169 Swiss=10 | 拍立蚌,风暴瓶,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾,燃烧响炮
  6. RR=168 anchor_m=168 Swiss=11 | 拍立蚌,潜水配重,珍珠,海螺壳,雪怪蟹,元素深水炸弹,绵鳚,水草,小冰镐
  7. RR=166 anchor_m=166 Swiss=10 | 拍立蚌,盐钳海盗,潜水配重,海螺壳,迷幻蝠鲼,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  8. RR=165 anchor_m=165 Swiss=10 | 拍立蚌,流星索,风暴瓶,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾
  9. RR=165 anchor_m=165 Swiss=9 | 珊瑚,拍立蚌,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾,迷幻蝠鲼,燃烧响炮
  10. RR=164 anchor_m=164 Swiss=10 | 珍珠,海螺壳,潜水配重,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  11. RR=163 anchor_m=163 Swiss=10 | 拍立蚌,流星索,雪怪蟹,元素深水炸弹,绵鳚,十手,小冰镐,皮皮虾,迷幻蝠鲼
  12. RR=162 anchor_m=162 Swiss=10 | 皮皮虾,拍立蚌,海螺壳,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  13. RR=162 anchor_m=162 Swiss=9 | 海影宝驹,拍立蚌,潜水配重,海螺壳,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  14. RR=162 anchor_m=162 Swiss=9 | 珍珠,潜水配重,燃烧子弹,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  15. RR=161 anchor_m=161 Swiss=10 | 海影宝驹,拍立蚌,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾,海螺壳
  16. RR=161 anchor_m=161 Swiss=9 | 拍立蚌,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾,燃烧响炮,海影宝驹
  17. RR=161 anchor_m=161 Swiss=10 | 海螺壳,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,飞鱼,珍珠
  18. RR=160 anchor_m=160 Swiss=10 | 皮皮虾,鱼饵,拍立蚌,海螺壳,迷幻蝠鲼,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  19. RR=159 anchor_m=159 Swiss=10 | 拍立蚌,理查森先生,潜水配重,盐钳海盗,海螺壳,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  20. RR=158 anchor_m=158 Swiss=10 | 拍立蚌,潜水配重,海螺壳,毒须鲶,雪怪蟹,元素深水炸弹,绵鳚,水草,小冰镐

[GDF] seeds: 六分仪
[GDF] size=10 top 20
  1. RR=230 anchor_m=64 Swiss=10 | 六分仪,大钢弩,吸血章鱼,拍立蚌,潜水配重,炮弹,烈酒杯,枪套
  2. RR=193 anchor_m=152 Swiss=10 | 火药角,烈酒杯,大钢弩,蔻森娜纹章,六分仪,吸血章鱼,潜水配重,拍立蚌
  3. RR=222 anchor_m=90 Swiss=10 | 火药角,烈酒杯,枪套,大钢弩,六分仪,吸血章鱼,拍立蚌,潜水配重
  4. RR=183 anchor_m=160 Swiss=11 | 蔻森娜纹章,六分仪,大钢弩,吸血章鱼,潜水配重,炮弹,枪套,烈酒杯
  5. RR=206 anchor_m=102 Swiss=11 | 加速烙刀,枪套,拍立蚌,水母,潜水配重,六分仪,大钢弩
  6. RR=175 anchor_m=164 Swiss=10 | 烈酒杯,六分仪,集成式HUD,吸血章鱼,潜水配重,沙滩充气球,大钢弩
  7. RR=181 anchor_m=151 Swiss=10 | 六分仪,沙滩充气球,大钢弩,蔻森娜纹章,烈酒杯,吸血章鱼,潜水配重
  8. RR=200 anchor_m=111 Swiss=11 | 六分仪,大钢弩,吸血章鱼,潜水配重,迷幻蝠鲼,炮弹,烈酒杯,枪套
  9. RR=169 anchor_m=166 Swiss=9 | 六分仪,大钢弩,吸血章鱼,潜水配重,拍立蚌,舱底蠕虫,炮弹,烈酒杯
  10. RR=179 anchor_m=138 Swiss=11 | 枪套,烈酒杯,大钢弩,六分仪,吸血章鱼,潜水配重,沙滩充气球
  11. RR=203 anchor_m=84 Swiss=11 | 六分仪,大钢弩,抓钩,吸血章鱼,潜水配重,炮弹,烈酒杯,枪套
  12. RR=162 anchor_m=159 Swiss=11 | 六分仪,燃烧子弹,大钢弩,吸血章鱼,潜水配重,拍立蚌,炮弹,烈酒杯
  13. RR=162 anchor_m=157 Swiss=10 | 鱼饵,六分仪,大钢弩,吸血章鱼,潜水配重,炮弹,烈酒杯,拍立蚌
  14. RR=159 anchor_m=157 Swiss=9 | 六分仪,大钢弩,吸血章鱼,潜水配重,炮弹,烈酒杯,海影宝驹
  15. RR=189 anchor_m=92 Swiss=10 | 套娃,六分仪,大钢弩,吸血章鱼,潜水配重,炮弹,烈酒杯,枪套
  16. RR=193 anchor_m=78 Swiss=10 | 火药角,烈酒杯,枪套,雪怪蟹,大钢弩,六分仪,吸血章鱼,潜水配重
  17. RR=205 anchor_m=51 Swiss=10 | 六分仪,大钢弩,小冰镐,吸血章鱼,潜水配重,炮弹,烈酒杯,枪套
  18. RR=211 anchor_m=36 Swiss=10 | 六分仪,大钢弩,吸血章鱼,潜水配重,炮弹,烈酒杯,枪套,流星索
  19. RR=150 anchor_m=149 Swiss=10 | 淬锋钢,烈酒杯,六分仪,吸血章鱼,潜水配重,大钢弩,沙滩充气球
  20. RR=158 anchor_m=132 Swiss=10 | 六分仪,大钢弩,吸血章鱼,潜水配重,炮弹,烈酒杯,标枪

[GDF] seeds: 减速烙刀
[GDF] size=10 top 20
  1. RR=242 anchor_m=106 Swiss=11 | 火药角,烈酒杯,减速烙刀,绵鳚,大钢弩,皮皮虾,拍立蚌,枪套
  2. RR=204 anchor_m=200 Swiss=10 | 十手,拍立蚌,火药角,烈酒杯,减速烙刀,救生圈,流星索,皮皮虾
  3. RR=199 anchor_m=191 Swiss=11 | 皮皮虾,流星索,炮弹,烈酒杯,减速烙刀,十手,救生圈,拍立蚌
  4. RR=171 anchor_m=166 Swiss=10 | 十手,拍立蚌,火药角,烈酒杯,绵鳚,减速烙刀,救生圈,皮皮虾
  5. RR=165 anchor_m=163 Swiss=10 | 火药角,烈酒杯,燃烧响炮,绵鳚,减速烙刀,大钢弩,救生圈
  6. RR=180 anchor_m=123 Swiss=9 | 十手,靴里剑,火药角,烈酒杯,大钢弩,标枪,减速烙刀
  7. RR=187 anchor_m=102 Swiss=11 | 十手,火药角,烈酒杯,流星索,大钢弩,标枪,减速烙刀
  8. RR=163 anchor_m=145 Swiss=10 | 大钢弩,火药角,烈酒杯,十手,绵鳚,减速烙刀,拍立蚌,流星索
  9. RR=180 anchor_m=111 Swiss=10 | 十手,火药角,烈酒杯,拍立蚌,大钢弩,标枪,减速烙刀
  10. RR=183 anchor_m=102 Swiss=11 | 火药角,烈酒杯,拍立蚌,减速烙刀,大钢弩,标枪,皮皮虾
  11. RR=177 anchor_m=106 Swiss=10 | 枪套,十手,火药角,烈酒杯,大钢弩,标枪,减速烙刀
  12. RR=168 anchor_m=123 Swiss=10 | 十手,火药角,烈酒杯,葡萄弹,大钢弩,标枪,减速烙刀
  13. RR=180 anchor_m=95 Swiss=11 | 十手,火药角,烈酒杯,大钢弩,绵鳚,标枪,减速烙刀
  14. RR=151 anchor_m=150 Swiss=9 | 十手,皮皮虾,迷幻蝠鲼,流星索,炮弹,烈酒杯,绵鳚,减速烙刀,拍立蚌
  15. RR=170 anchor_m=110 Swiss=10 | 十手,火药角,烈酒杯,大钢弩,小冰镐,标枪,减速烙刀
  16. RR=176 anchor_m=93 Swiss=10 | 皮皮虾,大钢弩,流星索,炮弹,烈酒杯,减速烙刀,枪套,拍立蚌
  17. RR=146 anchor_m=143 Swiss=9 | 迷幻蝠鲼,皮皮虾,流星索,十手,烈酒杯,减速烙刀,救生圈,拍立蚌
  18. RR=174 anchor_m=86 Swiss=11 | 火药角,烈酒杯,减速烙刀,大钢弩,绵鳚,标枪,皮皮虾
  19. RR=147 anchor_m=139 Swiss=10 | 燃烧响炮,十手,皮皮虾,救生圈,烈酒杯,炮弹,减速烙刀,拍立蚌
  20. RR=164 anchor_m=100 Swiss=10 | 火药角,烈酒杯,燃烧响炮,标枪,绵鳚,减速烙刀,大钢弩

[GDF] seeds: 刺刀
[GDF] size=10 top 20
  1. RR=246 anchor_m=55 Swiss=11 | 船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,刺刀,手斧,舱底蠕虫
  2. RR=194 anchor_m=168 Swiss=11 | 船首像,潜水配重,带刃悬浮板,淬锋钢,枪套,小冰镐,手里剑,刺刀
  3. RR=194 anchor_m=131 Swiss=10 | 船首像,潜水配重,带刃悬浮板,淬锋钢,流星索,小冰镐,刺刀,手斧
  4. RR=230 anchor_m=58 Swiss=10 | 枪套,葡萄弹,燃烧响炮,手斧,打火机,大钢弩,绵鳚,小冰镐,刺刀
  5. RR=217 anchor_m=84 Swiss=11 | 船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,手里剑,刺刀,舱底蠕虫
  6. RR=204 anchor_m=96 Swiss=10 | 船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,刺刀,手斧,靴里剑
  7. RR=170 anchor_m=153 Swiss=10 | 船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,双管霰弹枪,刺刀
  8. RR=173 anchor_m=143 Swiss=10 | 船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,手里剑,刺刀,流星索
  9. RR=187 anchor_m=109 Swiss=10 | 船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,葡萄弹,手里剑,刺刀
  10. RR=181 anchor_m=119 Swiss=10 | 船首像,潜水配重,带刃悬浮板,淬锋钢,手雷,小冰镐,手里剑,刺刀
  11. RR=185 anchor_m=110 Swiss=11 | 船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,葡萄弹,刺刀,手斧
  12. RR=179 anchor_m=104 Swiss=10 | 燃烧响炮,救生圈,手斧,打火机,绵鳚,小冰镐,刺刀,火炮
  13. RR=219 anchor_m=22 Swiss=10 | 燃烧响炮,枪套,手斧,大钢弩,打火机,潜水配重,绵鳚,小冰镐,刺刀
  14. RR=158 anchor_m=131 Swiss=10 | 船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,左轮手枪,刺刀,手斧
  15. RR=148 anchor_m=139 Swiss=10 | 船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,绵鳚,手里剑,刺刀
  16. RR=183 anchor_m=65 Swiss=10 | 燃烧响炮,枪套,手斧,打火机,加速烙刀,绵鳚,小冰镐,刺刀,流星索
  17. RR=147 anchor_m=133 Swiss=10 | 船首像,潜水配重,带刃悬浮板,淬锋钢,吸血章鱼,小冰镐,手里剑,刺刀
  18. RR=208 anchor_m=3 Swiss=10 | 船长舱,潜水配重,带刃悬浮板,淬锋钢,小冰镐,刺刀,舱底蠕虫
  19. RR=192 anchor_m=35 Swiss=11 | 珊瑚,燃烧响炮,枪套,手斧,大钢弩,打火机,绵鳚,小冰镐,刺刀
  20. RR=150 anchor_m=117 Swiss=9 | 船首像,潜水配重,带刃悬浮板,淬锋钢,小冰镐,刺刀,手斧,独角鲸

[GDF] seeds: 加速烙刀
[GDF] size=10 top 20
  1. RR=271 anchor_m=270 Swiss=11 | 大钢弩,救生圈,潜水配重,绵鳚,加速烙刀,枪套,烈酒杯
  2. RR=254 anchor_m=254 Swiss=11 | 燃烧响炮,燃烧子弹,打火机,篝火,绵鳚,加速烙刀,救生圈
  3. RR=238 anchor_m=238 Swiss=11 | 枪套,救生圈,燃烧响炮,打火机,珊瑚,潜水配重,绵鳚,加速烙刀
  4. RR=218 anchor_m=217 Swiss=10 | 大钢弩,潜水配重,绵鳚,加速烙刀,救生圈,燃烧响炮,烈酒杯
  5. RR=212 anchor_m=212 Swiss=10 | 燃烧响炮,打火机,篝火,绵鳚,加速烙刀,救生圈,珊瑚
  6. RR=209 anchor_m=209 Swiss=10 | 流星索,救生圈,枪套,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀
  7. RR=212 anchor_m=192 Swiss=10 | 大钢弩,救生圈,潜水配重,绵鳚,加速烙刀,火药角,烈酒杯
  8. RR=203 anchor_m=203 Swiss=10 | 大钢弩,打火机,救生圈,潜水配重,绵鳚,加速烙刀,烈酒杯
  9. RR=211 anchor_m=186 Swiss=10 | 加速烙刀,大钢弩,绵鳚,潜水配重,藏刃匕首,枪套,燃烧响炮,打火机
  10. RR=202 anchor_m=193 Swiss=11 | 藏刃匕首,大钢弩,救生圈,潜水配重,绵鳚,加速烙刀,烈酒杯
  11. RR=198 anchor_m=171 Swiss=10 | 枪套,烈酒杯,加速烙刀,理查森先生,潜水配重,绵鳚,大钢弩,燃烧响炮
  12. RR=182 anchor_m=176 Swiss=9 | 大钢弩,篝火,绵鳚,加速烙刀,拍立蚌,燃烧子弹,燃烧响炮
  13. RR=187 anchor_m=154 Swiss=10 | 枪套,烈酒杯,加速烙刀,拍立蚌,潜水配重,绵鳚,大钢弩,燃烧响炮
  14. RR=172 anchor_m=170 Swiss=10 | 枪套,燃烧响炮,打火机,珊瑚,潜水配重,绵鳚,大钢弩,加速烙刀
  15. RR=174 anchor_m=160 Swiss=10 | 枪套,烈酒杯,加速烙刀,珍珠,潜水配重,绵鳚,大钢弩,燃烧响炮
  16. RR=176 anchor_m=141 Swiss=10 | 枪套,烈酒杯,加速烙刀,潜水配重,绵鳚,大钢弩,小冰镐,燃烧响炮
  17. RR=164 anchor_m=164 Swiss=11 | 大钢弩,救生圈,潜水配重,绵鳚,加速烙刀,手斧,烈酒杯
  18. RR=164 anchor_m=164 Swiss=10 | 燃烧响炮,打火机,篝火,绵鳚,加速烙刀,救生圈,手斧
  19. RR=162 anchor_m=162 Swiss=11 | 大钢弩,潜水配重,理查森先生,绵鳚,加速烙刀,枪套,烈酒杯,拍立蚌
  20. RR=157 anchor_m=157 Swiss=10 | 珊瑚,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,救生圈,烈酒杯

[GDF] seeds: 十手
[GDF] size=10 top 20
  1. RR=197 anchor_m=69 Swiss=11 | 枪套,大钢弩,绵鳚,十手,火药角,烈酒杯,皮皮虾,燃烧响炮,拍立蚌
  2. RR=171 anchor_m=137 Swiss=9 | 枪套,大钢弩,绵鳚,十手,火药角,流星索,烈酒杯,皮皮虾,拍立蚌
  3. RR=180 anchor_m=96 Swiss=10 | 枪套,大钢弩,绵鳚,十手,火药角,烈酒杯,海螺壳,皮皮虾,拍立蚌
  4. RR=177 anchor_m=92 Swiss=10 | 十手,火药角,烈酒杯,小冰镐,绵鳚,大钢弩,枪套,皮皮虾,迷幻蝠鲼
  5. RR=175 anchor_m=94 Swiss=10 | 枪套,十手,绵鳚,大钢弩,拍立蚌,炮弹,烈酒杯,皮皮虾,迷幻蝠鲼
  6. RR=174 anchor_m=93 Swiss=10 | 枪套,大钢弩,绵鳚,十手,珍珠,火药角,烈酒杯,皮皮虾,拍立蚌
  7. RR=186 anchor_m=69 Swiss=9 | 燃烧响炮,十手,炮弹,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  8. RR=176 anchor_m=86 Swiss=10 | 枪套,大钢弩,绵鳚,十手,火药角,烈酒杯,皮皮虾,拍立蚌,迷幻蝠鲼
  9. RR=173 anchor_m=89 Swiss=9 | 枪套,大钢弩,绵鳚,十手,火药角,烈酒杯,皮皮虾,拍立蚌,套娃
  10. RR=158 anchor_m=106 Swiss=10 | 枪套,十手,绵鳚,大钢弩,炮弹,烈酒杯,皮皮虾,迷幻蝠鲼,打火机
  11. RR=174 anchor_m=73 Swiss=9 | 枪套,大钢弩,绵鳚,十手,火药角,烈酒杯,皮皮虾,拍立蚌,抓钩
  12. RR=160 anchor_m=94 Swiss=10 | 枪套,大钢弩,绵鳚,十手,火药角,烈酒杯,宠物石,皮皮虾,拍立蚌
  13. RR=175 anchor_m=63 Swiss=9 | 十手,炮弹,烈酒杯,枪套,皮皮虾,流星索,绵鳚,大钢弩,拍立蚌
  14. RR=161 anchor_m=89 Swiss=10 | 枪套,大钢弩,绵鳚,十手,火药角,烈酒杯,迷你弯刀,皮皮虾,拍立蚌
  15. RR=158 anchor_m=87 Swiss=11 | 大钢弩,十手,火药角,烈酒杯,皮皮虾,水车,拍立蚌
  16. RR=149 anchor_m=102 Swiss=10 | 燃烧响炮,枪套,十手,绵鳚,大钢弩,炮弹,烈酒杯,皮皮虾,迷幻蝠鲼
  17. RR=167 anchor_m=59 Swiss=10 | 枪套,大钢弩,绵鳚,十手,火药角,烈酒杯,盐钳海盗,皮皮虾,拍立蚌
  18. RR=158 anchor_m=76 Swiss=10 | 十手,炮弹,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌,手里剑
  19. RR=155 anchor_m=82 Swiss=10 | 枪套,大钢弩,绵鳚,十手,火药角,烈酒杯,皮皮虾,拍立蚌,弹簧刀
  20. RR=169 anchor_m=52 Swiss=10 | 枪套,大钢弩,绵鳚,手雷,十手,火药角,烈酒杯,皮皮虾,拍立蚌

[GDF] seeds: 双管霰弹枪
[GDF] size=10 top 20
  1. RR=244 anchor_m=244 Swiss=10 | 淬锋钢,水车,火药角,双管霰弹枪,鸦巢
  2. RR=242 anchor_m=218 Swiss=11 | 小冰镐,淬锋钢,火药角,双管霰弹枪,水车,珊瑚,理查森先生
  3. RR=212 anchor_m=212 Swiss=10 | 潜水配重,珊瑚,淬锋钢,火药角,双管霰弹枪,消音器,鸦巢
  4. RR=199 anchor_m=193 Swiss=10 | 小冰镐,淬锋钢,火药角,双管霰弹枪,水车,珍珠,珊瑚
  5. RR=195 anchor_m=195 Swiss=10 | 淬锋钢,鸦巢,海影宝驹,珊瑚,火药角,双管霰弹枪
  6. RR=191 anchor_m=186 Swiss=9 | 小冰镐,海螺壳,淬锋钢,火药角,双管霰弹枪,水车,珊瑚
  7. RR=188 anchor_m=188 Swiss=10 | 淬锋钢,火药角,双管霰弹枪,潜水配重,鸦巢,救生圈
  8. RR=185 anchor_m=185 Swiss=10 | 淬锋钢,鸦巢,火药角,双管霰弹枪,蔻森娜纹章,救生圈
  9. RR=179 anchor_m=179 Swiss=11 | 淬锋钢,湿件战服,鸦巢,火药角,双管霰弹枪,消音器
  10. RR=176 anchor_m=176 Swiss=11 | 水草,潜水配重,珊瑚,鸦巢,淬锋钢,火药角,双管霰弹枪
  11. RR=175 anchor_m=172 Swiss=10 | 龙涎香,小冰镐,淬锋钢,火药角,双管霰弹枪,水车,珊瑚
  12. RR=172 anchor_m=172 Swiss=10 | 淬锋钢,火药角,双管霰弹枪,潜水配重,鸦巢,海螺壳,珊瑚
  13. RR=173 anchor_m=167 Swiss=10 | 火炮,双管霰弹枪,鱼雷,燃烧响炮,绵鳚,打火机,葡萄弹
  14. RR=170 anchor_m=170 Swiss=10 | 淬锋钢,鸦巢,珊瑚,星盘,火药角,双管霰弹枪
  15. RR=170 anchor_m=170 Swiss=10 | 淬锋钢,火药角,双管霰弹枪,珊瑚护甲,潜水配重,鸦巢
  16. RR=168 anchor_m=168 Swiss=10 | 淬锋钢,六分仪,鸦巢,珊瑚,火药角,双管霰弹枪
  17. RR=167 anchor_m=167 Swiss=10 | 淬锋钢,鸦巢,火药角,双管霰弹枪,救生圈,鱼饵
  18. RR=167 anchor_m=167 Swiss=10 | 星盘,淬锋钢,鸦巢,火药角,双管霰弹枪,消音器
  19. RR=164 anchor_m=162 Swiss=9 | 小冰镐,燃烧响炮,淬锋钢,火药角,双管霰弹枪,水车,珊瑚
  20. RR=184 anchor_m=121 Swiss=10 | 水草,潜水配重,珊瑚,淬锋钢,水车,火药角,双管霰弹枪

[GDF] seeds: 吸血章鱼
[GDF] size=10 top 20
  1. RR=248 anchor_m=28 Swiss=11 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,吸血章鱼,枪套,大钢弩
  2. RR=218 anchor_m=218 Swiss=10 | 炮弹,烈酒杯,牌桌,淬锋钢,六分仪,潜水配重,吸血章鱼,枪套
  3. RR=216 anchor_m=205 Swiss=10 | 燃烧响炮,淬锋钢,套娃,燃烧子弹,打火机,篝火,吸血章鱼,大钢弩
  4. RR=217 anchor_m=188 Swiss=11 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,吸血章鱼,大钢弩,藏刃匕首
  5. RR=204 anchor_m=204 Swiss=11 | 牌桌,淬锋钢,六分仪,沙滩充气球,潜水配重,吸血章鱼,消音器
  6. RR=210 anchor_m=186 Swiss=10 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,吸血章鱼,大钢弩,流星索
  7. RR=199 anchor_m=199 Swiss=11 | 牌桌,火药角,烈酒杯,淬锋钢,枪套,六分仪,潜水配重,吸血章鱼
  8. RR=194 anchor_m=194 Swiss=10 | 枪套,牌桌,淬锋钢,沙滩充气球,六分仪,潜水配重,吸血章鱼
  9. RR=221 anchor_m=121 Swiss=10 | 燃烧响炮,烈酒杯,淬锋钢,燃烧子弹,打火机,篝火,吸血章鱼,大钢弩
