# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=6 top 20
  1. RR=262 anchor_m=246 Swiss=9 | 靴里剑,三花,左轮手枪,手斧,鲨齿爪
  12. RR=215 anchor_m=215 Swiss=8 | 淬锋钢,木桶,火药角,双管霰弹枪
  13. RR=214 anchor_m=214 Swiss=8 | 淬锋钢,火药角,双管霰弹枪,珊瑚护甲
  14. RR=237 anchor_m=156 Swiss=8 | 珊瑚,火药角,双管霰弹枪,淬锋钢,舱底蠕虫
  15. RR=206 anchor_m=206 Swiss=9 | 火药角,双管霰弹枪,绵鳚,淬锋钢,葡萄弹
  16. RR=206 anchor_m=206 Swiss=9 | 靴里剑,手斧,淬锋钢,火药角,双管霰弹枪
  17. RR=204 anchor_m=204 Swiss=8 | 淬锋钢,火药角,双管霰弹枪,刺刀,珊瑚
  18. RR=198 anchor_m=198 Swiss=8 | 淬锋钢,葡萄弹,珊瑚,火药角,双管霰弹枪
  19. RR=198 anchor_m=198 Swiss=8 | 淬锋钢,火药角,双管霰弹枪,弹簧刀,独角鲸
  20. RR=192 anchor_m=192 Swiss=8 | 淬锋钢,火药角,双管霰弹枪,弹簧刀,藏刃匕首

[GDF] seeds: 填弹杆
[GDF] size=6 top 20
  1. RR=225 anchor_m=225 Swiss=9 | 葡萄弹,步枪,填弹杆,手雷
  2. RR=217 anchor_m=217 Swiss=9 | 淬锋钢,步枪,填弹杆,手雷
  3. RR=217 anchor_m=217 Swiss=8 | 绵鳚,步枪,填弹杆,手雷
  4. RR=216 anchor_m=216 Swiss=9 | 淬锋钢,步枪,填弹杆,流星索
  5. RR=216 anchor_m=216 Swiss=8 | 步枪,填弹杆,手雷,手斧
  6. RR=213 anchor_m=213 Swiss=8 | 步枪,填弹杆,手雷,靴里剑
  7. RR=212 anchor_m=212 Swiss=8 | 珊瑚,步枪,填弹杆,手雷
  8. RR=208 anchor_m=208 Swiss=8 | 流星索,步枪,填弹杆,手雷
  9. RR=201 anchor_m=201 Swiss=9 | 藏刃匕首,手雷,填弹杆,步枪
  10. RR=199 anchor_m=199 Swiss=9 | 葡萄弹,绵鳚,步枪,填弹杆
  11. RR=185 anchor_m=185 Swiss=8 | 舱底蠕虫,步枪,填弹杆,手雷
  12. RR=179 anchor_m=179 Swiss=8 | 抓钩,步枪,填弹杆,手雷
  13. RR=179 anchor_m=179 Swiss=8 | 葡萄弹,淬锋钢,填弹杆,步枪
  14. RR=176 anchor_m=176 Swiss=8 | 淬锋钢,绵鳚,步枪,填弹杆
  15. RR=175 anchor_m=175 Swiss=8 | 弹簧刀,步枪,填弹杆,手雷
  16. RR=175 anchor_m=175 Swiss=8 | 淬锋钢,舱底蠕虫,步枪,填弹杆
  17. RR=174 anchor_m=174 Swiss=9 | 葡萄弹,手斧,填弹杆,步枪
  18. RR=174 anchor_m=174 Swiss=8 | 步枪,填弹杆,淬锋钢,珊瑚
  19. RR=170 anchor_m=170 Swiss=8 | 步枪,填弹杆,流星索,珊瑚
  20. RR=162 anchor_m=162 Swiss=8 | 燃烧响炮,步枪,填弹杆,手雷

[GDF] seeds: 宠物石
[GDF] size=6 top 20
  1. RR=247 anchor_m=214 Swiss=9 | 宠物石,鲨齿爪,迷你弯刀,靴里剑,手斧
  2. RR=230 anchor_m=215 Swiss=8 | 鲨齿爪,手斧,宠物石,淬锋钢,靴里剑
  3. RR=224 anchor_m=199 Swiss=9 | 宠物石,鲨齿爪,迷你弯刀,刺刀,手斧
  4. RR=228 anchor_m=175 Swiss=8 | 靴里剑,鲨齿爪,手斧,宠物石,舱底蠕虫
  5. RR=196 anchor_m=176 Swiss=8 | 宠物石,鲨齿爪,迷你弯刀,弹簧刀,手斧
  6. RR=208 anchor_m=148 Swiss=8 | 手斧,鲨齿爪,藏刃匕首,宠物石,舱底蠕虫
  7. RR=192 anchor_m=171 Swiss=8 | 宠物石,鲨齿爪,左轮手枪,迷你弯刀,手斧
  8. RR=198 anchor_m=133 Swiss=8 | 手斧,靴里剑,鲨齿爪,藏刃匕首,宠物石
  9. RR=191 anchor_m=130 Swiss=8 | 手斧,宠物石,鲨齿爪,淬锋钢,舱底蠕虫
  10. RR=240 anchor_m=31 Swiss=8 | 燃烧响炮,宠物石,打火机,绵鳚,鹦鹉皮特,毒须鲶
  11. RR=238 anchor_m=35 Swiss=9 | 珊瑚,马龙鱼,绵鳚,淬锋钢,宠物石
  12. RR=190 anchor_m=130 Swiss=8 | 流星索,鲨齿爪,手斧,宠物石,舱底蠕虫
  13. RR=180 anchor_m=146 Swiss=10 | 鲨齿爪,手斧,迷你弯刀,宠物石,舱底蠕虫
  14. RR=237 anchor_m=23 Swiss=9 | 靴里剑,燃烧响炮,宠物石,打火机,绵鳚,毒须鲶
  15. RR=173 anchor_m=149 Swiss=8 | 鲨齿爪,手斧,宠物石,舱底蠕虫,独角鲸
  16. RR=211 anchor_m=66 Swiss=8 | 燃烧响炮,手斧,宠物石,打火机,绵鳚,毒须鲶
  17. RR=218 anchor_m=19 Swiss=8 | 燃烧响炮,宠物石,珊瑚,打火机,绵鳚,毒须鲶
  18. RR=168 anchor_m=113 Swiss=8 | 手斧,鲨齿爪,左轮手枪,藏刃匕首,宠物石
  19. RR=162 anchor_m=124 Swiss=8 | 手雷,鲨齿爪,手斧,宠物石,舱底蠕虫
  20. RR=152 anchor_m=133 Swiss=8 | 宠物石,打火机,绵鳚,海底热泉,毒须鲶

[GDF] seeds: 左轮手枪
[GDF] size=6 top 20
  1. RR=257 anchor_m=257 Swiss=9 | 舱底蠕虫,手斧,葡萄弹,弹簧刀,左轮手枪,淬锋钢
  2. RR=212 anchor_m=212 Swiss=8 | 舱底蠕虫,鲨齿爪,葡萄弹,左轮手枪,淬锋钢
  3. RR=223 anchor_m=186 Swiss=9 | 舱底蠕虫,鲨齿爪,手斧,左轮手枪,淬锋钢
  4. RR=212 anchor_m=199 Swiss=8 | 舱底蠕虫,手雷,手斧,葡萄弹,左轮手枪,淬锋钢
  5. RR=236 anchor_m=139 Swiss=8 | 鹦鹉皮特,左轮手枪,弹簧刀,马龙鱼,淬锋钢
  6. RR=197 anchor_m=197 Swiss=9 | 舱底蠕虫,手斧,靴里剑,葡萄弹,左轮手枪,淬锋钢
  7. RR=244 anchor_m=98 Swiss=9 | 靴里剑,左轮手枪,弹簧刀,马龙鱼,淬锋钢
  8. RR=190 anchor_m=187 Swiss=8 | 舱底蠕虫,流星索,手斧,葡萄弹,左轮手枪,淬锋钢
  9. RR=211 anchor_m=135 Swiss=9 | 迷幻蝠鲼,左轮手枪,弹簧刀,马龙鱼,淬锋钢
  10. RR=238 anchor_m=80 Swiss=8 | 流星索,左轮手枪,弹簧刀,马龙鱼,淬锋钢
  11. RR=219 anchor_m=113 Swiss=10 | 海螺壳,左轮手枪,弹簧刀,马龙鱼,淬锋钢
  12. RR=224 anchor_m=97 Swiss=8 | 雪怪蟹,左轮手枪,弹簧刀,马龙鱼,淬锋钢
  13. RR=174 anchor_m=174 Swiss=9 | 湿件战服,左轮手枪,淬锋钢,葡萄弹,手斧
  14. RR=181 anchor_m=154 Swiss=8 | 舱底蠕虫,靴里剑,鲨齿爪,左轮手枪,淬锋钢
  15. RR=204 anchor_m=69 Swiss=9 | 珊瑚,火药角,步枪,左轮手枪,淬锋钢
  16. RR=194 anchor_m=85 Swiss=8 | 皮皮虾,左轮手枪,弹簧刀,马龙鱼,淬锋钢
  17. RR=157 anchor_m=157 Swiss=8 | 舱底蠕虫,抓钩,手斧,葡萄弹,左轮手枪,淬锋钢
  18. RR=218 anchor_m=11 Swiss=8 | 珊瑚,左轮手枪,海螺壳,水草,绵鳚,毒须鲶
  19. RR=148 anchor_m=148 Swiss=8 | 舱底蠕虫,手斧,葡萄弹,绵鳚,左轮手枪,淬锋钢
  20. RR=177 anchor_m=71 Swiss=8 | 燃烧响炮,左轮手枪,淬锋钢,绵鳚,马龙鱼

[GDF] seeds: 弯刀
[GDF] size=6 top 20
  1. RR=231 anchor_m=195 Swiss=9 | 舱底蠕虫,流星索,手斧,淬锋钢,弯刀
  2. RR=223 anchor_m=223 Swiss=8 | 水母,迷幻蝠鲼,水草,淬锋钢,弯刀
  3. RR=220 anchor_m=220 Swiss=10 | 手斧,流星索,弹簧刀,弯刀,淬锋钢
  4. RR=215 anchor_m=215 Swiss=8 | 靴里剑,手斧,淬锋钢,流星索,弯刀
  5. RR=222 anchor_m=199 Swiss=8 | 舱底蠕虫,手斧,弹簧刀,弯刀,淬锋钢
  6. RR=206 anchor_m=206 Swiss=9 | 迷幻蝠鲼,淬锋钢,木桶,弯刀
  7. RR=203 anchor_m=202 Swiss=9 | 流星索,皮皮虾,迷幻蝠鲼,淬锋钢,弯刀
  8. RR=206 anchor_m=194 Swiss=9 | 舱底蠕虫,皮皮虾,迷幻蝠鲼,淬锋钢,弯刀
  9. RR=207 anchor_m=186 Swiss=9 | 舱底蠕虫,手斧,淬锋钢,绵鳚,弯刀
  10. RR=222 anchor_m=148 Swiss=8 | 马龙鱼,弹簧刀,弯刀,淬锋钢
  11. RR=191 anchor_m=191 Swiss=8 | 水草,淬锋钢,弯刀,毒须鲶,珊瑚
  12. RR=188 anchor_m=188 Swiss=8 | 皮皮虾,迷幻蝠鲼,抓钩,淬锋钢,弯刀
  13. RR=183 anchor_m=183 Swiss=8 | 迷幻蝠鲼,水草,淬锋钢,珊瑚,弯刀
  14. RR=176 anchor_m=176 Swiss=8 | 迷幻蝠鲼,淬锋钢,弯刀,珊瑚护甲
  15. RR=176 anchor_m=176 Swiss=8 | 水母,淬锋钢,木桶,弯刀
  16. RR=175 anchor_m=175 Swiss=8 | 手斧,淬锋钢,火药角,流星索,弯刀
  17. RR=182 anchor_m=159 Swiss=7 | 皮皮虾,迷幻蝠鲼,毒须鲶,淬锋钢,弯刀
  18. RR=174 anchor_m=174 Swiss=9 | 迷幻蝠鲼,淬锋钢,弯刀,救生圈
  19. RR=173 anchor_m=173 Swiss=7 | 葡萄弹,手斧,淬锋钢,流星索,弯刀
  20. RR=172 anchor_m=172 Swiss=8 | 迷幻蝠鲼,水草,淬锋钢,弯刀,海螺壳

[GDF] seeds: 弹簧刀
[GDF] size=6 top 20
  1. RR=263 anchor_m=263 Swiss=10 | 靴里剑,手斧,弹簧刀,武士刀,淬锋钢
  2. RR=260 anchor_m=259 Swiss=9 | 手斧,弹簧刀,武士刀,刺刀,淬锋钢
  3. RR=245 anchor_m=233 Swiss=8 | 水草,淬锋钢,马龙鱼,弹簧刀,左轮手枪
  4. RR=235 anchor_m=211 Swiss=8 | 舱底蠕虫,手斧,弹簧刀,武士刀,淬锋钢
  5. RR=245 anchor_m=183 Swiss=9 | 舱底蠕虫,手斧,弹簧刀,马龙鱼,淬锋钢
  6. RR=223 anchor_m=218 Swiss=8 | 海螺壳,马龙鱼,弹簧刀,飞鱼,淬锋钢
  7. RR=216 anchor_m=216 Swiss=8 | 珊瑚,淬锋钢,马龙鱼,弹簧刀,独角鲸
  8. RR=191 anchor_m=191 Swiss=8 | 手斧,左轮手枪,弹簧刀,武士刀,淬锋钢
  9. RR=203 anchor_m=156 Swiss=8 | 舱底蠕虫,流星索,弹簧刀,马龙鱼,淬锋钢
  10. RR=187 anchor_m=187 Swiss=8 | 手斧,左轮手枪,弹簧刀,武士刀,刺刀
  11. RR=242 anchor_m=64 Swiss=9 | 救生圈,淬锋钢,马龙鱼,弹簧刀
  12. RR=188 anchor_m=164 Swiss=8 | 舱底蠕虫,水草,弹簧刀,马龙鱼,淬锋钢
  13. RR=182 anchor_m=167 Swiss=8 | 马龙鱼,弹簧刀,飞鱼,淬锋钢,水草
  14. RR=174 anchor_m=174 Swiss=8 | 珊瑚,左轮手枪,弹簧刀,武士刀,淬锋钢
  15. RR=173 anchor_m=173 Swiss=9 | 手斧,流星索,弹簧刀,武士刀,淬锋钢
  16. RR=169 anchor_m=169 Swiss=8 | 海螺壳,淬锋钢,马龙鱼,弹簧刀,独角鲸
  17. RR=169 anchor_m=169 Swiss=8 | 手斧,靴里剑,左轮手枪,弹簧刀,武士刀
  18. RR=169 anchor_m=164 Swiss=8 | 舱底蠕虫,手斧,左轮手枪,弹簧刀,独角鲸,淬锋钢
  19. RR=169 anchor_m=142 Swiss=9 | 舱底蠕虫,抓钩,弹簧刀,马龙鱼,淬锋钢
  20. RR=162 anchor_m=154 Swiss=9 | 马龙鱼,弹簧刀,飞鱼,淬锋钢,珊瑚

[GDF] seeds: 手斧
[GDF] size=6 top 20
  1. RR=287 anchor_m=285 Swiss=10 | 鲨齿爪,左轮手枪,葡萄弹,手斧,靴里剑
  2. RR=259 anchor_m=259 Swiss=9 | 鲨齿爪,左轮手枪,刺刀,手斧,靴里剑
  3. RR=264 anchor_m=230 Swiss=9 | 靴里剑,火药角,手雷,手斧,流星索,葡萄弹
  4. RR=246 anchor_m=243 Swiss=8 | 舱底蠕虫,鲨齿爪,左轮手枪,手斧,靴里剑
  5. RR=236 anchor_m=236 Swiss=8 | 鲨齿爪,弹簧刀,左轮手枪,手斧,靴里剑
  6. RR=220 anchor_m=220 Swiss=8 | 鲨齿爪,左轮手枪,独角鲸,手斧,靴里剑
  7. RR=232 anchor_m=194 Swiss=9 | 靴里剑,火药角,手雷,手斧,淬锋钢,葡萄弹
  8. RR=216 anchor_m=216 Swiss=8 | 靴里剑,手斧,鲨齿爪,淬锋钢,独角鲸
  9. RR=215 anchor_m=215 Swiss=8 | 抓钩,鲨齿爪,手斧,舱底蠕虫,靴里剑
  10. RR=215 anchor_m=213 Swiss=8 | 葡萄弹,手斧,靴里剑,弹簧刀,左轮手枪,淬锋钢
  11. RR=213 anchor_m=213 Swiss=9 | 鲨齿爪,左轮手枪,手斧,靴里剑,迷你弯刀
  12. RR=210 anchor_m=210 Swiss=9 | 鲨齿爪,左轮手枪,手斧,三花,靴里剑
  13. RR=204 anchor_m=185 Swiss=8 | 靴里剑,珊瑚,火药角,手雷,手斧,葡萄弹
  14. RR=208 anchor_m=170 Swiss=8 | 水草,淬锋钢,飞鱼,手斧,马龙鱼
  15. RR=196 anchor_m=193 Swiss=9 | 靴里剑,左轮手枪,火药角,手雷,手斧,葡萄弹
  16. RR=195 anchor_m=176 Swiss=8 | 舱底蠕虫,手斧,弹簧刀,马龙鱼,淬锋钢
  17. RR=193 anchor_m=177 Swiss=8 | 靴里剑,火药角,手雷,手斧,葡萄弹,舱底蠕虫
  18. RR=186 anchor_m=186 Swiss=8 | 靴里剑,手斧,鲨齿爪,迷你弯刀,淬锋钢
  19. RR=184 anchor_m=174 Swiss=9 | 舱底蠕虫,鲨齿爪,手斧,淬锋钢,独角鲸
  20. RR=180 anchor_m=180 Swiss=8 | 鲨齿爪,左轮手枪,手斧,靴里剑,淬锋钢

[GDF] seeds: 手里剑
[GDF] size=6 top 20
  1. RR=266 anchor_m=50 Swiss=10 | 手里剑,燃烧响炮,毒须鲶,鹦鹉皮特,绵鳚,打火机
  2. RR=185 anchor_m=185 Swiss=8 | 靴里剑,葡萄弹,手里剑,手斧,淬锋钢,飞鱼
  3. RR=215 anchor_m=121 Swiss=9 | 手里剑,手斧,燃烧响炮,毒须鲶,绵鳚,打火机
  4. RR=186 anchor_m=164 Swiss=8 | 马龙鱼,淬锋钢,手里剑,葡萄弹,手斧
  5. RR=238 anchor_m=44 Swiss=9 | 手里剑,燃烧响炮,葡萄弹,毒须鲶,绵鳚,打火机
  6. RR=170 anchor_m=170 Swiss=8 | 靴里剑,葡萄弹,手斧,手里剑,淬锋钢,迷你弯刀
  7. RR=200 anchor_m=109 Swiss=9 | 手里剑,靴里剑,燃烧响炮,毒须鲶,绵鳚,打火机
  8. RR=245 anchor_m=15 Swiss=9 | 水草,马龙鱼,淬锋钢,手里剑,舱底蠕虫
  9. RR=237 anchor_m=2 Swiss=9 | 水草,马龙鱼,绵鳚,淬锋钢,手里剑
  10. RR=218 anchor_m=35 Swiss=8 | 手里剑,燃烧响炮,毒须鲶,绵鳚,打火机,珊瑚
  11. RR=229 anchor_m=9 Swiss=8 | 珊瑚,马龙鱼,淬锋钢,手里剑,舱底蠕虫
  12. RR=223 anchor_m=19 Swiss=9 | 马龙鱼,弹簧刀,淬锋钢,手里剑,舱底蠕虫
  13. RR=213 anchor_m=34 Swiss=8 | 水母,马龙鱼,淬锋钢,手里剑,舱底蠕虫
  14. RR=220 anchor_m=14 Swiss=7 | 舱底蠕虫,靴里剑,手里剑,手斧,淬锋钢,飞鱼
  15. RR=214 anchor_m=21 Swiss=8 | 舱底蠕虫,靴里剑,手斧,手里剑,淬锋钢,迷你弯刀
  16. RR=190 anchor_m=49 Swiss=8 | 手里剑,燃烧响炮,海螺壳,毒须鲶,绵鳚,打火机
  17. RR=207 anchor_m=12 Swiss=8 | 淬锋钢,火药角,步枪,手里剑,舱底蠕虫
  18. RR=196 anchor_m=23 Swiss=7 | 海螺壳,马龙鱼,淬锋钢,手里剑,舱底蠕虫
  19. RR=171 anchor_m=65 Swiss=8 | 马龙鱼,手斧,手里剑,淬锋钢,飞鱼
  20. RR=138 anchor_m=128 Swiss=8 | 马龙鱼,弹簧刀,淬锋钢,手里剑,葡萄弹

[GDF] seeds: 手雷
[GDF] size=6 top 20
  1. RR=222 anchor_m=154 Swiss=9 | 葡萄弹,步枪,填弹杆,手雷
  2. RR=217 anchor_m=217 Swiss=10 | 手斧,靴里剑,葡萄弹,流星索,火药角,手雷
  3. RR=212 anchor_m=172 Swiss=7 | 步枪,填弹杆,手雷,手斧
  4. RR=218 anchor_m=151 Swiss=8 | 靴里剑,步枪,填弹杆,手雷
  5. RR=217 anchor_m=151 Swiss=9 | 步枪,填弹杆,手雷,珊瑚
  6. RR=193 anchor_m=193 Swiss=8 | 手斧,舱底蠕虫,葡萄弹,靴里剑,火药角,手雷
  7. RR=185 anchor_m=185 Swiss=9 | 手斧,靴里剑,葡萄弹,火药角,手雷,淬锋钢
  8. RR=219 anchor_m=108 Swiss=9 | 淬锋钢,步枪,填弹杆,手雷
  9. RR=192 anchor_m=148 Swiss=9 | 弹簧刀,步枪,填弹杆,手雷
  10. RR=177 anchor_m=177 Swiss=7 | 抓钩,手斧,葡萄弹,靴里剑,火药角,手雷
  11. RR=190 anchor_m=136 Swiss=8 | 抓钩,步枪,填弹杆,手雷
  12. RR=189 anchor_m=137 Swiss=9 | 藏刃匕首,步枪,填弹杆,手雷
  13. RR=168 anchor_m=167 Swiss=8 | 珊瑚,淬锋钢,木桶,火药角,手雷
  14. RR=179 anchor_m=144 Swiss=8 | 宠物石,步枪,填弹杆,手雷
  15. RR=188 anchor_m=124 Swiss=9 | 步枪,填弹杆,手雷,流星索
  16. RR=177 anchor_m=146 Swiss=8 | 步枪,填弹杆,手雷,舱底蠕虫
  17. RR=165 anchor_m=165 Swiss=8 | 手斧,鲨齿爪,葡萄弹,火药角,手雷
  18. RR=175 anchor_m=137 Swiss=8 | 海螺壳,步枪,填弹杆,手雷
  19. RR=162 anchor_m=162 Swiss=8 | 手斧,珊瑚,葡萄弹,火药角,手雷,靴里剑
  20. RR=162 anchor_m=157 Swiss=8 | 舱底蠕虫,手斧,淬锋钢,靴里剑,火药角,手雷

[GDF] seeds: 打火机
[GDF] size=6 top 20
  1. RR=271 anchor_m=271 Swiss=10 | 火炮,葡萄弹,打火机,绵鳚,燃烧响炮
  2. RR=263 anchor_m=263 Swiss=8 | 打火机,火药角,火炮,绵鳚,燃烧响炮
  3. RR=260 anchor_m=260 Swiss=9 | 靴里剑,火炮,打火机,绵鳚,燃烧响炮
  4. RR=256 anchor_m=256 Swiss=9 | 火炮,打火机,绵鳚,燃烧响炮,手斧
  5. RR=245 anchor_m=245 Swiss=8 | 火炮,打火机,绵鳚,燃烧响炮,流星索
  6. RR=244 anchor_m=244 Swiss=9 | 火炮,珊瑚,打火机,绵鳚,燃烧响炮
  7. RR=237 anchor_m=237 Swiss=8 | 燃烧响炮,海螺壳,打火机,绵鳚,海底热泉
  8. RR=222 anchor_m=222 Swiss=8 | 火炮,打火机,绵鳚,燃烧响炮,海螺壳
  9. RR=215 anchor_m=215 Swiss=9 | 火炮,舱底蠕虫,打火机,绵鳚,燃烧响炮
  10. RR=209 anchor_m=209 Swiss=8 | 火炮,珍珠,打火机,绵鳚,燃烧响炮
  11. RR=208 anchor_m=208 Swiss=8 | 淬锋钢,火炮,打火机,绵鳚,燃烧响炮
  12. RR=205 anchor_m=205 Swiss=9 | 皮皮虾,火炮,打火机,绵鳚,燃烧响炮
  13. RR=239 anchor_m=121 Swiss=8 | 水草,海螺壳,打火机,绵鳚,海底热泉
  14. RR=197 anchor_m=196 Swiss=8 | 珍珠,打火机,绵鳚,海底热泉,水草
  15. RR=197 anchor_m=193 Swiss=8 | 打火机,绵鳚,海底热泉,珊瑚,水草
  16. RR=192 anchor_m=192 Swiss=8 | 打火机,绵鳚,鹦鹉皮特,燃烧响炮,救生圈
  17. RR=191 anchor_m=191 Swiss=8 | 燃烧响炮,珊瑚,打火机,绵鳚,海底热泉
  18. RR=189 anchor_m=189 Swiss=8 | 龙涎香,火炮,打火机,绵鳚,燃烧响炮
  19. RR=188 anchor_m=188 Swiss=9 | 火炮,打火机,绵鳚,燃烧响炮,水草
  20. RR=182 anchor_m=182 Swiss=8 | 燃烧响炮,珍珠,打火机,绵鳚,海底热泉

[GDF] seeds: 抓钩
[GDF] size=6 top 20
  1. RR=252 anchor_m=116 Swiss=10 | 火药角,手雷,靴里剑,葡萄弹,抓钩,手斧
  2. RR=210 anchor_m=181 Swiss=9 | 抓钩,手斧,弹簧刀,武士刀,淬锋钢
  3. RR=245 anchor_m=107 Swiss=9 | 抓钩,燃烧响炮,打火机,绵鳚,鹦鹉皮特,毒须鲶
