# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=8 top 20
  1. RR=258 anchor_m=85 Swiss=10 | 红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵
  18. RR=188 anchor_m=155 Swiss=8 | 翡翠,水蛭,贤者之石,地刺陷阱,倒刺利爪,毒液,真菌孢子
  19. RR=178 anchor_m=175 Swiss=8 | 碎瓶,真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液
  20. RR=178 anchor_m=173 Swiss=8 | 鳄鱼眼泪,倒刺利爪,毒液,真菌孢子,翡翠,地刺陷阱,彩虹药水,萤火虫

[GDF] seeds: 再生药水
[GDF] size=8 top 20
  1. RR=294 anchor_m=28 Swiss=10 | 再生药水,翡翠,毒液注射,真菌孢子,水蛭,倒刺利爪,毒液
  2. RR=267 anchor_m=253 Swiss=8 | 真菌孢子,笔与墨,毒液,翡翠,彩虹药水,炼金梨缶,再生药水
  3. RR=261 anchor_m=248 Swiss=9 | 真菌孢子,笔与墨,毒液,翡翠,毒芹,炼金梨缶,再生药水
  4. RR=275 anchor_m=187 Swiss=9 | 再生药水,毒液注射,翡翠,真菌孢子,毒蜥,地刺陷阱,倒刺利爪,毒液
  5. RR=281 anchor_m=139 Swiss=9 | 再生药水,毒液注射,翡翠,真菌孢子,地刺陷阱,倒刺利爪,毒液,鳄鱼眼泪
  6. RR=253 anchor_m=169 Swiss=9 | 再生药水,毒液注射,翡翠,真菌孢子,地刺陷阱,倒刺利爪,毒液,彩虹药水
  7. RR=249 anchor_m=173 Swiss=9 | 再生药水,毒芹,毒液注射,翡翠,真菌孢子,地刺陷阱,倒刺利爪,毒液
  8. RR=218 anchor_m=212 Swiss=8 | 再生药水,翡翠,毒液注射,真菌孢子,倒刺利爪,毒液,蜡烛
  9. RR=241 anchor_m=154 Swiss=9 | 再生药水,毒液注射,笔与墨,毒液,腐朽圣像,真菌孢子,翡翠
  10. RR=226 anchor_m=148 Swiss=9 | 笔与墨,毒液,腐朽圣像,翡翠,再生药水,毒蜥,真菌孢子
  11. RR=213 anchor_m=170 Swiss=8 | 再生药水,曲颈甑,毒液注射,笔与墨,毒液,真菌孢子,翡翠
  12. RR=198 anchor_m=189 Swiss=8 | 毒蜥,真菌孢子,笔与墨,翡翠,彩虹药水,炼金梨缶,再生药水
  13. RR=215 anchor_m=154 Swiss=8 | 再生药水,曲颈甑,翡翠,毒液注射,真菌孢子,倒刺利爪,毒液
  14. RR=195 anchor_m=185 Swiss=8 | 真菌孢子,毒蜥,笔与墨,翡翠,毒芹,炼金梨缶,再生药水
  15. RR=185 anchor_m=180 Swiss=8 | 真菌孢子,笔与墨,翡翠,颠茄,炼金梨缶,再生药水
  16. RR=185 anchor_m=159 Swiss=8 | 再生药水,剑杖,翡翠,真菌孢子,地刺陷阱,倒刺利爪,毒液
  17. RR=196 anchor_m=134 Swiss=8 | 再生药水,毒液注射,翡翠,真菌孢子,地刺陷阱,贤者之石,倒刺利爪,毒液
  18. RR=214 anchor_m=95 Swiss=9 | 再生药水,腐朽圣像,翡翠,真菌孢子,地刺陷阱,倒刺利爪,毒液
  19. RR=190 anchor_m=137 Swiss=8 | 笔与墨,毒液,曲颈甑,翡翠,真菌孢子,毒蜥,再生药水
  20. RR=169 anchor_m=168 Swiss=8 | 真菌孢子,笔与墨,翡翠,彩虹药水,炼金梨缶,再生药水,毒液注射

[GDF] seeds: 剑杖
[GDF] size=8 top 20
  1. RR=288 anchor_m=279 Swiss=9 | 剑杖,翡翠,地刺陷阱,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  2. RR=273 anchor_m=273 Swiss=9 | 香炉,剑杖,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  3. RR=268 anchor_m=262 Swiss=9 | 真菌孢子,地刺陷阱,毒蜥,剑杖,翡翠,倒刺利爪,毒液
  4. RR=260 anchor_m=259 Swiss=9 | 地刺陷阱,贤者之石,剑杖,翡翠,真菌孢子,倒刺利爪,毒液
  5. RR=258 anchor_m=258 Swiss=8 | 地刺陷阱,鳄鱼眼泪,彩虹药水,剑杖,毒液注射,翡翠,真菌孢子
  6. RR=245 anchor_m=243 Swiss=9 | 火焰药水,剑杖,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  7. RR=243 anchor_m=242 Swiss=9 | 地刺陷阱,鳄鱼眼泪,彩虹药水,剑杖,毒蜥,翡翠,真菌孢子
  8. RR=228 anchor_m=223 Swiss=8 | 地刺陷阱,剑杖,翡翠,毒液注射,真菌孢子,倒刺利爪,毒液
  9. RR=225 anchor_m=223 Swiss=9 | 剑杖,毒液注射,毒蜥,水蛭,翡翠,真菌孢子
  10. RR=222 anchor_m=221 Swiss=8 | 地刺陷阱,香炉,剑杖,翡翠,真菌孢子,倒刺利爪,毒液
  11. RR=215 anchor_m=214 Swiss=9 | 地刺陷阱,剑杖,再生药水,翡翠,真菌孢子,倒刺利爪,毒液
  12. RR=211 anchor_m=210 Swiss=8 | 地刺陷阱,剑杖,笔与墨,翡翠,真菌孢子,倒刺利爪,毒液
  13. RR=209 anchor_m=208 Swiss=8 | 彩虹药水,水蛭,剑杖,毒液注射,翡翠,真菌孢子
  14. RR=211 anchor_m=204 Swiss=8 | 地刺陷阱,剑杖,毒液注射,水蛭,翡翠,真菌孢子
  15. RR=203 anchor_m=199 Swiss=8 | 剑杖,翡翠,彩虹药水,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  16. RR=195 anchor_m=191 Swiss=8 | 地刺陷阱,毒芹,剑杖,翡翠,真菌孢子,倒刺利爪,毒液
  17. RR=188 anchor_m=188 Swiss=8 | 鳄鱼眼泪,真菌孢子,毒蜥,剑杖,翡翠,倒刺利爪,毒液
  18. RR=186 anchor_m=186 Swiss=9 | 地刺陷阱,彩虹药水,剑杖,毒液注射,毒液,翡翠,真菌孢子
  19. RR=182 anchor_m=177 Swiss=8 | 真菌孢子,毒蜥,剑杖,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱
  20. RR=175 anchor_m=175 Swiss=8 | 地刺陷阱,剑杖,翡翠,真菌孢子,倒刺利爪,毒液,黑玫瑰

[GDF] seeds: 剧毒药水
[GDF] size=8 top 20
  1. RR=287 anchor_m=175 Swiss=9 | 剧毒药水,真菌孢子,鳄鱼眼泪,蜡烛,地刺陷阱,倒刺利爪,毒液
  2. RR=275 anchor_m=219 Swiss=9 | 翡翠,蜡烛,鳄鱼眼泪,剧毒药水,真菌孢子,倒刺利爪,毒液
  3. RR=241 anchor_m=220 Swiss=8 | 剧毒药水,塔兹迪亚匕首,真菌孢子,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  4. RR=241 anchor_m=208 Swiss=9 | 火焰药水,剧毒药水,真菌孢子,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  5. RR=278 anchor_m=134 Swiss=8 | 剧毒药水,真菌孢子,彩虹药水,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  6. RR=251 anchor_m=186 Swiss=9 | 剧毒药水,香炉,真菌孢子,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  7. RR=240 anchor_m=197 Swiss=8 | 剧毒药水,碎瓶,真菌孢子,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  8. RR=221 anchor_m=220 Swiss=9 | 毒液注射,翡翠,黑玫瑰,水蛭,腐朽圣像,剧毒药水
  9. RR=234 anchor_m=179 Swiss=8 | 剧毒药水,真菌孢子,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,毒蜥,翡翠
  10. RR=221 anchor_m=194 Swiss=9 | 昏睡药水,剧毒药水,真菌孢子,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  11. RR=237 anchor_m=146 Swiss=8 | 剧毒药水,真菌孢子,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,毒液注射,翡翠
  12. RR=219 anchor_m=178 Swiss=8 | 剧毒药水,真菌孢子,瓶装闪电,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  13. RR=213 anchor_m=174 Swiss=8 | 剧毒药水,真菌孢子,鳄鱼眼泪,地刺陷阱,倒刺利爪,毒液,贤者之石,翡翠
  14. RR=207 anchor_m=183 Swiss=8 | 鳄鱼眼泪,翡翠,剧毒药水,真菌孢子,香炉,彩虹药水,倒刺利爪,毒液
  15. RR=201 anchor_m=175 Swiss=9 | 剧毒药水,真菌孢子,地刺陷阱,鳄鱼眼泪,萤火虫,倒刺利爪,毒液,翡翠
  16. RR=197 anchor_m=160 Swiss=8 | 毒芹,剧毒药水,真菌孢子,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  17. RR=204 anchor_m=145 Swiss=9 | 剧毒药水,真菌孢子,地刺陷阱,鳄鱼眼泪,拆信刀,倒刺利爪,毒液,翡翠
  18. RR=176 anchor_m=173 Swiss=8 | 毒液注射,翡翠,水蛭,腐朽圣像,贤者之石,剧毒药水
  19. RR=181 anchor_m=147 Swiss=8 | 剧毒药水,真菌孢子,鳄鱼眼泪,地刺陷阱,煅烧釜,倒刺利爪,毒液
  20. RR=174 anchor_m=160 Swiss=8 | 鳄鱼眼泪,翡翠,萤火虫,剧毒药水,真菌孢子,彩虹药水,倒刺利爪,毒液

[GDF] seeds: 和平铸箱
[GDF] size=8 top 20
  1. RR=288 anchor_m=206 Swiss=9 | 和平铸箱,真菌孢子,笔与墨,毒液,翡翠,腐朽圣像
  2. RR=270 anchor_m=206 Swiss=9 | 真菌孢子,笔与墨,毒液,翡翠,和平铸箱,曲颈甑
  3. RR=252 anchor_m=242 Swiss=8 | 翡翠,腐朽圣像,和平铸箱,真菌孢子,倒刺利爪,毒液
  4. RR=257 anchor_m=225 Swiss=9 | 真菌孢子,笔与墨,腐朽圣像,毒液注射,和平铸箱,翡翠
  5. RR=250 anchor_m=231 Swiss=9 | 毒蜥,真菌孢子,笔与墨,毒液,毒芹,翡翠,和平铸箱
  6. RR=272 anchor_m=176 Swiss=10 | 真菌孢子,倒刺利爪,毒液,翡翠,地刺陷阱,毒液注射,和平铸箱
  7. RR=234 anchor_m=202 Swiss=9 | 翡翠,毒液注射,真菌孢子,毒蜥,笔与墨,毒液,和平铸箱
  8. RR=223 anchor_m=207 Swiss=9 | 真菌孢子,贤者之石,倒刺利爪,毒液,翡翠,毒液注射,和平铸箱
  9. RR=223 anchor_m=197 Swiss=8 | 黑玫瑰,真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,和平铸箱
  10. RR=218 anchor_m=204 Swiss=9 | 真菌孢子,笔与墨,翡翠,和平铸箱,毒蜥,曲颈甑
  11. RR=217 anchor_m=202 Swiss=8 | 真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,毒芹,和平铸箱
  12. RR=210 anchor_m=200 Swiss=8 | 和平铸箱,真菌孢子,翡翠,黑玫瑰,毒液注射,笔与墨,毒液
  13. RR=210 anchor_m=200 Swiss=8 | 真菌孢子,彩虹药水,倒刺利爪,毒液,翡翠,毒液注射,和平铸箱
  14. RR=206 anchor_m=201 Swiss=8 | 真菌孢子,笔与墨,毒液,颠茄,翡翠,和平铸箱
  15. RR=215 anchor_m=165 Swiss=9 | 和平铸箱,翡翠,地刺陷阱,真菌孢子,毒蜥,倒刺利爪,毒液
  16. RR=200 anchor_m=183 Swiss=9 | 翡翠,曲颈甑,和平铸箱,真菌孢子,倒刺利爪,毒液
  17. RR=197 anchor_m=188 Swiss=8 | 真菌孢子,笔与墨,腐朽圣像,翡翠,毒蜥,和平铸箱
  18. RR=195 anchor_m=190 Swiss=8 | 笔与墨,毒液,和平铸箱,真菌孢子,翡翠,毒蜥,贤者之石
  19. RR=192 anchor_m=185 Swiss=8 | 真菌孢子,毒液注射,曲颈甑,笔与墨,翡翠,和平铸箱
  20. RR=189 anchor_m=184 Swiss=8 | 毒芹,真菌孢子,曲颈甑,笔与墨,翡翠,和平铸箱

[GDF] seeds: 嗅盐
[GDF] size=8 top 20
  1. RR=256 anchor_m=180 Swiss=9 | 萤火虫,嗅盐,熏香,蜡烛,彩虹药水,红宝石,香炉
  2. RR=256 anchor_m=155 Swiss=9 | 瓶装闪电,萤火虫,煅烧釜,嗅盐,彩虹药水,红宝石,香炉
  3. RR=230 anchor_m=226 Swiss=9 | 鳄鱼眼泪,萤火虫,红宝石,煅烧釜,嗅盐,飞蛾粉末,彩虹药水
  4. RR=248 anchor_m=173 Swiss=9 | 萤火虫,煅烧釜,嗅盐,彩虹药水,红宝石,香炉,火焰药水
  5. RR=224 anchor_m=205 Swiss=8 | 瓶装闪电,火焰药水,萤火虫,红宝石,煅烧釜,嗅盐,彩虹药水
  6. RR=220 anchor_m=203 Swiss=8 | 红宝石,萤火虫,嗅盐,熏香,彩虹药水,蜡烛,鳄鱼眼泪
  7. RR=213 anchor_m=202 Swiss=8 | 鳄鱼眼泪,萤火虫,红宝石,煅烧釜,嗅盐,昏睡药水,彩虹药水
  8. RR=208 anchor_m=193 Swiss=8 | 萤火虫,嗅盐,熏香,火焰药水,彩虹药水,蜡烛,红宝石
  9. RR=205 anchor_m=196 Swiss=9 | 萤火虫,煅烧釜,嗅盐,昏睡药水,彩虹药水,红宝石,香炉
  10. RR=202 anchor_m=196 Swiss=9 | 香炉,萤火虫,彩虹药水,红宝石,煅烧釜,嗅盐,飞蛾粉末
  11. RR=209 anchor_m=180 Swiss=8 | 萤火虫,嗅盐,熏香,彩虹药水,红宝石,蜡烛,瓶装闪电
  12. RR=242 anchor_m=93 Swiss=8 | 鳄鱼眼泪,萤火虫,红宝石,火焰药水,煅烧釜,嗅盐,彩虹药水
  13. RR=250 anchor_m=68 Swiss=9 | 萤火虫,煅烧釜,嗅盐,彩虹药水,鳄鱼眼泪,红宝石,香炉
  14. RR=244 anchor_m=75 Swiss=9 | 鳄鱼眼泪,萤火虫,红宝石,瓶装闪电,煅烧釜,嗅盐,彩虹药水
  15. RR=199 anchor_m=158 Swiss=8 | 萤火虫,火焰药水,煅烧釜,嗅盐,彩虹药水,香炉,鳄鱼眼泪
  16. RR=187 anchor_m=181 Swiss=8 | 火焰药水,萤火虫,嗅盐,熏香,蜡烛,红宝石,香炉
  17. RR=175 anchor_m=171 Swiss=8 | 萤火虫,煅烧釜,嗅盐,飞蛾粉末,彩虹药水,香炉,鳄鱼眼泪
  18. RR=186 anchor_m=147 Swiss=9 | 鳄鱼眼泪,萤火虫,红宝石,硫磺,煅烧釜,嗅盐,彩虹药水
  19. RR=177 anchor_m=163 Swiss=8 | 鳄鱼眼泪,碎瓶,萤火虫,红宝石,煅烧釜,嗅盐,彩虹药水
  20. RR=180 anchor_m=155 Swiss=9 | 萤火虫,煅烧釜,嗅盐,彩虹药水,碎瓶,香炉,鳄鱼眼泪

[GDF] seeds: 地刺陷阱
[GDF] size=8 top 20
  1. RR=271 anchor_m=268 Swiss=10 | 地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,蜡烛
  2. RR=257 anchor_m=239 Swiss=9 | 地刺陷阱,蜡烛,真菌孢子,倒刺利爪,毒液,毒液注射,鳄鱼眼泪
  3. RR=251 anchor_m=247 Swiss=9 | 地刺陷阱,翡翠,真菌孢子,彩虹药水,倒刺利爪,毒液,香炉,鳄鱼眼泪
  4. RR=248 anchor_m=241 Swiss=9 | 毒液注射,鳄鱼眼泪,地刺陷阱,翡翠,真菌孢子,彩虹药水,倒刺利爪,毒液
  5. RR=240 anchor_m=236 Swiss=8 | 地刺陷阱,翡翠,真菌孢子,彩虹药水,倒刺利爪,毒液,剧毒药水,鳄鱼眼泪
  6. RR=239 anchor_m=235 Swiss=9 | 地刺陷阱,翡翠,真菌孢子,鳄鱼眼泪,萤火虫,彩虹药水,倒刺利爪,毒液
  7. RR=229 anchor_m=228 Swiss=8 | 地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液,曲颈甑,鳄鱼眼泪
  8. RR=225 anchor_m=222 Swiss=8 | 地刺陷阱,毒蜥,真菌孢子,彩虹药水,倒刺利爪,毒液,翡翠,鳄鱼眼泪
  9. RR=217 anchor_m=214 Swiss=8 | 地刺陷阱,翡翠,真菌孢子,火焰药水,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液
  10. RR=213 anchor_m=211 Swiss=9 | 地刺陷阱,翡翠,真菌孢子,鳄鱼眼泪,彩虹药水,塔兹迪亚匕首,倒刺利爪,毒液
  11. RR=213 anchor_m=210 Swiss=8 | 地刺陷阱,蜡烛,翡翠,真菌孢子,彩虹药水,倒刺利爪,毒液
  12. RR=210 anchor_m=208 Swiss=8 | 地刺陷阱,翡翠,毒液注射,真菌孢子,倒刺利爪,毒液,香炉,鳄鱼眼泪
  13. RR=210 anchor_m=206 Swiss=8 | 地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液,煅烧釜,鳄鱼眼泪
  14. RR=208 anchor_m=207 Swiss=9 | 地刺陷阱,翡翠,真菌孢子,鳄鱼眼泪,碎瓶,彩虹药水,倒刺利爪,毒液
  15. RR=206 anchor_m=206 Swiss=8 | 毒芹,地刺陷阱,翡翠,真菌孢子,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液
  16. RR=193 anchor_m=189 Swiss=8 | 地刺陷阱,火焰药水,翡翠,真菌孢子,倒刺利爪,毒液,香炉,鳄鱼眼泪
  17. RR=192 anchor_m=169 Swiss=8 | 地刺陷阱,水蛭,真菌孢子,翡翠,曲颈甑,毒蜥
  18. RR=192 anchor_m=162 Swiss=9 | 蛇怪之牙,地刺陷阱,翡翠,真菌孢子,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液
  19. RR=181 anchor_m=181 Swiss=9 | 地刺陷阱,翡翠,真菌孢子,拆信刀,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液
  20. RR=172 anchor_m=171 Swiss=8 | 地刺陷阱,翡翠,真菌孢子,香炉,倒刺利爪,毒液,剧毒药水,鳄鱼眼泪

[GDF] seeds: 地窖
[GDF] size=8 top 20
  1. RR=283 anchor_m=283 Swiss=10 | 真菌孢子,翡翠,剧毒药水,笔与墨,地窖,毒液,彩虹药水
  2. RR=268 anchor_m=268 Swiss=8 | 真菌孢子,翡翠,剧毒药水,地窖,毒液,腐朽圣像
  3. RR=263 anchor_m=263 Swiss=9 | 翡翠,真菌孢子,剧毒药水,地窖,毒液,笔与墨,毒蜥
  4. RR=253 anchor_m=253 Swiss=9 | 真菌孢子,翡翠,剧毒药水,水蛭,地窖,毒液
  5. RR=241 anchor_m=241 Swiss=8 | 翡翠,笔与墨,真菌孢子,毒液注射,地窖,毒液,剧毒药水
  6. RR=238 anchor_m=238 Swiss=8 | 翡翠,真菌孢子,水蛭,地窖,毒液,毒液注射
  7. RR=238 anchor_m=238 Swiss=9 | 真菌孢子,笔与墨,翡翠,毒蜥,地窖,毒液,彩虹药水
  8. RR=237 anchor_m=235 Swiss=8 | 地刺陷阱,真菌孢子,翡翠,剧毒药水,地窖,倒刺利爪,毒液
  9. RR=233 anchor_m=233 Swiss=8 | 真菌孢子,翡翠,地窖,毒液,腐朽圣像,笔与墨
  10. RR=231 anchor_m=231 Swiss=9 | 真菌孢子,黑玫瑰,翡翠,剧毒药水,地窖,毒液,笔与墨
  11. RR=229 anchor_m=229 Swiss=8 | 真菌孢子,翡翠,剧毒药水,笔与墨,地窖,毒液,贤者之石
  12. RR=228 anchor_m=228 Swiss=9 | 真菌孢子,翡翠,笔与墨,地窖,毒液,毒液注射,彩虹药水
  13. RR=223 anchor_m=223 Swiss=8 | 剧毒药水,翡翠,笔与墨,毒芹,真菌孢子,地窖,毒液
  14. RR=217 anchor_m=217 Swiss=8 | 真菌孢子,翡翠,毒蜥,剧毒药水,地窖,毒液,彩虹药水
  15. RR=215 anchor_m=215 Swiss=9 | 真菌孢子,翡翠,曲颈甑,剧毒药水,地窖,毒液
  16. RR=212 anchor_m=212 Swiss=8 | 真菌孢子,翡翠,毒液注射,剧毒药水,地窖,毒液,彩虹药水
  17. RR=207 anchor_m=207 Swiss=9 | 真菌孢子,翡翠,剧毒药水,地窖,彩虹药水,倒刺利爪,毒液
  18. RR=202 anchor_m=202 Swiss=8 | 真菌孢子,翡翠,毒芹,笔与墨,地窖,毒液,彩虹药水
  19. RR=200 anchor_m=200 Swiss=8 | 真菌孢子,黑玫瑰,毒液注射,翡翠,剧毒药水,地窖,毒液
  20. RR=194 anchor_m=194 Swiss=8 | 翡翠,笔与墨,剧毒药水,地窖,毒液,腐朽圣像

[GDF] seeds: 塔兹迪亚匕首
[GDF] size=8 top 20
  1. RR=247 anchor_m=155 Swiss=8 | 翡翠,鳄鱼眼泪,剧毒药水,塔兹迪亚匕首,真菌孢子,倒刺利爪,毒液,地刺陷阱
  2. RR=228 anchor_m=203 Swiss=8 | 翡翠,彩虹药水,塔兹迪亚匕首,鳄鱼眼泪,香炉,真菌孢子,毒液,地刺陷阱
  3. RR=246 anchor_m=145 Swiss=9 | 翡翠,彩虹药水,塔兹迪亚匕首,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,地刺陷阱
  4. RR=226 anchor_m=169 Swiss=9 | 地刺陷阱,翡翠,真菌孢子,鳄鱼眼泪,彩虹药水,塔兹迪亚匕首,曲颈甑
  5. RR=215 anchor_m=177 Swiss=8 | 翡翠,鳄鱼眼泪,火焰药水,塔兹迪亚匕首,真菌孢子,倒刺利爪,毒液,地刺陷阱
  6. RR=205 anchor_m=194 Swiss=8 | 翡翠,彩虹药水,塔兹迪亚匕首,鳄鱼眼泪,真菌孢子,毒液,地刺陷阱,碎瓶
  7. RR=217 anchor_m=169 Swiss=9 | 真菌孢子,香炉,彩虹药水,塔兹迪亚匕首,鳄鱼眼泪,地刺陷阱,曲颈甑
  8. RR=204 anchor_m=180 Swiss=8 | 彩虹药水,火焰药水,塔兹迪亚匕首,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱
  9. RR=184 anchor_m=175 Swiss=8 | 鳄鱼眼泪,火焰药水,塔兹迪亚匕首,地刺陷阱,真菌孢子,倒刺利爪,毒液,毒液注射
