# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=6 top 20
  1. RR=292 anchor_m=282 Swiss=9 | 彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子
  6. RR=196 anchor_m=151 Swiss=8 | 拆信刀,地刺陷阱,蜡烛,倒刺利爪,香炉
  7. RR=214 anchor_m=102 Swiss=9 | 蛇怪之牙,蜡烛,倒刺利爪,手术刀,地刺陷阱
  8. RR=182 anchor_m=162 Swiss=8 | 倒刺利爪,毒液,鳄鱼眼泪,香炉,翡翠,地刺陷阱
  9. RR=179 anchor_m=167 Swiss=9 | 倒刺利爪,毒液,真菌孢子,翡翠,彩虹药水,地刺陷阱
  10. RR=192 anchor_m=136 Swiss=8 | 地刺陷阱,蜡烛,萤火虫,倒刺利爪,香炉
  11. RR=174 anchor_m=166 Swiss=8 | 倒刺利爪,毒液,鳄鱼眼泪,翡翠,地刺陷阱,彩虹药水
  12. RR=195 anchor_m=105 Swiss=8 | 蛇怪之牙,地刺陷阱,蜡烛,倒刺利爪,香炉
  13. RR=177 anchor_m=116 Swiss=8 | 毒蜥,倒刺利爪,毒液,真菌孢子,翡翠,地刺陷阱
  14. RR=198 anchor_m=67 Swiss=9 | 蛇怪之牙,倒刺利爪,研钵与研杵,手术刀,地刺陷阱
  15. RR=166 anchor_m=118 Swiss=8 | 瓶装闪电,地刺陷阱,蜡烛,倒刺利爪,香炉
  16. RR=158 anchor_m=129 Swiss=8 | 毒液注射,倒刺利爪,毒液,真菌孢子,翡翠,地刺陷阱
  17. RR=183 anchor_m=71 Swiss=8 | 蛇怪之牙,倒刺利爪,手术刀,鳄鱼眼泪,瓶装闪电,地刺陷阱
  18. RR=167 anchor_m=98 Swiss=7 | 地刺陷阱,手术刀,蜡烛,倒刺利爪,香炉
  19. RR=139 anchor_m=129 Swiss=8 | 倒刺利爪,毒液,地刺陷阱,鳄鱼眼泪,毒蜥,真菌孢子
  20. RR=136 anchor_m=129 Swiss=8 | 倒刺利爪,毒液,真菌孢子,翡翠,剧毒药水,地刺陷阱

[GDF] seeds: 再生药水
[GDF] size=6 top 20
  1. RR=294 anchor_m=61 Swiss=9 | 翡翠,再生药水,笔与墨,毒液,毒液注射,真菌孢子
  2. RR=276 anchor_m=274 Swiss=10 | 真菌孢子,毒芹,炼金梨缶,再生药水,翡翠
  3. RR=264 anchor_m=261 Swiss=9 | 再生药水,炼金梨缶,云精灵,翡翠,真菌孢子
  4. RR=226 anchor_m=220 Swiss=8 | 颠茄,真菌孢子,翡翠,再生药水,笔与墨
  5. RR=224 anchor_m=222 Swiss=8 | 炼金梨缶,再生药水,真菌孢子,翡翠,笔与墨
  6. RR=253 anchor_m=142 Swiss=8 | 再生药水,毒液注射,真菌孢子,翡翠,毒蜥,笔与墨
  7. RR=239 anchor_m=164 Swiss=8 | 再生药水,毒蜥,毒芹,真菌孢子,翡翠,笔与墨
  8. RR=250 anchor_m=138 Swiss=9 | 翡翠,黑玫瑰,再生药水,笔与墨,毒液,真菌孢子
  9. RR=284 anchor_m=65 Swiss=9 | 翡翠,再生药水,笔与墨,毒液,真菌孢子,毒芹
  10. RR=271 anchor_m=86 Swiss=9 | 翡翠,再生药水,笔与墨,毒液,彩虹药水,真菌孢子
  11. RR=235 anchor_m=153 Swiss=8 | 翡翠,贤者之石,再生药水,笔与墨,毒液,真菌孢子
  12. RR=223 anchor_m=174 Swiss=8 | 翡翠,剧毒药水,再生药水,笔与墨,毒液,真菌孢子
  13. RR=207 anchor_m=205 Swiss=8 | 真菌孢子,笔与墨,毒芹,炼金梨缶,再生药水
  14. RR=290 anchor_m=34 Swiss=9 | 真菌孢子,笔与墨,毒液,翡翠,毒蜥,再生药水
  15. RR=218 anchor_m=155 Swiss=8 | 毒液注射,翡翠,笔与墨,毒芹,真菌孢子,再生药水
  16. RR=199 anchor_m=179 Swiss=8 | 再生药水,真菌孢子,笔与墨,翡翠,曲颈甑
  17. RR=198 anchor_m=180 Swiss=8 | 再生药水,真菌孢子,颠茄,毒液注射,笔与墨
  18. RR=187 anchor_m=187 Swiss=9 | 再生药水,炼金梨缶,云精灵,笔与墨,真菌孢子
  19. RR=217 anchor_m=119 Swiss=8 | 毒液注射,翡翠,笔与墨,真菌孢子,再生药水,黑玫瑰
  20. RR=187 anchor_m=172 Swiss=8 | 翡翠,再生药水,香炉,笔与墨,毒液,真菌孢子

[GDF] seeds: 剑杖
[GDF] size=6 top 20
  1. RR=275 anchor_m=275 Swiss=8 | 彩虹药水,剑杖,毒液注射,翡翠,真菌孢子
  2. RR=270 anchor_m=268 Swiss=10 | 地刺陷阱,真菌孢子,毒蜥,剑杖,翡翠
  3. RR=269 anchor_m=269 Swiss=9 | 剑杖,翡翠,真菌孢子,倒刺利爪,毒液
  4. RR=256 anchor_m=255 Swiss=8 | 翡翠,毒蜥,剑杖,毒液注射,真菌孢子
  5. RR=252 anchor_m=251 Swiss=9 | 剑杖,毒液注射,真菌孢子,翡翠,地刺陷阱
  6. RR=235 anchor_m=234 Swiss=8 | 剑杖,毒液注射,翡翠,真菌孢子,毒芹
  7. RR=233 anchor_m=232 Swiss=9 | 剑杖,毒液注射,翡翠,水蛭
  8. RR=231 anchor_m=231 Swiss=9 | 黑玫瑰,剑杖,毒液注射,真菌孢子,翡翠
  9. RR=212 anchor_m=212 Swiss=8 | 真菌孢子,毒蜥,剑杖,毒液,翡翠
  10. RR=209 anchor_m=209 Swiss=8 | 真菌孢子,笔与墨,剑杖,翡翠,地刺陷阱
  11. RR=208 anchor_m=208 Swiss=8 | 真菌孢子,毒蜥,剑杖,翡翠,毒芹
  12. RR=207 anchor_m=207 Swiss=8 | 毒液注射,剑杖,翡翠,真菌孢子,毒液
  13. RR=205 anchor_m=204 Swiss=8 | 真菌孢子,毒液注射,黑玫瑰,剑杖,地刺陷阱
  14. RR=200 anchor_m=200 Swiss=9 | 真菌孢子,毒蜥,剑杖,翡翠,彩虹药水
  15. RR=199 anchor_m=199 Swiss=8 | 黑玫瑰,剑杖,毒液注射,真菌孢子,毒液
  16. RR=198 anchor_m=198 Swiss=8 | 真菌孢子,毒液,剑杖,翡翠,地刺陷阱
  17. RR=196 anchor_m=196 Swiss=8 | 贤者之石,剑杖,毒液注射,翡翠,真菌孢子
  18. RR=190 anchor_m=189 Swiss=8 | 颠茄,剑杖,毒液注射,真菌孢子
  19. RR=189 anchor_m=189 Swiss=8 | 黑玫瑰,剑杖,毒液注射,地刺陷阱,翡翠
  20. RR=189 anchor_m=188 Swiss=9 | 真菌孢子,黑玫瑰,剑杖,地刺陷阱,翡翠

[GDF] seeds: 剧毒药水
[GDF] size=6 top 20
  1. RR=211 anchor_m=16 Swiss=9 | 研钵与研杵,手术刀,剧毒药水,蛇怪之牙,拆信刀
  2. RR=190 anchor_m=116 Swiss=8 | 鳄鱼眼泪,剧毒药水,倒刺利爪,毒液,翡翠,地刺陷阱
  3. RR=185 anchor_m=69 Swiss=8 | 倒刺利爪,手术刀,云精灵,剧毒药水,地刺陷阱,蛇怪之牙
  4. RR=166 anchor_m=106 Swiss=8 | 碎瓶,手术刀,嗅盐,剧毒药水,蛇怪之牙,地刺陷阱
  5. RR=181 anchor_m=68 Swiss=8 | 研钵与研杵,手术刀,云精灵,剧毒药水,蛇怪之牙
  6. RR=199 anchor_m=30 Swiss=9 | 研钵与研杵,手术刀,剧毒药水,蛇怪之牙,黑曜石碎片
  7. RR=203 anchor_m=10 Swiss=9 | 研钵与研杵,手术刀,剧毒药水,蛇怪之牙,地刺陷阱
  8. RR=173 anchor_m=69 Swiss=9 | 倒刺利爪,手术刀,剧毒药水,蛇怪之牙,蜡烛
  9. RR=170 anchor_m=61 Swiss=8 | 研钵与研杵,手术刀,剧毒药水,蛇怪之牙,鳄鱼眼泪
  10. RR=187 anchor_m=24 Swiss=8 | 毒液注射,研钵与研杵,手术刀,剧毒药水,蛇怪之牙
  11. RR=182 anchor_m=29 Swiss=8 | 香炉,手术刀,蜡烛,剧毒药水,蛇怪之牙
  12. RR=163 anchor_m=65 Swiss=8 | 手术刀,剧毒药水,蛇怪之牙,地刺陷阱,彩虹药水,火焰药水
  13. RR=186 anchor_m=8 Swiss=10 | 贤者之石,研钵与研杵,手术刀,剧毒药水,蛇怪之牙
  14. RR=176 anchor_m=26 Swiss=8 | 研钵与研杵,手术刀,剧毒药水,蛇怪之牙,翡翠
  15. RR=140 anchor_m=97 Swiss=8 | 鳄鱼眼泪,剧毒药水,倒刺利爪,毒液,翡翠,真菌孢子
  16. RR=140 anchor_m=97 Swiss=8 | 鳄鱼眼泪,剧毒药水,倒刺利爪,毒液,翡翠,香炉
  17. RR=162 anchor_m=50 Swiss=8 | 笔与墨,翡翠,黑玫瑰,真菌孢子,毒液注射,剧毒药水
  18. RR=173 anchor_m=25 Swiss=9 | 香炉,研钵与研杵,手术刀,剧毒药水,蛇怪之牙
  19. RR=164 anchor_m=42 Swiss=8 | 黑玫瑰,毒液注射,毒液,水蛭,剧毒药水
  20. RR=153 anchor_m=63 Swiss=8 | 熏香,地刺陷阱,手术刀,剧毒药水,蛇怪之牙,拆信刀

[GDF] seeds: 和平铸箱
[GDF] size=6 top 20
  1. RR=293 anchor_m=195 Swiss=9 | 翡翠,和平铸箱,笔与墨,毒液,真菌孢子
  2. RR=281 anchor_m=258 Swiss=9 | 和平铸箱,笔与墨,真菌孢子,翡翠,毒蜥
  3. RR=277 anchor_m=261 Swiss=9 | 和平铸箱,真菌孢子,笔与墨,毒液,毒蜥
  4. RR=262 anchor_m=254 Swiss=9 | 翡翠,和平铸箱,笔与墨,毒芹,真菌孢子
  5. RR=254 anchor_m=254 Swiss=9 | 和平铸箱,毒芹,真菌孢子,笔与墨,毒液
  6. RR=253 anchor_m=236 Swiss=10 | 毒液注射,和平铸箱,真菌孢子,倒刺利爪,毒液
  7. RR=242 anchor_m=242 Swiss=8 | 和平铸箱,颠茄,笔与墨,真菌孢子
  8. RR=244 anchor_m=238 Swiss=8 | 和平铸箱,真菌孢子,笔与墨,毒液,黑玫瑰
  9. RR=251 anchor_m=219 Swiss=8 | 真菌孢子,翡翠,毒液注射,笔与墨,和平铸箱
  10. RR=255 anchor_m=205 Swiss=8 | 和平铸箱,真菌孢子,倒刺利爪,毒液,翡翠
  11. RR=235 anchor_m=210 Swiss=8 | 和平铸箱,真菌孢子,倒刺利爪,毒液,地刺陷阱
  12. RR=224 anchor_m=220 Swiss=9 | 笔与墨,黑玫瑰,和平铸箱,真菌孢子,毒液注射
  13. RR=217 anchor_m=217 Swiss=8 | 翡翠,和平铸箱,真菌孢子,毒液,毒蜥
  14. RR=207 anchor_m=196 Swiss=9 | 毒蜥,和平铸箱,真菌孢子,倒刺利爪,毒液
  15. RR=191 anchor_m=191 Swiss=9 | 真菌孢子,毒液,毒液注射,笔与墨,和平铸箱
  16. RR=191 anchor_m=191 Swiss=8 | 和平铸箱,笔与墨,毒液注射,真菌孢子,毒蜥
  17. RR=191 anchor_m=191 Swiss=8 | 翡翠,和平铸箱,黑玫瑰,笔与墨,真菌孢子
  18. RR=190 anchor_m=190 Swiss=8 | 颠茄,和平铸箱,贤者之石,笔与墨
  19. RR=189 anchor_m=189 Swiss=8 | 黑玫瑰,和平铸箱,毒液注射,颠茄
  20. RR=188 anchor_m=188 Swiss=8 | 和平铸箱,笔与墨,真菌孢子,曲颈甑

[GDF] seeds: 嗅盐
[GDF] size=6 top 20
  1. RR=286 anchor_m=15 Swiss=9 | 彩虹药水,红宝石,香炉,萤火虫,嗅盐,鳄鱼眼泪
  2. RR=258 anchor_m=188 Swiss=9 | 红宝石,香炉,彩虹药水,萤火虫,嗅盐,熏香
  3. RR=274 anchor_m=151 Swiss=9 | 彩虹药水,火焰药水,香炉,鳄鱼眼泪,萤火虫,嗅盐
  4. RR=232 anchor_m=217 Swiss=9 | 彩虹药水,香炉,鳄鱼眼泪,萤火虫,嗅盐,熏香
  5. RR=238 anchor_m=176 Swiss=8 | 红宝石,鳄鱼眼泪,香炉,瓶装闪电,萤火虫,嗅盐
  6. RR=235 anchor_m=181 Swiss=9 | 红宝石,香炉,萤火虫,蜡烛,嗅盐
  7. RR=216 anchor_m=191 Swiss=8 | 彩虹药水,香炉,鳄鱼眼泪,碎瓶,萤火虫,嗅盐
  8. RR=275 anchor_m=67 Swiss=8 | 红宝石,香炉,火焰药水,萤火虫,嗅盐,彩虹药水
  9. RR=278 anchor_m=45 Swiss=9 | 彩虹药水,红宝石,香炉,萤火虫,嗅盐,瓶装闪电
  10. RR=201 anchor_m=195 Swiss=8 | 彩虹药水,香炉,鳄鱼眼泪,萤火虫,嗅盐,飞蛾粉末
  11. RR=248 anchor_m=99 Swiss=8 | 彩虹药水,红宝石,香炉,硫磺,萤火虫,嗅盐
  12. RR=234 anchor_m=122 Swiss=8 | 红宝石,香炉,瓶装闪电,火焰药水,萤火虫,嗅盐
  13. RR=218 anchor_m=145 Swiss=8 | 红宝石,彩虹药水,塔兹迪亚匕首,香炉,萤火虫,嗅盐
  14. RR=202 anchor_m=171 Swiss=8 | 彩虹药水,塔兹迪亚匕首,香炉,鳄鱼眼泪,萤火虫,嗅盐
  15. RR=207 anchor_m=161 Swiss=8 | 红宝石,鳄鱼眼泪,香炉,火焰药水,萤火虫,嗅盐
  16. RR=200 anchor_m=170 Swiss=9 | 彩虹药水,香炉,鳄鱼眼泪,萤火虫,嗅盐,瓶装闪电
  17. RR=198 anchor_m=171 Swiss=8 | 香炉,蜡烛,萤火虫,嗅盐,彩虹药水
  18. RR=190 anchor_m=155 Swiss=9 | 再生药水,彩虹药水,红宝石,香炉,萤火虫,嗅盐
  19. RR=177 anchor_m=175 Swiss=8 | 瓶装闪电,红宝石,香炉,萤火虫,嗅盐,熏香
  20. RR=188 anchor_m=150 Swiss=8 | 彩虹药水,红宝石,香炉,萤火虫,嗅盐,贤者之石

[GDF] seeds: 地刺陷阱
[GDF] size=6 top 20
  1. RR=223 anchor_m=158 Swiss=9 | 蜡烛,手术刀,蛇怪之牙,地刺陷阱,香炉
  2. RR=209 anchor_m=165 Swiss=9 | 手术刀,魔法飞毯,蛇怪之牙,拆信刀,地刺陷阱
  3. RR=193 anchor_m=178 Swiss=8 | 手术刀,鳄鱼眼泪,云精灵,香炉,蛇怪之牙,地刺陷阱
  4. RR=194 anchor_m=173 Swiss=8 | 手术刀,倒刺利爪,瓶装闪电,蛇怪之牙,拆信刀,地刺陷阱
  5. RR=195 anchor_m=162 Swiss=8 | 蜡烛,手术刀,蛇怪之牙,拆信刀,地刺陷阱
  6. RR=200 anchor_m=149 Swiss=8 | 手术刀,贪婪渡鸦,蛇怪之牙,地刺陷阱,香炉
  7. RR=189 anchor_m=152 Swiss=9 | 手术刀,猫头鹰奥利,倒刺利爪,蛇怪之牙,拆信刀,地刺陷阱
  8. RR=178 anchor_m=157 Swiss=8 | 手术刀,昏睡药水,鳄鱼眼泪,蛇怪之牙,地刺陷阱,萤火虫
  9. RR=172 anchor_m=152 Swiss=8 | 手术刀,鳄鱼眼泪,嗅盐,蛇怪之牙,地刺陷阱,萤火虫
  10. RR=172 anchor_m=148 Swiss=9 | 手术刀,离子闪电,倒刺利爪,蛇怪之牙,拆信刀,地刺陷阱
  11. RR=164 anchor_m=157 Swiss=8 | 手术刀,倒刺利爪,蛇怪之牙,拆信刀,地刺陷阱,毒液注射
  12. RR=167 anchor_m=148 Swiss=8 | 手术刀,鳄鱼眼泪,嗅盐,香炉,蛇怪之牙,地刺陷阱
  13. RR=164 anchor_m=154 Swiss=8 | 手术刀,鳄鱼眼泪,云精灵,蛇怪之牙,地刺陷阱,萤火虫
  14. RR=192 anchor_m=94 Swiss=9 | 研钵与研杵,手术刀,蛇怪之牙,倒刺利爪,地刺陷阱
  15. RR=161 anchor_m=147 Swiss=9 | 手术刀,倒刺利爪,蛇怪之牙,拆信刀,地刺陷阱,塔兹迪亚匕首
  16. RR=157 anchor_m=151 Swiss=8 | 手术刀,瓶装闪电,鳄鱼眼泪,云精灵,蛇怪之牙,地刺陷阱
  17. RR=154 anchor_m=150 Swiss=8 | 手术刀,鳄鱼眼泪,云精灵,蛇怪之牙,火焰药水,地刺陷阱
  18. RR=162 anchor_m=132 Swiss=8 | 手术刀,蛇怪之牙,地刺陷阱,香炉,魔法飞毯
  19. RR=151 anchor_m=147 Swiss=9 | 手术刀,倒刺利爪,毒液,蛇怪之牙,拆信刀,地刺陷阱
  20. RR=170 anchor_m=106 Swiss=8 | 昏睡药水,手术刀,鳄鱼眼泪,蛇怪之牙,地刺陷阱,彩虹药水

[GDF] seeds: 地窖
[GDF] size=6 top 20
  1. RR=295 anchor_m=295 Swiss=9 | 剧毒药水,翡翠,真菌孢子,地窖,毒液
  2. RR=290 anchor_m=285 Swiss=9 | 笔与墨,真菌孢子,翡翠,地窖,毒液
  3. RR=284 anchor_m=284 Swiss=9 | 真菌孢子,彩虹药水,翡翠,地窖,毒液
  4. RR=264 anchor_m=264 Swiss=9 | 地窖,真菌孢子,笔与墨,剧毒药水,翡翠
  5. RR=258 anchor_m=258 Swiss=9 | 笔与墨,翡翠,剧毒药水,地窖,毒液
  6. RR=258 anchor_m=254 Swiss=8 | 翡翠,毒蜥,真菌孢子,地窖,毒液
  7. RR=250 anchor_m=250 Swiss=8 | 颠茄,再生药水,地窖,贤者之石
  8. RR=254 anchor_m=240 Swiss=8 | 翡翠,真菌孢子,地窖,毒液,毒液注射
  9. RR=244 anchor_m=244 Swiss=8 | 笔与墨,真菌孢子,剧毒药水,地窖,毒液
  10. RR=242 anchor_m=242 Swiss=9 | 笔与墨,真菌孢子,彩虹药水,地窖,毒液
  11. RR=241 anchor_m=241 Swiss=8 | 翡翠,剧毒药水,地窖,毒液,彩虹药水
  12. RR=222 anchor_m=222 Swiss=8 | 再生药水,笔与墨,地窖,颠茄
  13. RR=215 anchor_m=214 Swiss=8 | 真菌孢子,地窖,翡翠,笔与墨,彩虹药水
  14. RR=213 anchor_m=213 Swiss=9 | 翡翠,黑玫瑰,剧毒药水,地窖,毒液
  15. RR=209 anchor_m=209 Swiss=8 | 再生药水,彩虹药水,颠茄,地窖
  16. RR=208 anchor_m=208 Swiss=8 | 毒液注射,再生药水,颠茄,地窖
  17. RR=207 anchor_m=207 Swiss=9 | 翡翠,毒芹,真菌孢子,地窖,毒液
  18. RR=200 anchor_m=200 Swiss=8 | 真菌孢子,剧毒药水,黑玫瑰,地窖,毒液
  19. RR=198 anchor_m=198 Swiss=9 | 真菌孢子,地窖,毒液,剧毒药水,彩虹药水
  20. RR=192 anchor_m=192 Swiss=8 | 真菌孢子,再生药水,地窖,毒液,彩虹药水

[GDF] seeds: 塔兹迪亚匕首
[GDF] size=6 top 20
  1. RR=255 anchor_m=107 Swiss=9 | 鳄鱼眼泪,火焰药水,塔兹迪亚匕首,手术刀,蛇怪之牙,地刺陷阱
  2. RR=222 anchor_m=192 Swiss=9 | 彩虹药水,塔兹迪亚匕首,翡翠,鳄鱼眼泪,地刺陷阱,真菌孢子
  3. RR=254 anchor_m=84 Swiss=9 | 鳄鱼眼泪,瓶装闪电,塔兹迪亚匕首,手术刀,蛇怪之牙,地刺陷阱
  4. RR=203 anchor_m=163 Swiss=8 | 彩虹药水,塔兹迪亚匕首,翡翠,地刺陷阱,毒蜥,真菌孢子
  5. RR=200 anchor_m=152 Swiss=8 | 翡翠,地刺陷阱,彩虹药水,塔兹迪亚匕首,真菌孢子,毒液
  6. RR=231 anchor_m=87 Swiss=9 | 鳄鱼眼泪,蜡烛,塔兹迪亚匕首,蛇怪之牙,地刺陷阱
  7. RR=186 anchor_m=171 Swiss=7 | 彩虹药水,塔兹迪亚匕首,翡翠,毒芹,地刺陷阱,真菌孢子
  8. RR=243 anchor_m=52 Swiss=9 | 倒刺利爪,鳄鱼眼泪,塔兹迪亚匕首,手术刀,蛇怪之牙,地刺陷阱
  9. RR=244 anchor_m=41 Swiss=10 | 鳄鱼眼泪,塔兹迪亚匕首,手术刀,蛇怪之牙,香炉,地刺陷阱
  10. RR=239 anchor_m=44 Swiss=8 | 鳄鱼眼泪,塔兹迪亚匕首,拆信刀,手术刀,蛇怪之牙,地刺陷阱
  11. RR=229 anchor_m=52 Swiss=9 | 鳄鱼眼泪,塔兹迪亚匕首,手术刀,蛇怪之牙,彩虹药水,地刺陷阱
  12. RR=179 anchor_m=140 Swiss=8 | 毒液注射,彩虹药水,塔兹迪亚匕首,翡翠,地刺陷阱,真菌孢子
  13. RR=216 anchor_m=43 Swiss=9 | 鳄鱼眼泪,塔兹迪亚匕首,萤火虫,手术刀,蛇怪之牙,地刺陷阱
  14. RR=205 anchor_m=55 Swiss=8 | 鳄鱼眼泪,毒液注射,塔兹迪亚匕首,手术刀,蛇怪之牙,地刺陷阱
  15. RR=196 anchor_m=70 Swiss=8 | 真菌孢子,鳄鱼眼泪,塔兹迪亚匕首,手术刀,蛇怪之牙,地刺陷阱
  16. RR=191 anchor_m=61 Swiss=8 | 鳄鱼眼泪,塔兹迪亚匕首,手术刀,云精灵,蛇怪之牙,地刺陷阱
  17. RR=192 anchor_m=56 Swiss=9 | 毒蜥,鳄鱼眼泪,塔兹迪亚匕首,手术刀,蛇怪之牙,地刺陷阱
  18. RR=193 anchor_m=48 Swiss=8 | 鳄鱼眼泪,塔兹迪亚匕首,手术刀,碎瓶,蛇怪之牙,地刺陷阱
  19. RR=191 anchor_m=48 Swiss=9 | 鳄鱼眼泪,塔兹迪亚匕首,手术刀,离子闪电,蛇怪之牙,地刺陷阱
  20. RR=145 anchor_m=134 Swiss=8 | 剧毒药水,塔兹迪亚匕首,地刺陷阱,翡翠,真菌孢子,毒液

[GDF] seeds: 展示玻璃球
[GDF] size=6 top 20
  1. RR=295 anchor_m=8 Swiss=10 | 展示玻璃球,真菌孢子,笔与墨,毒液,翡翠
  2. RR=288 anchor_m=288 Swiss=9 | 碎瓶,剧毒药水,地窖,展示玻璃球
  3. RR=256 anchor_m=213 Swiss=8 | 翡翠,彩虹药水,真菌孢子,展示玻璃球,笔与墨
  4. RR=252 anchor_m=220 Swiss=9 | 彩虹药水,真菌孢子,展示玻璃球,笔与墨,毒液
  5. RR=223 anchor_m=190 Swiss=9 | 颠茄,真菌孢子,展示玻璃球,笔与墨
  6. RR=270 anchor_m=68 Swiss=9 | 毒芹,翡翠,真菌孢子,展示玻璃球,笔与墨
  7. RR=280 anchor_m=30 Swiss=9 | 真菌孢子,笔与墨,展示玻璃球,翡翠,毒蜥
  8. RR=225 anchor_m=123 Swiss=8 | 真菌孢子,毒芹,展示玻璃球,笔与墨,毒液
  9. RR=250 anchor_m=62 Swiss=8 | 真菌孢子,笔与墨,毒液,展示玻璃球,毒蜥
  10. RR=186 anchor_m=172 Swiss=8 | 展示玻璃球,笔与墨,颠茄,贤者之石
  11. RR=227 anchor_m=81 Swiss=8 | 展示玻璃球,真菌孢子,倒刺利爪,毒液,翡翠
  12. RR=177 anchor_m=177 Swiss=8 | 剧毒药水,地窖,彩虹药水,展示玻璃球
  13. RR=194 anchor_m=138 Swiss=9 | 真菌孢子,曲颈甑,展示玻璃球,笔与墨
  14. RR=213 anchor_m=96 Swiss=8 | 真菌孢子,毒液,展示玻璃球,翡翠,毒蜥
  15. RR=175 anchor_m=170 Swiss=8 | 真菌孢子,剧毒药水,展示玻璃球,笔与墨,毒液
  16. RR=218 anchor_m=71 Swiss=9 | 黑玫瑰,真菌孢子,展示玻璃球,笔与墨,毒液
  17. RR=231 anchor_m=41 Swiss=8 | 展示玻璃球,真菌孢子,倒刺利爪,毒液,毒液注射
  18. RR=173 anchor_m=154 Swiss=8 | 展示玻璃球,毒液注射,黑玫瑰,颠茄
  19. RR=232 anchor_m=31 Swiss=8 | 翡翠,真菌孢子,展示玻璃球,毒液注射,笔与墨
  20. RR=211 anchor_m=68 Swiss=8 | 真菌孢子,展示玻璃球,笔与墨,毒液,毒液注射

[GDF] seeds: 彩虹药水
[GDF] size=6 top 20
  1. RR=218 anchor_m=82 Swiss=9 | 手术刀,彩虹药水,蛇怪之牙,鳄鱼眼泪,香炉,地刺陷阱
  2. RR=216 anchor_m=132 Swiss=9 | 拆信刀,手术刀,香炉,彩虹药水,蛇怪之牙,地刺陷阱
  3. RR=209 anchor_m=128 Swiss=8 | 拆信刀,翡翠,手术刀,彩虹药水,蛇怪之牙,地刺陷阱
  4. RR=199 anchor_m=121 Swiss=8 | 鳄鱼眼泪,拆信刀,手术刀,彩虹药水,香炉,蛇怪之牙
  5. RR=183 anchor_m=148 Swiss=8 | 拆信刀,碎瓶,手术刀,彩虹药水,蛇怪之牙,地刺陷阱
