# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=233 anchor_m=135 Swiss=9 | 舱底蠕虫,三花,鲨齿爪,手斧,飞鱼,淬锋钢,弹簧刀,马龙鱼
  3. RR=244 anchor_m=239 Swiss=9 | 舱底蠕虫,手斧,珊瑚,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢
  4. RR=232 anchor_m=228 Swiss=9 | 舱底蠕虫,手斧,鲨齿爪,独角鲸,弹簧刀,武士刀,刺刀,淬锋钢
  5. RR=230 anchor_m=224 Swiss=8 | 手斧,鲨齿爪,流星索,葡萄弹,弹簧刀,武士刀,刺刀,淬锋钢
  6. RR=229 anchor_m=220 Swiss=9 | 手斧,鲨齿爪,流星索,靴里剑,弹簧刀,武士刀,刺刀,淬锋钢
  7. RR=240 anchor_m=192 Swiss=9 | 靴里剑,流星索,鲨齿爪,左轮手枪,弹簧刀,独角鲸,刺刀,手斧,葡萄弹
  8. RR=227 anchor_m=218 Swiss=8 | 靴里剑,手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀,淬锋钢
  9. RR=219 anchor_m=205 Swiss=9 | 靴里剑,鲨齿爪,左轮手枪,弹簧刀,独角鲸,刺刀,手斧,葡萄弹,舱底蠕虫
  10. RR=210 anchor_m=202 Swiss=9 | 舱底蠕虫,手斧,鲨齿爪,迷你弯刀,弹簧刀,武士刀,刺刀,淬锋钢
  11. RR=206 anchor_m=205 Swiss=8 | 靴里剑,手斧,鲨齿爪,独角鲸,弹簧刀,武士刀,刺刀,淬锋钢
  12. RR=202 anchor_m=188 Swiss=8 | 三花,靴里剑,鲨齿爪,左轮手枪,弹簧刀,独角鲸,刺刀,手斧,葡萄弹
  13. RR=192 anchor_m=191 Swiss=8 | 靴里剑,珊瑚,鲨齿爪,左轮手枪,弹簧刀,独角鲸,刺刀,手斧,葡萄弹
  14. RR=192 anchor_m=180 Swiss=9 | 手斧,鲨齿爪,流星索,迷你弯刀,弹簧刀,武士刀,刺刀,淬锋钢
  15. RR=190 anchor_m=180 Swiss=9 | 鲨齿爪,靴里剑,独角鲸,刺刀,左轮手枪,手斧,葡萄弹,狼筅
  16. RR=187 anchor_m=186 Swiss=7 | 鲨齿爪,靴里剑,独角鲸,刺刀,左轮手枪,手斧,流星索,葡萄弹,迷你弯刀
  17. RR=188 anchor_m=181 Swiss=8 | 手斧,鲨齿爪,流星索,独角鲸,弹簧刀,武士刀,刺刀,淬锋钢
  18. RR=180 anchor_m=156 Swiss=8 | 鲨齿爪,左轮手枪,弹簧刀,独角鲸,刺刀,葡萄弹,流星索,手斧,三花
  19. RR=179 anchor_m=153 Swiss=8 | 流星索,鲨齿爪,舱底蠕虫,左轮手枪,弹簧刀,独角鲸,刺刀,葡萄弹,手斧
  20. RR=168 anchor_m=167 Swiss=8 | 舱底蠕虫,三花,手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢

[GDF] seeds: 双管霰弹枪
[GDF] size=10 top 20
  1. RR=233 anchor_m=233 Swiss=8 | 鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,左轮手枪,葡萄弹,靴里剑
  2. RR=229 anchor_m=229 Swiss=9 | 舱底蠕虫,手斧,鲨齿爪,葡萄弹,淬锋钢,火药角,双管霰弹枪,刺刀
  3. RR=225 anchor_m=225 Swiss=9 | 鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,葡萄弹,舱底蠕虫,靴里剑
  4. RR=213 anchor_m=213 Swiss=9 | 鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,葡萄弹,珊瑚,靴里剑
  5. RR=212 anchor_m=212 Swiss=9 | 鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,左轮手枪,葡萄弹,舱底蠕虫
  6. RR=207 anchor_m=207 Swiss=8 | 鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,葡萄弹,迷你弯刀,靴里剑
  7. RR=198 anchor_m=198 Swiss=9 | 鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,葡萄弹,三花,靴里剑
  8. RR=198 anchor_m=198 Swiss=8 | 鲨齿爪,左轮手枪,手斧,火药角,双管霰弹枪,弹簧刀,葡萄弹,珊瑚
  9. RR=188 anchor_m=188 Swiss=8 | 鲨齿爪,手斧,流星索,火药角,双管霰弹枪,弹簧刀,葡萄弹,靴里剑
  10. RR=186 anchor_m=186 Swiss=9 | 鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,飞鱼,葡萄弹,珊瑚
  11. RR=186 anchor_m=186 Swiss=9 | 鲨齿爪,手斧,流星索,火药角,双管霰弹枪,弹簧刀,葡萄弹,舱底蠕虫
  12. RR=186 anchor_m=186 Swiss=8 | 舱底蠕虫,鲨齿爪,手斧,靴里剑,淬锋钢,火药角,双管霰弹枪,刺刀
  13. RR=185 anchor_m=185 Swiss=8 | 鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,独角鲸,葡萄弹,舱底蠕虫
  14. RR=183 anchor_m=183 Swiss=8 | 珊瑚,鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,葡萄弹,舱底蠕虫
  15. RR=198 anchor_m=148 Swiss=10 | 葡萄弹,手斧,淬锋钢,珊瑚,步枪,填弹杆,双管霰弹枪
  16. RR=166 anchor_m=166 Swiss=8 | 鲨齿爪,手斧,火药角,双管霰弹枪,弹簧刀,武士刀,葡萄弹
  17. RR=166 anchor_m=166 Swiss=8 | 舱底蠕虫,手斧,鲨齿爪,葡萄弹,靴里剑,淬锋钢,火药角,双管霰弹枪
  18. RR=164 anchor_m=164 Swiss=8 | 鲨齿爪,手斧,藏刃匕首,火药角,双管霰弹枪,弹簧刀,葡萄弹,珊瑚
  19. RR=159 anchor_m=159 Swiss=8 | 舱底蠕虫,鲨齿爪,藏刃匕首,手斧,淬锋钢,火药角,双管霰弹枪,刺刀
  20. RR=159 anchor_m=150 Swiss=8 | 葡萄弹,鲨齿爪,淬锋钢,步枪,填弹杆,双管霰弹枪

[GDF] seeds: 填弹杆
[GDF] size=10 top 20
  1. RR=206 anchor_m=206 Swiss=9 | 鲨齿爪,葡萄弹,靴里剑,手斧,步枪,填弹杆,手雷
  2. RR=201 anchor_m=201 Swiss=9 | 鲨齿爪,葡萄弹,手斧,舱底蠕虫,步枪,填弹杆,手雷
  3. RR=194 anchor_m=194 Swiss=8 | 步枪,填弹杆,流星索,靴里剑,鲨齿爪,葡萄弹,手斧
  4. RR=192 anchor_m=192 Swiss=8 | 鲨齿爪,三花,葡萄弹,手斧,步枪,填弹杆,手雷
  5. RR=190 anchor_m=190 Swiss=8 | 鲨齿爪,葡萄弹,手斧,弹簧刀,步枪,填弹杆,手雷
  6. RR=184 anchor_m=184 Swiss=10 | 步枪,填弹杆,流星索,舱底蠕虫,鲨齿爪,葡萄弹,手斧
  7. RR=176 anchor_m=176 Swiss=9 | 舱底蠕虫,流星索,葡萄弹,手斧,淬锋钢,步枪,填弹杆,手雷
  8. RR=176 anchor_m=176 Swiss=8 | 珊瑚,步枪,填弹杆,流星索,鲨齿爪,葡萄弹,手斧
  9. RR=173 anchor_m=173 Swiss=8 | 步枪,填弹杆,手雷,流星索,鲨齿爪,葡萄弹,手斧
  10. RR=171 anchor_m=171 Swiss=7 | 淬锋钢,步枪,填弹杆,手雷,狼筅,葡萄弹,珊瑚
  11. RR=170 anchor_m=170 Swiss=9 | 鲨齿爪,葡萄弹,藏刃匕首,手斧,步枪,填弹杆,手雷
  12. RR=169 anchor_m=169 Swiss=8 | 葡萄弹,手斧,鲨齿爪,淬锋钢,步枪,填弹杆,手雷
  13. RR=167 anchor_m=167 Swiss=8 | 皮皮虾,珊瑚,珊瑚护甲,绵鳚,步枪,填弹杆,流星索
  14. RR=166 anchor_m=166 Swiss=8 | 葡萄弹,珊瑚,珊瑚护甲,绵鳚,步枪,填弹杆,流星索
  15. RR=165 anchor_m=165 Swiss=8 | 弹簧刀,步枪,填弹杆,流星索,鲨齿爪,葡萄弹,手斧
  16. RR=164 anchor_m=164 Swiss=8 | 鲨齿爪,葡萄弹,手斧,手里剑,步枪,填弹杆,手雷
  17. RR=163 anchor_m=163 Swiss=8 | 雪怪蟹,迷幻蝠鲼,鹦鹉皮特,皮皮虾,绵鳚,步枪,填弹杆,流星索
  18. RR=163 anchor_m=163 Swiss=8 | 淬锋钢,珊瑚护甲,步枪,填弹杆,手雷,葡萄弹,珊瑚
  19. RR=162 anchor_m=162 Swiss=8 | 抓钩,迷幻蝠鲼,皮皮虾,绵鳚,步枪,填弹杆,流星索,燃烧响炮
  20. RR=161 anchor_m=161 Swiss=8 | 抓钩,迷幻蝠鲼,鹦鹉皮特,皮皮虾,绵鳚,步枪,填弹杆,流星索

[GDF] seeds: 宠物石
[GDF] size=10 top 20
  1. RR=249 anchor_m=154 Swiss=8 | 鲨齿爪,绵鳚,葡萄弹,狼筅,燃烧响炮,手斧,宠物石,靴里剑
  2. RR=218 anchor_m=119 Swiss=9 | 珊瑚,马龙鱼,绵鳚,鲨齿爪,淬锋钢,宠物石,飞鱼,燃烧响炮
  3. RR=209 anchor_m=135 Swiss=9 | 水草,马龙鱼,绵鳚,鲨齿爪,淬锋钢,宠物石,迷幻蝠鲼,飞鱼
  4. RR=231 anchor_m=80 Swiss=8 | 舱底蠕虫,宠物石,手斧,鲨齿爪,绵鳚,马龙鱼,燃烧响炮,淬锋钢
  5. RR=234 anchor_m=64 Swiss=9 | 水草,马龙鱼,绵鳚,鲨齿爪,珊瑚,淬锋钢,宠物石,飞鱼
  6. RR=213 anchor_m=96 Swiss=10 | 舱底蠕虫,宠物石,手斧,打火机,鲨齿爪,绵鳚,马龙鱼,淬锋钢
  7. RR=232 anchor_m=57 Swiss=8 | 舱底蠕虫,宠物石,鲨齿爪,手斧,飞鱼,弹簧刀,马龙鱼,淬锋钢
  8. RR=192 anchor_m=137 Swiss=8 | 舱底蠕虫,宠物石,飞鱼,燃烧响炮,鲨齿爪,绵鳚,马龙鱼,淬锋钢
  9. RR=186 anchor_m=141 Swiss=7 | 舱底蠕虫,宠物石,飞鱼,鲨齿爪,绵鳚,马龙鱼,淬锋钢,珊瑚
  10. RR=202 anchor_m=104 Swiss=8 | 珊瑚,马龙鱼,绵鳚,鲨齿爪,淬锋钢,宠物石,手斧,燃烧响炮
  11. RR=206 anchor_m=95 Swiss=8 | 水草,马龙鱼,绵鳚,鲨齿爪,淬锋钢,宠物石,海螺壳,飞鱼
  12. RR=201 anchor_m=100 Swiss=8 | 水草,燃烧响炮,马龙鱼,绵鳚,鲨齿爪,淬锋钢,宠物石,飞鱼
  13. RR=207 anchor_m=76 Swiss=8 | 舱底蠕虫,宠物石,手斧,鲨齿爪,绵鳚,马龙鱼,淬锋钢,珊瑚
  14. RR=168 anchor_m=128 Swiss=9 | 舱底蠕虫,宠物石,飞鱼,鲨齿爪,绵鳚,马龙鱼,淬锋钢,打火机
  15. RR=165 anchor_m=131 Swiss=8 | 鲨齿爪,绵鳚,左轮手枪,狼筅,燃烧响炮,手斧,宠物石,靴里剑
  16. RR=162 anchor_m=115 Swiss=8 | 珊瑚,马龙鱼,绵鳚,鲨齿爪,淬锋钢,宠物石,鹦鹉皮特,飞鱼
  17. RR=193 anchor_m=47 Swiss=8 | 舱底蠕虫,皮皮虾,宠物石,手斧,鲨齿爪,绵鳚,马龙鱼,淬锋钢
  18. RR=161 anchor_m=104 Swiss=9 | 珊瑚,马龙鱼,绵鳚,鲨齿爪,打火机,淬锋钢,宠物石,手斧
  19. RR=180 anchor_m=48 Swiss=9 | 舱底蠕虫,宠物石,手斧,藏刃匕首,鲨齿爪,绵鳚,马龙鱼,淬锋钢
  20. RR=151 anchor_m=103 Swiss=8 | 舱底蠕虫,宠物石,左轮手枪,鲨齿爪,飞鱼,弹簧刀,马龙鱼,淬锋钢

[GDF] seeds: 左轮手枪
[GDF] size=10 top 20
  1. RR=241 anchor_m=193 Swiss=9 | 珊瑚,马龙鱼,弹簧刀,飞鱼,手斧,鲨齿爪,左轮手枪,淬锋钢
  2. RR=229 anchor_m=226 Swiss=9 | 珊瑚,马龙鱼,弹簧刀,葡萄弹,鲨齿爪,手斧,左轮手枪,淬锋钢
  3. RR=221 anchor_m=184 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,独角鲸,手斧,鲨齿爪,左轮手枪,淬锋钢
  4. RR=206 anchor_m=202 Swiss=7 | 马龙鱼,弹簧刀,飞鱼,淬锋钢,葡萄弹,鲨齿爪,手斧,左轮手枪
  5. RR=196 anchor_m=194 Swiss=8 | 鲨齿爪,手斧,马龙鱼,弹簧刀,左轮手枪,淬锋钢,葡萄弹,舱底蠕虫
  6. RR=206 anchor_m=172 Swiss=9 | 珊瑚,马龙鱼,弹簧刀,靴里剑,鲨齿爪,手斧,左轮手枪,淬锋钢
  7. RR=191 anchor_m=191 Swiss=8 | 马龙鱼,淬锋钢,葡萄弹,靴里剑,飞鱼,鲨齿爪,手斧,左轮手枪
  8. RR=199 anchor_m=169 Swiss=8 | 珊瑚,马龙鱼,淬锋钢,手斧,舱底蠕虫,鲨齿爪,飞鱼,左轮手枪
  9. RR=210 anchor_m=137 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,左轮手枪,手斧,鲨齿爪,舱底蠕虫,淬锋钢
  10. RR=215 anchor_m=118 Swiss=9 | 珊瑚,马龙鱼,绵鳚,淬锋钢,鲨齿爪,手斧,左轮手枪,舱底蠕虫
  11. RR=174 anchor_m=172 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,飞鱼,鲨齿爪,葡萄弹,左轮手枪,淬锋钢
  12. RR=174 anchor_m=169 Swiss=8 | 珊瑚,马龙鱼,绵鳚,淬锋钢,鲨齿爪,左轮手枪,葡萄弹,舱底蠕虫
  13. RR=163 anchor_m=163 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,葡萄弹,鲨齿爪,靴里剑,左轮手枪,淬锋钢
  14. RR=171 anchor_m=147 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,飞鱼,鲨齿爪,靴里剑,左轮手枪,淬锋钢
  15. RR=162 anchor_m=158 Swiss=8 | 马龙鱼,淬锋钢,葡萄弹,飞鱼,鲨齿爪,手斧,左轮手枪,舱底蠕虫
  16. RR=164 anchor_m=148 Swiss=8 | 马龙鱼,淬锋钢,流星索,葡萄弹,飞鱼,鲨齿爪,手斧,左轮手枪
  17. RR=161 anchor_m=138 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,飞鱼,鲨齿爪,抓钩,左轮手枪,淬锋钢
  18. RR=167 anchor_m=118 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,藏刃匕首,鲨齿爪,手斧,左轮手枪,淬锋钢
  19. RR=186 anchor_m=79 Swiss=9 | 沙滩充气球,马龙鱼,弹簧刀,手斧,鲨齿爪,左轮手枪,淬锋钢
  20. RR=150 anchor_m=150 Swiss=8 | 马龙鱼,弹簧刀,迷你弯刀,淬锋钢,葡萄弹,鲨齿爪,手斧,左轮手枪

[GDF] seeds: 弯刀
[GDF] size=10 top 20
  1. RR=269 anchor_m=258 Swiss=9 | 珊瑚,马龙鱼,淬锋钢,飞鱼,鲨齿爪,手斧,弯刀
  2. RR=269 anchor_m=236 Swiss=10 | 珊瑚,马龙鱼,弹簧刀,飞鱼,鲨齿爪,弯刀,淬锋钢
  3. RR=230 anchor_m=229 Swiss=8 | 鲨齿爪,手斧,流星索,葡萄弹,左轮手枪,弹簧刀,弯刀,淬锋钢
  4. RR=223 anchor_m=223 Swiss=8 | 鲨齿爪,手斧,流星索,靴里剑,左轮手枪,弹簧刀,弯刀,淬锋钢
  5. RR=223 anchor_m=215 Swiss=9 | 舱底蠕虫,流星索,鲨齿爪,手斧,左轮手枪,弹簧刀,弯刀,淬锋钢
  6. RR=222 anchor_m=215 Swiss=8 | 舱底蠕虫,流星索,鲨齿爪,手斧,独角鲸,弹簧刀,弯刀,淬锋钢
  7. RR=216 anchor_m=216 Swiss=9 | 鲨齿爪,葡萄弹,珊瑚,手斧,左轮手枪,弹簧刀,弯刀,淬锋钢
  8. RR=204 anchor_m=201 Swiss=9 | 舱底蠕虫,流星索,鲨齿爪,手斧,靴里剑,弹簧刀,弯刀,淬锋钢
  9. RR=201 anchor_m=198 Swiss=8 | 舱底蠕虫,流星索,鲨齿爪,手斧,迷你弯刀,弹簧刀,弯刀,淬锋钢
  10. RR=198 anchor_m=191 Swiss=8 | 湿件战服,迷幻蝠鲼,马龙鱼,弹簧刀,弯刀,珊瑚,淬锋钢
  11. RR=197 anchor_m=192 Swiss=9 | 靴里剑,鲨齿爪,葡萄弹,手斧,左轮手枪,弹簧刀,弯刀,淬锋钢
  12. RR=222 anchor_m=139 Swiss=8 | 珊瑚,马龙鱼,绵鳚,淬锋钢,飞鱼,鲨齿爪,弯刀
  13. RR=191 anchor_m=191 Swiss=8 | 鲨齿爪,葡萄弹,手斧,左轮手枪,弹簧刀,弯刀,刺刀,淬锋钢
  14. RR=183 anchor_m=182 Swiss=8 | 鲨齿爪,手斧,火药角,流星索,左轮手枪,弹簧刀,弯刀,淬锋钢
  15. RR=181 anchor_m=172 Swiss=8 | 水草,马龙鱼,弹簧刀,弯刀,手斧,鲨齿爪,淬锋钢
  16. RR=179 anchor_m=175 Swiss=8 | 舱底蠕虫,流星索,三花,鲨齿爪,手斧,弹簧刀,弯刀,淬锋钢
  17. RR=177 anchor_m=174 Swiss=8 | 舱底蠕虫,靴里剑,手斧,鲨齿爪,左轮手枪,弹簧刀,弯刀,淬锋钢
  18. RR=176 anchor_m=176 Swiss=8 | 舱底蠕虫,流星索,鲨齿爪,绵鳚,手斧,弹簧刀,弯刀,淬锋钢
  19. RR=175 anchor_m=175 Swiss=9 | 流星索,抓钩,鲨齿爪,手斧,左轮手枪,弹簧刀,弯刀,淬锋钢
  20. RR=171 anchor_m=171 Swiss=8 | 舱底蠕虫,流星索,鲨齿爪,手斧,弹簧刀,弯刀,刺刀,淬锋钢

[GDF] seeds: 弹簧刀
[GDF] size=10 top 20
  1. RR=225 anchor_m=210 Swiss=8 | 舱底蠕虫,珊瑚,手斧,鲨齿爪,飞鱼,弹簧刀,马龙鱼,淬锋钢
  2. RR=224 anchor_m=218 Swiss=8 | 手斧,鲨齿爪,飞鱼,弹簧刀,马龙鱼,绵鳚,湿件战服
  3. RR=211 anchor_m=200 Swiss=8 | 靴里剑,珊瑚,鲨齿爪,淬锋钢,手斧,飞鱼,弹簧刀,马龙鱼
  4. RR=208 anchor_m=199 Swiss=9 | 流星索,手斧,鲨齿爪,左轮手枪,弹簧刀,马龙鱼,葡萄弹,飞鱼
  5. RR=201 anchor_m=199 Swiss=8 | 葡萄弹,手斧,飞鱼,淬锋钢,鲨齿爪,左轮手枪,弹簧刀,马龙鱼
  6. RR=201 anchor_m=195 Swiss=8 | 舱底蠕虫,手斧,飞鱼,鲨齿爪,左轮手枪,弹簧刀,马龙鱼,淬锋钢
  7. RR=199 anchor_m=190 Swiss=8 | 靴里剑,手斧,流星索,鲨齿爪,葡萄弹,左轮手枪,弹簧刀,马龙鱼
  8. RR=202 anchor_m=180 Swiss=9 | 靴里剑,手斧,淬锋钢,鲨齿爪,葡萄弹,左轮手枪,弹簧刀,马龙鱼
  9. RR=191 anchor_m=191 Swiss=8 | 舱底蠕虫,手斧,飞鱼,鲨齿爪,迷你弯刀,弹簧刀,马龙鱼,淬锋钢
  10. RR=195 anchor_m=174 Swiss=8 | 舱底蠕虫,流星索,手斧,飞鱼,鲨齿爪,弹簧刀,马龙鱼,淬锋钢
  11. RR=186 anchor_m=179 Swiss=8 | 舱底蠕虫,手斧,飞鱼,鲨齿爪,靴里剑,弹簧刀,马龙鱼,淬锋钢
  12. RR=184 anchor_m=181 Swiss=8 | 手斧,鲨齿爪,流星索,左轮手枪,弹簧刀,马龙鱼,飞鱼,靴里剑
  13. RR=183 anchor_m=172 Swiss=9 | 靴里剑,手斧,鲨齿爪,葡萄弹,左轮手枪,弹簧刀,马龙鱼,刺刀
  14. RR=180 anchor_m=173 Swiss=8 | 舱底蠕虫,珊瑚,手斧,鲨齿爪,左轮手枪,弹簧刀,马龙鱼,淬锋钢
  15. RR=177 anchor_m=177 Swiss=9 | 靴里剑,鲨齿爪,飞鱼,弹簧刀,马龙鱼,绵鳚,湿件战服
  16. RR=182 anchor_m=165 Swiss=9 | 靴里剑,手斧,鲨齿爪,葡萄弹,三花,左轮手枪,弹簧刀,马龙鱼
  17. RR=176 anchor_m=169 Swiss=9 | 手斧,鲨齿爪,流星索,飞鱼,弹簧刀,马龙鱼,珊瑚,淬锋钢
  18. RR=172 anchor_m=165 Swiss=8 | 靴里剑,手斧,珊瑚,鲨齿爪,葡萄弹,左轮手枪,弹簧刀,马龙鱼
  19. RR=168 anchor_m=164 Swiss=8 | 手斧,鲨齿爪,左轮手枪,弹簧刀,马龙鱼,三花,葡萄弹,飞鱼
  20. RR=165 anchor_m=163 Swiss=8 | 三花,手斧,飞鱼,淬锋钢,鲨齿爪,左轮手枪,弹簧刀,马龙鱼

[GDF] seeds: 手斧
[GDF] size=10 top 20
  1. RR=248 anchor_m=239 Swiss=8 | 舱底蠕虫,手斧,鲨齿爪,迷你弯刀,弹簧刀,武士刀,刺刀,淬锋钢
  2. RR=226 anchor_m=226 Swiss=8 | 靴里剑,手斧,鲨齿爪,飞鱼,迷你弯刀,弹簧刀,马龙鱼,淬锋钢
  3. RR=216 anchor_m=216 Swiss=9 | 舱底蠕虫,手斧,鲨齿爪,迷你弯刀,靴里剑,武士刀,刺刀,淬锋钢
  4. RR=214 anchor_m=214 Swiss=9 | 靴里剑,独角鲸,手斧,鲨齿爪,飞鱼,弹簧刀,马龙鱼,淬锋钢
  5. RR=207 anchor_m=200 Swiss=8 | 靴里剑,舱底蠕虫,手斧,鲨齿爪,飞鱼,弹簧刀,马龙鱼,淬锋钢
  6. RR=198 anchor_m=198 Swiss=8 | 靴里剑,手斧,鲨齿爪,手里剑,飞鱼,弹簧刀,马龙鱼,淬锋钢
  7. RR=199 anchor_m=183 Swiss=10 | 靴里剑,手斧,狼筅,鲨齿爪,弹簧刀,马龙鱼,淬锋钢
  8. RR=196 anchor_m=189 Swiss=8 | 靴里剑,手斧,鲨齿爪,武士刀,弹簧刀,马龙鱼,淬锋钢
  9. RR=192 anchor_m=172 Swiss=8 | 舱底蠕虫,手斧,飞鱼,鲨齿爪,绵鳚,马龙鱼,淬锋钢,燃烧响炮
  10. RR=184 anchor_m=179 Swiss=8 | 鲨齿爪,绵鳚,马龙鱼,弹簧刀,燃烧响炮,打火机,手斧,葡萄弹
  11. RR=192 anchor_m=163 Swiss=8 | 舱底蠕虫,葡萄弹,手斧,鲨齿爪,绵鳚,马龙鱼,淬锋钢,燃烧响炮
  12. RR=193 anchor_m=150 Swiss=8 | 流星索,鲨齿爪,绵鳚,马龙鱼,弹簧刀,飞鱼,燃烧响炮,手斧
  13. RR=181 anchor_m=171 Swiss=9 | 鲨齿爪,绵鳚,马龙鱼,弹簧刀,燃烧响炮,流星索,手斧,葡萄弹
  14. RR=176 anchor_m=175 Swiss=8 | 手斧,飞鱼,鲨齿爪,狼筅,弹簧刀,马龙鱼,淬锋钢
  15. RR=172 anchor_m=172 Swiss=9 | 手斧,飞鱼,鲨齿爪,武士刀,弹簧刀,马龙鱼,淬锋钢
  16. RR=173 anchor_m=169 Swiss=8 | 靴里剑,手斧,鲨齿爪,抓钩,飞鱼,弹簧刀,马龙鱼,淬锋钢
  17. RR=174 anchor_m=156 Swiss=8 | 靴里剑,流星索,手斧,鲨齿爪,绵鳚,马龙鱼,淬锋钢,燃烧响炮
  18. RR=173 anchor_m=156 Swiss=9 | 靴里剑,鲨齿爪,绵鳚,马龙鱼,弹簧刀,打火机,燃烧响炮,手斧
  19. RR=167 anchor_m=167 Swiss=8 | 靴里剑,手斧,鲨齿爪,飞鱼,手雷,弹簧刀,马龙鱼,淬锋钢
  20. RR=171 anchor_m=153 Swiss=9 | 舱底蠕虫,鲨齿爪,绵鳚,马龙鱼,弹簧刀,飞鱼,燃烧响炮,手斧

[GDF] seeds: 手里剑
[GDF] size=10 top 20
