anchor	rr	anchor_m	swiss	deck
珊瑚护甲	222	197	10	珊瑚护甲,潜水配重,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
珍珠	206	135	10	水草,潜水配重,拍立蚌,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠
理查森先生	232	166	11	飞鱼,潜水配重,理查森先生,大钢弩,枪套,打火机,绵鳚,加速烙刀
皮皮虾	266	246	11	火药角,烈酒杯,枪套,皮皮虾,减速烙刀,十手,大钢弩,拍立蚌
盐钳海盗	243	131	10	枪套,燃烧响炮,大钢弩,加速烙刀,绵鳚,潜水配重,盐钳海盗,烈酒杯
码头缆索	217	201	11	码头缆索,十手,减速烙刀,拍立蚌,皮皮虾,火药角,烈酒杯,流星索
篝火	269	269	11	加速烙刀,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮,大钢弩
绵鳚	274	274	11	打火机,枪套,水母,潜水配重,绵鳚,加速烙刀,燃烧响炮,大钢弩
舱底蠕虫	291	5	10	大钢弩,燃烧响炮,绵鳚,打火机,燃烧子弹,毒须鲶,篝火,舱底蠕虫
船舵	233	233	11	藏刃匕首,船舵,绵鳚,加速烙刀,抛石机,燃烧响炮
船长舱	217	217	10	流星索,小冰镐,深潜器,带刃悬浮板,潜水配重,船长舱
船首像	215	180	11	湿件战服,船首像,小冰镐,藏刃匕首,潜水配重,带刃悬浮板,淬锋钢
葡萄弹	260	102	10	加速烙刀,绵鳚,潜水配重,枪套,燃烧响炮,葡萄弹,烈酒杯,大钢弩
蔻森娜纹章	192	57	11	拍立蚌,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,水草,蔻森娜纹章
藏刃匕首	250	214	11	小冰镐,加速烙刀,绵鳚,潜水配重,燃烧响炮,枪套,藏刃匕首,大钢弩
蝶剑	280	74	11	加速烙刀,蝶剑,船舵,水车,淬锋钢,珊瑚
赛博铁尺	230	119	10	蔻森娜纹章,狼筅,绵鳚,小冰镐,燃烧响炮,靴里剑,打火机,赛博铁尺
连发步枪	276	276	10	淬锋钢,套娃,水车,连发步枪,填弹杆,燃烧响炮
迷你弯刀	231	231	11	潜水配重,水车,拍立蚌,淬锋钢,六分仪,迷你弯刀,消音器
迷幻蝠鲼	208	175	10	拍立蚌,十手,减速烙刀,绵鳚,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,燃烧响炮
通缉海报	248	48	10	打火机,潜水配重,绵鳚,加速烙刀,小冰镐,枪套,燃烧响炮,通缉海报
钓鱼竿	197	135	9	钓鱼竿,潜水配重,毒须鲶,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水草
铲子	222	44	11	小冰镐,铲子,珊瑚,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
锁匣	266	79	11	舱底蠕虫,锁匣,船长舱,潜水配重,带刃悬浮板,淬锋钢
锁镰	250	114	11	流星索,大钢弩,十手,枪套,锁镰,小冰镐,皮皮虾,火药角,烈酒杯
集成式HUD	251	-2	11	马龙鱼,湿件战服,淬锋钢,藏刃匕首,深潜器,集成式HUD,小冰镐
雪怪蟹	185	185	10	小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,拍立蚌,水草,海螺壳
靴里剑	202	62	9	靴里剑,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水草,拍立蚌
风暴瓶	224	220	10	珊瑚,潜水配重,元素深水炸弹,雪怪蟹,风暴瓶,绵鳚,小冰镐,拍立蚌
飞镖发射器	241	129	11	减速烙刀,锁镰,飞镖发射器,十手,皮皮虾,烈酒杯,炮弹,流星索,拍立蚌
飞鱼	257	75	10	大钢弩,藏刃匕首,燃烧响炮,飞鱼,潜水配重,绵鳚,加速烙刀,枪套
食人鱼	221	90	10	小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,拍立蚌,食人鱼
马龙鱼	278	278	11	牌桌,淬锋钢,水车,马龙鱼,深潜器
鱼叉	265	34	11	马龙鱼,鱼叉,深潜器,牌桌,湿件战服
鱼雷	250	78	12	六分仪,潜水配重,鱼雷,炮弹,烈酒杯,枪套,大钢弩
鱼饵	188	101	10	拍立蚌,海螺壳,潜水配重,鱼饵,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
鲨齿爪	277	186	11	藏刃匕首,燃烧响炮,燃烧子弹,小冰镐,绵鳚,加速烙刀,鲨齿爪,枪套
鳐鲨	221	183	11	小冰镐,鳐鲨,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,水草
鸦巢	240	109	11	鸦巢,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼
鹦鹉皮特	277	237	11	大钢弩,鹦鹉皮特,绵鳚,燃烧响炮,燃烧子弹,加速烙刀,篝火
龙涎香	189	105	10	龙涎香,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,拍立蚌,迷幻蝠鲼,皮皮虾
