anchor	rr	anchor_m	swiss	deck
水母	216	192	11	大钢弩,枪套,小冰镐,加速烙刀,绵鳚,潜水配重,水母,拍立蚌
水草	270	118	11	飞鱼,潜水配重,水草,枪套,燃烧响炮,绵鳚,加速烙刀,大钢弩
水车	241	241	10	加速烙刀,藏刃匕首,燃烧响炮,水车,套娃,枪套,小冰镐
沙滩充气球	251	114	10	大钢弩,沙滩充气球,潜水配重,六分仪,烈酒杯,吸血章鱼,枪套
河豚	264	113	11	大钢弩,烈酒杯,加速烙刀,绵鳚,潜水配重,水母,河豚
流星索	253	100	11	加速烙刀,篝火,绵鳚,打火机,燃烧子弹,流星索,珊瑚,燃烧响炮
海底热泉	278	240	11	大钢弩,燃烧响炮,海底热泉,绵鳚,篝火,加速烙刀
海影宝驹	276	241	10	燃烧响炮,小冰镐,绵鳚,加速烙刀,枪套,打火机,海影宝驹,藏刃匕首
海狗沙龙	214	214	10	盐钳海盗,迷幻蝠鲼,皮皮虾,飞鱼,海狗沙龙,绵鳚,鳐鲨
海螺壳	205	86	11	珊瑚,拍立蚌,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,迷幻蝠鲼,皮皮虾,海螺壳
消音器	274	179	10	小冰镐,喷射摩托,藏刃匕首,消音器,淬锋钢,飞鱼,湿件战服
淬锋钢	254	162	11	淬锋钢,牌桌,沙滩充气球,六分仪,枪套,吸血章鱼,潜水配重
深海弯刀	196	93	9	深海弯刀,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,拍立蚌
深潜器	230	230	10	手斧,小冰镐,沙滩充气球,潜水配重,带刃悬浮板,深潜器,淬锋钢
渔网	245	32	11	篝火,加速烙刀,燃烧子弹,打火机,绵鳚,渔网,燃烧响炮
温馨海湾	250	100	11	拍立蚌,温馨海湾,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
港口	240	240	11	流星索,鱼雷,船舵,潜水配重,拍立蚌,港口
湿件战服	250	19	11	淬锋钢,带刃悬浮板,潜水配重,深潜器,小冰镐,手斧,湿件战服
潜水配重	192	191	10	拍立蚌,加速烙刀,绵鳚,潜水配重,烈酒杯,大钢弩,小冰镐,枪套
潜艇	230	220	11	海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,潜艇,小冰镐
潜行滑翔机	283	26	11	燃烧响炮,潜行滑翔机,燃烧子弹,打火机,篝火,加速烙刀
火枪	284	54	11	大钢弩,燃烧响炮,燃烧子弹,火枪,篝火,绵鳚,打火机
火炮	286	224	11	燃烧响炮,篝火,珊瑚,加速烙刀,绵鳚,打火机,火炮
火药角	217	187	9	火药角,烈酒杯,皮皮虾,枪套,十手,拍立蚌,盐钳海盗,绵鳚,大钢弩
炮弹	261	145	11	枪套,皮皮虾,小冰镐,大钢弩,加速烙刀,烈酒杯,炮弹,潜水配重
烈酒杯	210	210	10	枪套,流星索,大钢弩,绵鳚,火药角,烈酒杯,拍立蚌,皮皮虾,十手
烙刀	254	60	10	打火机,绵鳚,加速烙刀,烙刀,小冰镐,篝火,燃烧响炮
燃烧响炮	290	290	11	大钢弩,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀
燃烧子弹	249	245	11	大钢弩,小冰镐,绵鳚,篝火,打火机,燃烧子弹,拍立蚌,燃烧响炮
牌桌	214	137	10	火药角,烈酒杯,枪套,流星索,抓钩,大钢弩,牌桌,皮皮虾
独角鲸	202	115	10	独角鲸,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,水草,拍立蚌,小冰镐
狼筅	261	158	11	手斧,燃烧响炮,篝火,狼筅,绵鳚,打火机,大钢弩
珊瑚	209	90	11	小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,珊瑚,拍立蚌
珊瑚护甲	203	179	9	珊瑚护甲,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水草
珍珠	189	69	10	皮皮虾,迷幻蝠鲼,拍立蚌,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
理查森先生	271	39	11	燃烧响炮,枪套,大钢弩,潜水配重,理查森先生,绵鳚,加速烙刀,烈酒杯
皮皮虾	219	176	11	大钢弩,绵鳚,皮皮虾,迷幻蝠鲼,盐钳海盗,枪套,火药角,烈酒杯,十手
盐钳海盗	237	128	11	盐钳海盗,潜水配重,绵鳚,加速烙刀,拍立蚌,枪套,大钢弩,烈酒杯
码头缆索	240	150	11	皮皮虾,潜水配重,码头缆索,枪套,大钢弩,十手,火药角,烈酒杯
篝火	222	222	11	燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩
绵鳚	225	214	10	大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索
舱底蠕虫	283	-7	11	大钢弩,燃烧响炮,绵鳚,打火机,燃烧子弹,毒须鲶,篝火,舱底蠕虫
船舵	256	256	11	小冰镐,船舵,绵鳚,藏刃匕首,大钢弩,抛石机
船长舱	234	234	11	十手,船长舱,流星索,烈酒杯,皮皮虾,手雷,锁镰,小冰镐
船首像	258	223	11	水草,绵鳚,元素深水炸弹,雪怪蟹,毒须鲶,潜水配重,船首像,小冰镐
葡萄弹	273	96	11	珊瑚,篝火,加速烙刀,打火机,燃烧子弹,燃烧响炮,绵鳚,葡萄弹
蔻森娜纹章	258	11	11	加速烙刀,绵鳚,潜水配重,打火机,燃烧响炮,大钢弩,蔻森娜纹章,枪套
藏刃匕首	229	209	11	藏刃匕首,大钢弩,绵鳚,加速烙刀,烈酒杯,枪套,燃烧响炮,小冰镐
蝶剑	292	1	11	大钢弩,燃烧响炮,篝火,淬锋钢,燃烧子弹,打火机,绵鳚,蝶剑
赛博铁尺	187	172	10	小冰镐,绵鳚,打火机,舱底蠕虫,蔻森娜纹章,手斧,燃烧响炮,赛博铁尺,靴里剑
连发步枪	282	282	11	淬锋钢,套娃,水车,连发步枪,填弹杆,燃烧响炮
迷你弯刀	218	218	11	船长舱,淬锋钢,迷你弯刀,码头缆索,潜水配重,六分仪
迷幻蝠鲼	223	122	10	皮皮虾,迷幻蝠鲼,水母,枪套,大钢弩,拍立蚌,火药角,烈酒杯,十手
通缉海报	254	47	11	大钢弩,打火机,绵鳚,小冰镐,篝火,燃烧响炮,通缉海报
钓鱼竿	235	114	11	燃烧响炮,钓鱼竿,潜水配重,毒须鲶,加速烙刀,绵鳚,打火机,枪套
铲子	291	0	11	篝火,打火机,燃烧子弹,铲子,绵鳚,燃烧响炮,大钢弩
锁匣	287	17	11	锁匣,篝火,加速烙刀,打火机,绵鳚,燃烧响炮,枪套
锁镰	240	87	11	小冰镐,锁镰,大钢弩,十手,炮弹,烈酒杯,皮皮虾,枪套,拍立蚌
集成式HUD	267	-3	11	大钢弩,集成式HUD,燃烧响炮,绵鳚,打火机,燃烧子弹,毒须鲶,篝火
雪怪蟹	188	187	11	拍立蚌,皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水草
靴里剑	254	228	11	篝火,打火机,燃烧子弹,套娃,大钢弩,靴里剑,绵鳚,燃烧响炮
风暴瓶	224	224	10	燃烧响炮,拍立蚌,小冰镐,珊瑚,元素深水炸弹,绵鳚,风暴瓶,雪怪蟹
飞镖发射器	221	36	10	皮皮虾,枪套,飞镖发射器,十手,火药角,烈酒杯,大钢弩,拍立蚌,流星索
飞鱼	240	113	11	大钢弩,加速烙刀,绵鳚,潜水配重,飞鱼,藏刃匕首,枪套,打火机
食人鱼	267	13	11	大钢弩,加速烙刀,绵鳚,篝火,打火机,食人鱼,燃烧响炮
马龙鱼	237	237	10	牌桌,马龙鱼,深潜器,水车,淬锋钢
鱼叉	215	26	10	大钢弩,鱼叉,燃烧响炮,燃烧子弹,加速烙刀,篝火
鱼雷	213	213	10	流星索,小冰镐,火药角,鱼雷,潜水配重,水车,拍立蚌
鱼饵	204	99	11	海螺壳,鱼饵,潜水配重,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
鲨齿爪	234	234	11	鲨齿爪,绵鳚,小冰镐,飞鱼,抛石机,手斧,手里剑
鳐鲨	263	260	11	大钢弩,枪套,马龙鱼,水母,飞鱼,潜水配重,鳐鲨
鸦巢	225	110	11	迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,鸦巢
鹦鹉皮特	282	114	11	篝火,毒须鲶,鹦鹉皮特,绵鳚,燃烧响炮,燃烧子弹,拍立蚌,大钢弩
龙涎香	194	105	10	海螺壳,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,龙涎香,拍立蚌
