# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=278 anchor_m=6 Swiss=11 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,绵鳚,加速烙刀,三花
  14. RR=162 anchor_m=162 Swiss=10 | 水草,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,珊瑚,小冰镐,鱼饵
  15. RR=162 anchor_m=162 Swiss=10 | 海螺壳,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,盐钳海盗,小冰镐
  16. RR=161 anchor_m=161 Swiss=10 | 珊瑚,水草,绵鳚,元素深水炸弹,雪怪蟹,毒须鲶,拍立蚌,小冰镐,海螺壳
  17. RR=159 anchor_m=159 Swiss=11 | 水草,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,珊瑚,小冰镐,拍立蚌
  18. RR=159 anchor_m=159 Swiss=10 | 水草,绵鳚,元素深水炸弹,雪怪蟹,毒须鲶,拍立蚌,小冰镐,皮皮虾,海螺壳
  19. RR=159 anchor_m=159 Swiss=9 | 拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,飞鱼,小冰镐
  20. RR=158 anchor_m=158 Swiss=10 | 珍珠,拍立蚌,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,盐钳海盗,小冰镐

[GDF] seeds: 六分仪
[GDF] size=10 top 20
  1. RR=230 anchor_m=230 Swiss=11 | 六分仪,潜水配重,炮弹,烈酒杯,枪套,拍立蚌,大钢弩,吸血章鱼
  2. RR=220 anchor_m=220 Swiss=10 | 六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,迷幻蝠鲼
  3. RR=211 anchor_m=211 Swiss=10 | 六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,雪怪蟹
  4. RR=206 anchor_m=201 Swiss=11 | 淬锋钢,六分仪,潜水配重,炮弹,烈酒杯,大钢弩,枪套,吸血章鱼
  5. RR=197 anchor_m=193 Swiss=10 | 六分仪,鱼饵,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼
  6. RR=196 anchor_m=183 Swiss=10 | 六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,小冰镐
  7. RR=189 anchor_m=187 Swiss=9 | 六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,绵鳚,吸血章鱼
  8. RR=184 anchor_m=184 Swiss=11 | 枪套,六分仪,潜水配重,炮弹,烈酒杯,大钢弩,吸血章鱼,燃烧子弹
  9. RR=182 anchor_m=181 Swiss=9 | 六分仪,潜水配重,枪套,炮弹,烈酒杯,舱底蠕虫,大钢弩,吸血章鱼
  10. RR=192 anchor_m=160 Swiss=10 | 六分仪,潜水配重,炮弹,枪套,烈酒杯,集成式HUD,大钢弩,吸血章鱼
  11. RR=180 anchor_m=172 Swiss=11 | 六分仪,潜水配重,炮弹,烈酒杯,枪套,靴里剑,大钢弩,吸血章鱼
  12. RR=171 anchor_m=171 Swiss=10 | 六分仪,潜水配重,流星索,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼
  13. RR=182 anchor_m=149 Swiss=10 | 六分仪,潜水配重,拍立蚌,炮弹,烈酒杯,定制准镜,大钢弩,吸血章鱼
  14. RR=169 anchor_m=168 Swiss=10 | 六分仪,潜水配重,炮弹,沙滩充气球,烈酒杯,大钢弩,吸血章鱼
  15. RR=169 anchor_m=168 Swiss=10 | 六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,理查森先生,吸血章鱼
  16. RR=168 anchor_m=165 Swiss=10 | 六分仪,潜水配重,炮弹,烈酒杯,大钢弩,星图,吸血章鱼
  17. RR=186 anchor_m=128 Swiss=9 | 六分仪,潜水配重,炮弹,烈酒杯,枪套,皮皮虾,大钢弩,吸血章鱼
  18. RR=166 anchor_m=166 Swiss=9 | 六分仪,潜水配重,消音器,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼
  19. RR=169 anchor_m=149 Swiss=10 | 蔻森娜纹章,六分仪,潜水配重,炮弹,烈酒杯,拍立蚌,大钢弩,吸血章鱼
  20. RR=162 anchor_m=162 Swiss=10 | 六分仪,潜水配重,炮弹,烈酒杯,飞镖发射器,枪套,大钢弩,吸血章鱼

[GDF] seeds: 减速烙刀
[GDF] size=10 top 20
  1. RR=216 anchor_m=130 Swiss=11 | 火药角,烈酒杯,减速烙刀,拍立蚌,枪套,皮皮虾,十手,大钢弩
  2. RR=200 anchor_m=200 Swiss=10 | 皮皮虾,流星索,珊瑚,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,十手
  3. RR=202 anchor_m=195 Swiss=10 | 火药角,烈酒杯,流星索,减速烙刀,绵鳚,拍立蚌,皮皮虾,大钢弩
  4. RR=203 anchor_m=169 Swiss=11 | 大钢弩,拍立蚌,流星索,皮皮虾,十手,炮弹,烈酒杯,减速烙刀
  5. RR=198 anchor_m=179 Swiss=10 | 拍立蚌,大钢弩,皮皮虾,十手,炮弹,烈酒杯,绵鳚,减速烙刀
  6. RR=190 anchor_m=189 Swiss=10 | 迷幻蝠鲼,皮皮虾,流星索,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,十手
  7. RR=197 anchor_m=173 Swiss=10 | 火药角,烈酒杯,减速烙刀,拍立蚌,流星索,皮皮虾,十手,大钢弩
  8. RR=188 anchor_m=183 Swiss=10 | 皮皮虾,火药角,烈酒杯,燃烧响炮,绵鳚,减速烙刀,大钢弩,拍立蚌
  9. RR=182 anchor_m=182 Swiss=11 | 拍立蚌,流星索,皮皮虾,锁镰,十手,炮弹,烈酒杯,绵鳚,减速烙刀
  10. RR=179 anchor_m=179 Swiss=10 | 拍立蚌,十手,流星索,炮弹,烈酒杯,绵鳚,减速烙刀,燃烧响炮,皮皮虾
  11. RR=170 anchor_m=167 Swiss=10 | 理查森先生,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,流星索,减速烙刀,拍立蚌,十手
  12. RR=184 anchor_m=136 Swiss=11 | 火药角,烈酒杯,减速烙刀,潜水配重,拍立蚌,皮皮虾,十手,大钢弩
  13. RR=176 anchor_m=149 Swiss=10 | 皮皮虾,大钢弩,拍立蚌,火药角,烈酒杯,减速烙刀,绵鳚,十手
  14. RR=188 anchor_m=122 Swiss=10 | 拍立蚌,大钢弩,皮皮虾,十手,炮弹,烈酒杯,枪套,减速烙刀
  15. RR=166 anchor_m=165 Swiss=9 | 拍立蚌,流星索,理查森先生,迷幻蝠鲼,皮皮虾,烈酒杯,炮弹,十手,减速烙刀
  16. RR=174 anchor_m=146 Swiss=10 | 拍立蚌,皮皮虾,十手,锁镰,手雷,炮弹,烈酒杯,流星索,减速烙刀
  17. RR=163 anchor_m=159 Swiss=9 | 皮皮虾,流星索,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,手里剑,十手
  18. RR=179 anchor_m=126 Swiss=10 | 潜水配重,拍立蚌,大钢弩,皮皮虾,十手,炮弹,烈酒杯,减速烙刀
  19. RR=161 anchor_m=160 Swiss=11 | 皮皮虾,火药角,烈酒杯,十手,流星索,拍立蚌,救生圈,减速烙刀
  20. RR=161 anchor_m=160 Swiss=9 | 皮皮虾,流星索,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,十手,小冰镐

[GDF] seeds: 刺刀
[GDF] size=10 top 20
  1. RR=242 anchor_m=44 Swiss=10 | 流星索,小冰镐,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  2. RR=212 anchor_m=66 Swiss=10 | 小冰镐,手里剑,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  3. RR=222 anchor_m=36 Swiss=10 | 小冰镐,藏刃匕首,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  4. RR=222 anchor_m=35 Swiss=11 | 舱底蠕虫,小冰镐,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  5. RR=222 anchor_m=30 Swiss=10 | 手雷,小冰镐,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  6. RR=200 anchor_m=64 Swiss=10 | 葡萄弹,小冰镐,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  7. RR=192 anchor_m=54 Swiss=9 | 珊瑚,小冰镐,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  8. RR=201 anchor_m=33 Swiss=9 | 小冰镐,刺刀,绵鳚,船长舱,潜水配重,带刃悬浮板,淬锋钢
  9. RR=192 anchor_m=51 Swiss=9 | 小冰镐,飞鱼,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  10. RR=193 anchor_m=40 Swiss=9 | 小冰镐,刺刀,枪套,船长舱,潜水配重,带刃悬浮板,淬锋钢
  11. RR=198 anchor_m=16 Swiss=9 | 海螺壳,珊瑚,绵鳚,元素深水炸弹,雪怪蟹,水母,龙涎香,小冰镐,刺刀
  12. RR=184 anchor_m=42 Swiss=9 | 小冰镐,刺刀,船长舱,盐钳海盗,潜水配重,带刃悬浮板,淬锋钢
  13. RR=197 anchor_m=15 Swiss=10 | 珊瑚,绵鳚,元素深水炸弹,雪怪蟹,水母,龙涎香,小冰镐,刺刀,拍立蚌
  14. RR=173 anchor_m=62 Swiss=9 | 小冰镐,迷你弯刀,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  15. RR=170 anchor_m=67 Swiss=9 | 船首像,小冰镐,刺刀,手斧,绵鳚,潜水配重,带刃悬浮板,淬锋钢
  16. RR=175 anchor_m=48 Swiss=9 | 小冰镐,独角鲸,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  17. RR=189 anchor_m=11 Swiss=10 | 小冰镐,刺刀,手斧,船长舱,潜水配重,带刃悬浮板,淬锋钢
  18. RR=159 anchor_m=69 Swiss=9 | 小冰镐,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢,水草
  19. RR=172 anchor_m=43 Swiss=9 | 抓钩,小冰镐,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢
  20. RR=176 anchor_m=31 Swiss=10 | 小冰镐,刺刀,船长舱,潜水配重,带刃悬浮板,淬锋钢,燃烧响炮

[GDF] seeds: 加速烙刀
[GDF] size=10 top 20
  1. RR=226 anchor_m=195 Swiss=10 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,小冰镐,枪套
  2. RR=212 anchor_m=191 Swiss=11 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,枪套,流星索
  3. RR=204 anchor_m=203 Swiss=10 | 打火机,篝火,加速烙刀,燃烧子弹,燃烧响炮,绵鳚,大钢弩
  4. RR=195 anchor_m=193 Swiss=10 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,理查森先生,大钢弩,枪套
  5. RR=188 anchor_m=188 Swiss=10 | 加速烙刀,绵鳚,龙涎香,潜水配重,水母,拍立蚌,大钢弩,枪套
  6. RR=185 anchor_m=176 Swiss=10 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,左轮手枪,大钢弩,枪套
  7. RR=181 anchor_m=181 Swiss=10 | 枪套,大钢弩,燃烧响炮,燃烧子弹,拍立蚌,潜水配重,绵鳚,加速烙刀
  8. RR=182 anchor_m=178 Swiss=11 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,套娃,枪套
  9. RR=186 anchor_m=169 Swiss=11 | 藏刃匕首,加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,枪套
  10. RR=182 anchor_m=170 Swiss=10 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,枪套,皮皮虾
  11. RR=180 anchor_m=170 Swiss=11 | 加速烙刀,绵鳚,潜水配重,水母,珍珠,拍立蚌,大钢弩,枪套
  12. RR=186 anchor_m=150 Swiss=10 | 加速烙刀,绵鳚,盐钳海盗,潜水配重,水母,拍立蚌,大钢弩,枪套
  13. RR=175 anchor_m=171 Swiss=10 | 加速烙刀,绵鳚,迷幻蝠鲼,潜水配重,水母,拍立蚌,大钢弩,枪套
  14. RR=175 anchor_m=170 Swiss=10 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,鹦鹉皮特,枪套
  15. RR=173 anchor_m=170 Swiss=11 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,水草,枪套
  16. RR=177 anchor_m=157 Swiss=10 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,烈酒杯,枪套
  17. RR=171 anchor_m=168 Swiss=9 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,鱼饵,枪套
  18. RR=177 anchor_m=149 Swiss=9 | 靴里剑,加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,枪套
  19. RR=167 anchor_m=160 Swiss=10 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,独角鲸,枪套
  20. RR=170 anchor_m=143 Swiss=11 | 加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,打火机,枪套

[GDF] seeds: 十手
[GDF] size=10 top 20
  1. RR=246 anchor_m=99 Swiss=10 | 十手,盐钳海盗,迷幻蝠鲼,皮皮虾,绵鳚,大钢弩,枪套,火药角,烈酒杯
  2. RR=205 anchor_m=117 Swiss=10 | 十手,绵鳚,迷幻蝠鲼,枪套,拍立蚌,皮皮虾,大钢弩,火药角,烈酒杯
  3. RR=210 anchor_m=83 Swiss=11 | 拍立蚌,十手,盐钳海盗,迷幻蝠鲼,皮皮虾,大钢弩,枪套,火药角,烈酒杯
  4. RR=179 anchor_m=121 Swiss=10 | 标枪,十手,盐钳海盗,迷幻蝠鲼,皮皮虾,大钢弩,火药角,烈酒杯
  5. RR=194 anchor_m=83 Swiss=10 | 十手,盐钳海盗,迷幻蝠鲼,皮皮虾,大钢弩,枪套,火药角,烈酒杯,藏刃匕首
  6. RR=189 anchor_m=88 Swiss=10 | 十手,绵鳚,迷幻蝠鲼,枪套,潜水配重,皮皮虾,大钢弩,火药角,烈酒杯
  7. RR=181 anchor_m=103 Swiss=11 | 十手,小冰镐,枪套,盐钳海盗,迷幻蝠鲼,皮皮虾,烈酒杯,炮弹,大钢弩
  8. RR=173 anchor_m=117 Swiss=10 | 十手,绵鳚,迷幻蝠鲼,枪套,皮皮虾,大钢弩,火药角,烈酒杯,手雷
  9. RR=168 anchor_m=121 Swiss=10 | 淬锋钢,十手,盐钳海盗,迷幻蝠鲼,皮皮虾,大钢弩,枪套,火药角,烈酒杯
  10. RR=202 anchor_m=51 Swiss=11 | 流星索,火药角,烈酒杯,十手,绵鳚,迷幻蝠鲼,皮皮虾,枪套,大钢弩
  11. RR=184 anchor_m=85 Swiss=10 | 十手,枪套,盐钳海盗,迷幻蝠鲼,皮皮虾,烈酒杯,炮弹,大钢弩,流星索
  12. RR=168 anchor_m=116 Swiss=10 | 十手,绵鳚,迷幻蝠鲼,枪套,皮皮虾,飞鱼,大钢弩,火药角,烈酒杯
  13. RR=159 anchor_m=119 Swiss=9 | 十手,绵鳚,迷幻蝠鲼,枪套,皮皮虾,大钢弩,雪怪蟹,火药角,烈酒杯
  14. RR=157 anchor_m=122 Swiss=9 | 十手,绵鳚,迷幻蝠鲼,锁镰,枪套,皮皮虾,大钢弩,火药角,烈酒杯
  15. RR=193 anchor_m=49 Swiss=10 | 十手,枪套,潜水配重,盐钳海盗,迷幻蝠鲼,皮皮虾,大钢弩,火药角,烈酒杯
  16. RR=158 anchor_m=116 Swiss=10 | 十手,绵鳚,迷幻蝠鲼,独角鲸,枪套,皮皮虾,大钢弩,火药角,烈酒杯
  17. RR=165 anchor_m=101 Swiss=9 | 十手,绵鳚,迷幻蝠鲼,藏刃匕首,枪套,皮皮虾,大钢弩,火药角,烈酒杯
  18. RR=155 anchor_m=112 Swiss=9 | 大钢弩,手雷,炮弹,烈酒杯,十手,迷幻蝠鲼,皮皮虾,标枪
  19. RR=166 anchor_m=89 Swiss=10 | 燃烧响炮,枪套,十手,绵鳚,迷幻蝠鲼,皮皮虾,大钢弩,火药角,烈酒杯
  20. RR=159 anchor_m=101 Swiss=10 | 左轮手枪,十手,盐钳海盗,迷幻蝠鲼,皮皮虾,大钢弩,枪套,火药角,烈酒杯

[GDF] seeds: 双管霰弹枪
[GDF] size=10 top 20
  1. RR=232 anchor_m=41 Swiss=11 | 珊瑚,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪
  2. RR=229 anchor_m=52 Swiss=11 | 珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪,拍立蚌
  3. RR=171 anchor_m=164 Swiss=10 | 手斧,手雷,船长舱,小冰镐,双管霰弹枪,流星索,葡萄弹
  4. RR=168 anchor_m=168 Swiss=9 | 手雷,船长舱,手斧,小冰镐,绵鳚,双管霰弹枪,刺刀
  5. RR=230 anchor_m=30 Swiss=10 | 海螺壳,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪
  6. RR=212 anchor_m=60 Swiss=11 | 珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪,潜水配重
  7. RR=162 anchor_m=158 Swiss=10 | 手斧,手雷,船长舱,小冰镐,双管霰弹枪,刺刀,流星索
  8. RR=222 anchor_m=38 Swiss=10 | 珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水草,双管霰弹枪
  9. RR=214 anchor_m=41 Swiss=11 | 珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,珍珠,双管霰弹枪
  10. RR=213 anchor_m=43 Swiss=10 | 理查森先生,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪
  11. RR=201 anchor_m=61 Swiss=10 | 珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪,食人鱼
  12. RR=207 anchor_m=48 Swiss=10 | 珊瑚,飞鱼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪
  13. RR=187 anchor_m=78 Swiss=10 | 珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,手斧,双管霰弹枪
  14. RR=213 anchor_m=25 Swiss=10 | 珊瑚,鱼饵,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪
  15. RR=210 anchor_m=31 Swiss=10 | 珊瑚,龙涎香,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪
  16. RR=205 anchor_m=38 Swiss=11 | 盐钳海盗,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪
  17. RR=201 anchor_m=45 Swiss=10 | 珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,吸血章鱼,双管霰弹枪
  18. RR=195 anchor_m=53 Swiss=11 | 珊瑚,独角鲸,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,双管霰弹枪
  19. RR=145 anchor_m=142 Swiss=9 | 手斧,手雷,船长舱,小冰镐,手里剑,双管霰弹枪,流星索
  20. RR=143 anchor_m=143 Swiss=10 | 火药角,双管霰弹枪,水车,淬锋钢,鸦巢

[GDF] seeds: 吸血章鱼
[GDF] size=10 top 20
  1. RR=190 anchor_m=78 Swiss=11 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,吸血章鱼,鱼饵,拍立蚌
