# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=10 top 20
  1. RR=283 anchor_m=262 Swiss=9 | 彩虹药水,红宝石,蜡烛,香炉,火焰药水,瓶装闪电,煅烧釜,云精灵
  13. RR=207 anchor_m=202 Swiss=8 | 地刺陷阱,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,火焰药水,鳄鱼眼泪,贤者之石
  14. RR=206 anchor_m=200 Swiss=8 | 地刺陷阱,蜡烛,翡翠,毒蜥,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,彩虹药水
  15. RR=197 anchor_m=188 Swiss=8 | 地刺陷阱,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,碎瓶,鳄鱼眼泪,彩虹药水
  16. RR=194 anchor_m=190 Swiss=8 | 地刺陷阱,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,火焰药水,塔兹迪亚匕首,鳄鱼眼泪
  17. RR=188 anchor_m=184 Swiss=8 | 地刺陷阱,蜡烛,翡翠,真菌孢子,碎瓶,火焰药水,倒刺利爪,毒液,鳄鱼眼泪
  18. RR=184 anchor_m=178 Swiss=8 | 地刺陷阱,蜡烛,翡翠,真菌孢子,毒蜥,倒刺利爪,毒液,香炉,鳄鱼眼泪
  19. RR=183 anchor_m=174 Swiss=8 | 地刺陷阱,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,彩虹药水,塔兹迪亚匕首
  20. RR=183 anchor_m=160 Swiss=8 | 毒液注射,地刺陷阱,倒刺利爪,毒液,蛇怪之牙,蜡烛,真菌孢子,彩虹药水,翡翠

[GDF] seeds: 再生药水
[GDF] size=10 top 20
  1. RR=267 anchor_m=235 Swiss=10 | 煅烧釜,火焰药水,香炉,红宝石,再生药水,彩虹药水,鳄鱼眼泪,蜡烛
  2. RR=266 anchor_m=227 Swiss=9 | 煅烧釜,香炉,瓶装闪电,红宝石,再生药水,彩虹药水,蜡烛,火焰药水
  3. RR=254 anchor_m=237 Swiss=9 | 煅烧釜,蜡烛,香炉,碎瓶,火焰药水,红宝石,瓶装闪电,再生药水
  4. RR=252 anchor_m=227 Swiss=9 | 煅烧釜,彩虹药水,鳄鱼眼泪,蜡烛,香炉,红宝石,再生药水,碎瓶
  5. RR=256 anchor_m=208 Swiss=9 | 煅烧釜,香炉,瓶装闪电,红宝石,再生药水,彩虹药水,鳄鱼眼泪,蜡烛
  6. RR=240 anchor_m=238 Swiss=9 | 煅烧釜,蜡烛,香炉,鳄鱼眼泪,火焰药水,红宝石,瓶装闪电,再生药水
  7. RR=246 anchor_m=179 Swiss=8 | 煅烧釜,彩虹药水,蜡烛,香炉,红宝石,再生药水,碎瓶,火焰药水
  8. RR=224 anchor_m=210 Swiss=8 | 煅烧釜,蜡烛,香炉,火焰药水,红宝石,贤者之石,瓶装闪电,再生药水
  9. RR=218 anchor_m=202 Swiss=9 | 煅烧釜,火焰药水,塔兹迪亚匕首,香炉,红宝石,再生药水,彩虹药水,蜡烛
  10. RR=219 anchor_m=193 Swiss=8 | 煅烧釜,云精灵,香炉,红宝石,鳄鱼眼泪,再生药水,彩虹药水,蜡烛
  11. RR=223 anchor_m=176 Swiss=8 | 煅烧釜,云精灵,火焰药水,香炉,红宝石,再生药水,彩虹药水,蜡烛
  12. RR=209 anchor_m=194 Swiss=8 | 煅烧釜,香炉,红宝石,蜡烛,彩虹药水,硫磺,再生药水,火焰药水
  13. RR=208 anchor_m=194 Swiss=9 | 煅烧釜,蜡烛,香炉,火焰药水,塔兹迪亚匕首,瓶装闪电,红宝石,再生药水
  14. RR=212 anchor_m=182 Swiss=8 | 蜡烛,煅烧釜,香炉,红宝石,火焰药水,再生药水,贤者之石,彩虹药水
  15. RR=205 anchor_m=184 Swiss=9 | 煅烧釜,云精灵,火焰药水,蜡烛,香炉,红宝石,再生药水,瓶装闪电
  16. RR=201 anchor_m=191 Swiss=8 | 蜡烛,煅烧釜,鳄鱼眼泪,香炉,红宝石,再生药水,贤者之石,彩虹药水
  17. RR=195 anchor_m=183 Swiss=8 | 碎瓶,煅烧釜,蜡烛,香炉,火焰药水,塔兹迪亚匕首,红宝石,再生药水
  18. RR=203 anchor_m=164 Swiss=9 | 煅烧釜,香炉,瓶装闪电,红宝石,碎瓶,再生药水,彩虹药水,蜡烛
  19. RR=187 anchor_m=187 Swiss=7 | 煅烧釜,蜡烛,香炉,火焰药水,塔兹迪亚匕首,红宝石,再生药水,鳄鱼眼泪
  20. RR=192 anchor_m=176 Swiss=8 | 硫磺,煅烧釜,香炉,瓶装闪电,红宝石,再生药水,彩虹药水,蜡烛

[GDF] seeds: 剑杖
[GDF] size=10 top 20
  1. RR=266 anchor_m=255 Swiss=8 | 昏睡药水,香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪,火焰药水
  2. RR=266 anchor_m=255 Swiss=9 | 昏睡药水,萤火虫,香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪
  3. RR=261 anchor_m=254 Swiss=9 | 香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪,昏睡药水,瓶装闪电
  4. RR=238 anchor_m=234 Swiss=9 | 香炉,剑杖,地刺陷阱,煅烧釜,昏睡药水,红宝石,鳄鱼眼泪,火焰药水
  5. RR=237 anchor_m=234 Swiss=8 | 香炉,剑杖,彩虹药水,鳄鱼眼泪,昏睡药水,红宝石,煅烧釜,云精灵
  6. RR=229 anchor_m=220 Swiss=8 | 香炉,剑杖,彩虹药水,煅烧釜,瓶装闪电,红宝石,贤者之石,鳄鱼眼泪
  7. RR=228 anchor_m=218 Swiss=8 | 香炉,剑杖,彩虹药水,煅烧釜,瓶装闪电,红宝石,鳄鱼眼泪,火焰药水
  8. RR=223 anchor_m=217 Swiss=8 | 昏睡药水,瓶装闪电,香炉,剑杖,地刺陷阱,煅烧釜,红宝石,鳄鱼眼泪
  9. RR=198 anchor_m=192 Swiss=8 | 香炉,剑杖,彩虹药水,火焰药水,煅烧釜,红宝石,鳄鱼眼泪,倒刺利爪
  10. RR=196 anchor_m=191 Swiss=8 | 香炉,剑杖,彩虹药水,昏睡药水,碎瓶,煅烧釜,红宝石,鳄鱼眼泪
  11. RR=195 anchor_m=187 Swiss=9 | 火焰药水,萤火虫,香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪
  12. RR=192 anchor_m=190 Swiss=8 | 香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪,火焰药水,塔兹迪亚匕首
  13. RR=194 anchor_m=185 Swiss=9 | 香炉,剑杖,彩虹药水,煅烧釜,红宝石,萤火虫,鳄鱼眼泪,瓶装闪电
  14. RR=193 anchor_m=187 Swiss=8 | 昏睡药水,香炉,剑杖,彩虹药水,煅烧釜,萤火虫,红宝石,火焰药水
  15. RR=189 anchor_m=186 Swiss=8 | 昏睡药水,香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪,硫磺
  16. RR=188 anchor_m=185 Swiss=9 | 香炉,剑杖,彩虹药水,地刺陷阱,煅烧釜,红宝石,鳄鱼眼泪,火焰药水
  17. RR=187 anchor_m=185 Swiss=8 | 瓶装闪电,香炉,剑杖,地刺陷阱,煅烧釜,红宝石,鳄鱼眼泪,火焰药水
  18. RR=187 anchor_m=183 Swiss=8 | 香炉,剑杖,彩虹药水,煅烧釜,云精灵,红宝石,鳄鱼眼泪,火焰药水
  19. RR=184 anchor_m=178 Swiss=8 | 瓶装闪电,香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪,地刺陷阱
  20. RR=180 anchor_m=175 Swiss=8 | 瓶装闪电,香炉,剑杖,彩虹药水,鳄鱼眼泪,红宝石,煅烧釜,云精灵

[GDF] seeds: 剧毒药水
[GDF] size=10 top 20
  1. RR=268 anchor_m=195 Swiss=9 | 瓶装闪电,火焰药水,红宝石,煅烧釜,剧毒药水,香炉,蜡烛,彩虹药水
  2. RR=265 anchor_m=161 Swiss=9 | 火焰药水,红宝石,煅烧釜,碎瓶,剧毒药水,香炉,瓶装闪电,蜡烛
  3. RR=231 anchor_m=227 Swiss=8 | 红宝石,煅烧釜,鳄鱼眼泪,剧毒药水,倒刺利爪,香炉,蜡烛,昏睡药水
  4. RR=228 anchor_m=226 Swiss=8 | 红宝石,煅烧釜,瓶装闪电,鳄鱼眼泪,昏睡药水,剧毒药水,香炉,蜡烛
  5. RR=221 anchor_m=207 Swiss=9 | 火焰药水,塔兹迪亚匕首,红宝石,煅烧釜,剧毒药水,香炉,瓶装闪电,蜡烛
  6. RR=242 anchor_m=158 Swiss=9 | 火焰药水,红宝石,煅烧釜,剧毒药水,香炉,碎瓶,蜡烛,彩虹药水
  7. RR=223 anchor_m=161 Swiss=9 | 蜡烛,红宝石,火焰药水,煅烧釜,鳄鱼眼泪,剧毒药水,香炉,昏睡药水
  8. RR=201 anchor_m=197 Swiss=9 | 红宝石,煅烧釜,鳄鱼眼泪,剧毒药水,香炉,蜡烛,贤者之石,倒刺利爪
  9. RR=202 anchor_m=171 Swiss=8 | 火焰药水,蛇怪之牙,红宝石,煅烧釜,剧毒药水,香炉,瓶装闪电,蜡烛
  10. RR=194 anchor_m=180 Swiss=8 | 火焰药水,硫磺,红宝石,煅烧釜,剧毒药水,香炉,瓶装闪电,蜡烛
  11. RR=197 anchor_m=173 Swiss=8 | 红宝石,火焰药水,煅烧釜,剧毒药水,鳄鱼眼泪,香炉,蜡烛,贤者之石
  12. RR=203 anchor_m=147 Swiss=8 | 火焰药水,塔兹迪亚匕首,红宝石,煅烧釜,剧毒药水,香炉,蜡烛,彩虹药水
  13. RR=186 anchor_m=171 Swiss=8 | 红宝石,煅烧釜,鳄鱼眼泪,剧毒药水,香炉,蜡烛,瓶装闪电,贤者之石
  14. RR=186 anchor_m=165 Swiss=8 | 火焰药水,红宝石,煅烧釜,云精灵,剧毒药水,香炉,瓶装闪电,蜡烛
  15. RR=187 anchor_m=163 Swiss=7 | 红宝石,煅烧釜,鳄鱼眼泪,剧毒药水,香炉,蜡烛,贤者之石,彩虹药水
  16. RR=196 anchor_m=139 Swiss=8 | 火焰药水,鳄鱼眼泪,红宝石,煅烧釜,剧毒药水,香炉,蜡烛,彩虹药水
  17. RR=174 anchor_m=172 Swiss=8 | 蜡烛,红宝石,火焰药水,倒刺利爪,煅烧釜,鳄鱼眼泪,剧毒药水,香炉
  18. RR=173 anchor_m=159 Swiss=8 | 火焰药水,红宝石,煅烧釜,倒刺利爪,剧毒药水,香炉,瓶装闪电,蜡烛
  19. RR=220 anchor_m=64 Swiss=8 | 火焰药水,红宝石,煅烧釜,剧毒药水,昏睡药水,香炉,瓶装闪电,蜡烛
  20. RR=184 anchor_m=135 Swiss=8 | 红宝石,煅烧釜,鳄鱼眼泪,彩虹药水,剧毒药水,倒刺利爪,香炉,蜡烛

[GDF] seeds: 和平铸箱
[GDF] size=10 top 20
  1. RR=290 anchor_m=37 Swiss=10 | 和平铸箱,真菌孢子,水蛭,毒液注射,倒刺利爪,毒液,翡翠,地刺陷阱
  2. RR=272 anchor_m=228 Swiss=9 | 和平铸箱,腐朽圣像,真菌孢子,毒液注射,倒刺利爪,毒液,翡翠,地刺陷阱
  3. RR=256 anchor_m=234 Swiss=8 | 和平铸箱,毒蜥,笔与墨,毒液,真菌孢子,腐朽圣像,毒液注射,翡翠
  4. RR=254 anchor_m=235 Swiss=9 | 曲颈甑,和平铸箱,笔与墨,毒液,真菌孢子,翡翠,腐朽圣像
  5. RR=262 anchor_m=217 Swiss=9 | 贤者之石,毒液注射,和平铸箱,翡翠,笔与墨,毒液,腐朽圣像,真菌孢子
  6. RR=245 anchor_m=223 Swiss=8 | 翡翠,腐朽圣像,黑玫瑰,和平铸箱,笔与墨,毒液,真菌孢子,毒液注射
  7. RR=236 anchor_m=226 Swiss=9 | 和平铸箱,笔与墨,毒液,真菌孢子,腐朽圣像,毒液注射,翡翠,彩虹药水
  8. RR=230 anchor_m=218 Swiss=8 | 和平铸箱,翡翠,毒芹,笔与墨,毒液,真菌孢子,腐朽圣像,毒液注射
  9. RR=234 anchor_m=196 Swiss=8 | 和平铸箱,真菌孢子,毒液注射,地刺陷阱,倒刺利爪,毒液,曲颈甑,翡翠
  10. RR=224 anchor_m=215 Swiss=8 | 腐朽圣像,和平铸箱,真菌孢子,翡翠,地刺陷阱,贤者之石,倒刺利爪,毒液
  11. RR=231 anchor_m=198 Swiss=9 | 和平铸箱,真菌孢子,毒液注射,蜡烛,倒刺利爪,毒液,翡翠,地刺陷阱
  12. RR=270 anchor_m=96 Swiss=9 | 和平铸箱,真菌孢子,毒液注射,倒刺利爪,毒液,翡翠,水蛭,毒蜥
  13. RR=214 anchor_m=203 Swiss=8 | 和平铸箱,翡翠,笔与墨,曲颈甑,腐朽圣像,真菌孢子,毒液注射
  14. RR=259 anchor_m=108 Swiss=9 | 毒芹,和平铸箱,真菌孢子,毒液注射,倒刺利爪,毒液,翡翠,水蛭
  15. RR=203 anchor_m=198 Swiss=8 | 腐朽圣像,和平铸箱,毒蜥,真菌孢子,翡翠,地刺陷阱,倒刺利爪,毒液
  16. RR=193 anchor_m=186 Swiss=8 | 翡翠,和平铸箱,笔与墨,毒液,真菌孢子,贤者之石,毒液注射,曲颈甑
  17. RR=192 anchor_m=184 Swiss=8 | 翡翠,曲颈甑,贤者之石,毒蜥,和平铸箱,笔与墨,毒液,真菌孢子
  18. RR=192 anchor_m=182 Swiss=8 | 腐朽圣像,彩虹药水,和平铸箱,真菌孢子,翡翠,地刺陷阱,倒刺利爪,毒液
  19. RR=187 anchor_m=180 Swiss=8 | 腐朽圣像,和平铸箱,毒蜥,真菌孢子,倒刺利爪,毒液,翡翠,毒液注射
  20. RR=184 anchor_m=184 Swiss=8 | 剧毒药水,和平铸箱,笔与墨,毒液,真菌孢子,腐朽圣像,毒液注射,翡翠

[GDF] seeds: 嗅盐
[GDF] size=10 top 20
  1. RR=248 anchor_m=142 Swiss=9 | 红宝石,香炉,煅烧釜,嗅盐,彩虹药水,蜡烛,火焰药水,碎瓶
  2. RR=246 anchor_m=163 Swiss=10 | 蜡烛,瓶装闪电,红宝石,香炉,煅烧釜,嗅盐,彩虹药水,火焰药水
  3. RR=229 anchor_m=152 Swiss=9 | 红宝石,香炉,蜡烛,瓶装闪电,煅烧釜,嗅盐,彩虹药水,萤火虫
  4. RR=220 anchor_m=156 Swiss=8 | 红宝石,香炉,蜡烛,煅烧釜,嗅盐,昏睡药水,彩虹药水,萤火虫
  5. RR=201 anchor_m=192 Swiss=8 | 红宝石,香炉,煅烧釜,嗅盐,飞蛾粉末,彩虹药水,蜡烛,火焰药水
  6. RR=201 anchor_m=192 Swiss=8 | 红宝石,香炉,蜡烛,瓶装闪电,煅烧釜,嗅盐,飞蛾粉末,彩虹药水
  7. RR=221 anchor_m=147 Swiss=9 | 贤者之石,红宝石,蜡烛,火焰药水,香炉,煅烧釜,嗅盐,彩虹药水
  8. RR=222 anchor_m=131 Swiss=8 | 红宝石,香炉,煅烧釜,嗅盐,昏睡药水,彩虹药水,蜡烛,火焰药水
  9. RR=194 anchor_m=180 Swiss=8 | 红宝石,香炉,蜡烛,煅烧釜,嗅盐,飞蛾粉末,彩虹药水,萤火虫
  10. RR=195 anchor_m=143 Swiss=8 | 红宝石,香炉,煅烧釜,嗅盐,彩虹药水,萤火虫,蜡烛,火焰药水
  11. RR=202 anchor_m=108 Swiss=8 | 红宝石,彩虹药水,萤火虫,鳄鱼眼泪,香炉,煅烧釜,嗅盐,昏睡药水,火焰药水
  12. RR=174 anchor_m=160 Swiss=9 | 萤火虫,煅烧釜,嗅盐,飞蛾粉末,鳄鱼眼泪,瓶装闪电,彩虹药水,香炉,红宝石
  13. RR=181 anchor_m=141 Swiss=8 | 贤者之石,红宝石,蜡烛,香炉,煅烧釜,嗅盐,彩虹药水,萤火虫
  14. RR=185 anchor_m=131 Swiss=9 | 红宝石,彩虹药水,萤火虫,鳄鱼眼泪,香炉,煅烧釜,嗅盐,昏睡药水,塔兹迪亚匕首
  15. RR=180 anchor_m=133 Swiss=8 | 红宝石,香炉,煅烧釜,嗅盐,彩虹药水,蜡烛,火焰药水,塔兹迪亚匕首
  16. RR=198 anchor_m=97 Swiss=9 | 萤火虫,鳄鱼眼泪,瓶装闪电,红宝石,香炉,煅烧釜,嗅盐,彩虹药水,火焰药水
  17. RR=176 anchor_m=134 Swiss=8 | 红宝石,硫磺,蜡烛,香炉,煅烧釜,嗅盐,彩虹药水,瓶装闪电
  18. RR=171 anchor_m=144 Swiss=8 | 红宝石,彩虹药水,萤火虫,瓶装闪电,香炉,煅烧釜,嗅盐,昏睡药水,塔兹迪亚匕首
  19. RR=173 anchor_m=132 Swiss=8 | 红宝石,香炉,煅烧釜,嗅盐,彩虹药水,硫磺,蜡烛,火焰药水
  20. RR=174 anchor_m=129 Swiss=8 | 红宝石,香炉,蜡烛,瓶装闪电,塔兹迪亚匕首,煅烧釜,嗅盐,彩虹药水

[GDF] seeds: 地刺陷阱
[GDF] size=10 top 20
  1. RR=271 anchor_m=180 Swiss=9 | 地刺陷阱,红宝石,香炉,煅烧釜,碎瓶,蜡烛,火焰药水,彩虹药水
  2. RR=268 anchor_m=165 Swiss=10 | 瓶装闪电,地刺陷阱,蜡烛,彩虹药水,红宝石,香炉,煅烧釜,火焰药水
  3. RR=232 anchor_m=188 Swiss=9 | 地刺陷阱,红宝石,香炉,火焰药水,瓶装闪电,煅烧釜,云精灵,蜡烛
  4. RR=234 anchor_m=157 Swiss=9 | 瓶装闪电,地刺陷阱,碎瓶,蜡烛,彩虹药水,红宝石,香炉,煅烧釜
  5. RR=217 anchor_m=172 Swiss=8 | 瓶装闪电,贤者之石,地刺陷阱,蜡烛,彩虹药水,红宝石,香炉,煅烧釜
  6. RR=214 anchor_m=154 Swiss=8 | 地刺陷阱,红宝石,香炉,蜡烛,火焰药水,煅烧釜,瓶装闪电,贤者之石
  7. RR=214 anchor_m=138 Swiss=9 | 瓶装闪电,地刺陷阱,蜡烛,彩虹药水,红宝石,香炉,煅烧釜,云精灵
  8. RR=203 anchor_m=159 Swiss=8 | 瓶装闪电,塔兹迪亚匕首,地刺陷阱,蜡烛,彩虹药水,红宝石,香炉,煅烧釜
  9. RR=204 anchor_m=142 Swiss=8 | 昏睡药水,地刺陷阱,红宝石,火焰药水,香炉,煅烧釜,蜡烛,鳄鱼眼泪
  10. RR=224 anchor_m=98 Swiss=9 | 地刺陷阱,彩虹药水,红宝石,香炉,蜡烛,火焰药水,煅烧釜,贤者之石
  11. RR=212 anchor_m=100 Swiss=9 | 地刺陷阱,红宝石,香炉,煅烧釜,云精灵,蜡烛,火焰药水,彩虹药水
  12. RR=174 anchor_m=172 Swiss=8 | 地刺陷阱,红宝石,火焰药水,香炉,煅烧釜,云精灵,蜡烛,鳄鱼眼泪
  13. RR=170 anchor_m=169 Swiss=8 | 地刺陷阱,红宝石,火焰药水,香炉,煅烧釜,瓶装闪电,蜡烛,鳄鱼眼泪
  14. RR=171 anchor_m=164 Swiss=7 | 地刺陷阱,瓶装闪电,红宝石,香炉,昏睡药水,煅烧釜,蜡烛,鳄鱼眼泪
  15. RR=190 anchor_m=118 Swiss=8 | 地刺陷阱,瓶装闪电,红宝石,香炉,煅烧釜,蜡烛,彩虹药水,鳄鱼眼泪
  16. RR=210 anchor_m=74 Swiss=8 | 地刺陷阱,红宝石,香炉,煅烧釜,蜡烛,火焰药水,彩虹药水,昏睡药水
  17. RR=186 anchor_m=117 Swiss=7 | 地刺陷阱,红宝石,香炉,煅烧釜,蜡烛,火焰药水,塔兹迪亚匕首,彩虹药水
  18. RR=213 anchor_m=58 Swiss=8 | 瓶装闪电,地刺陷阱,蜡烛,蛇怪之牙,彩虹药水,红宝石,香炉,煅烧釜
  19. RR=194 anchor_m=88 Swiss=8 | 瓶装闪电,地刺陷阱,昏睡药水,蜡烛,彩虹药水,红宝石,香炉,煅烧釜
  20. RR=167 anchor_m=129 Swiss=8 | 地刺陷阱,红宝石,香炉,煅烧釜,蜡烛,拆信刀,火焰药水,彩虹药水

[GDF] seeds: 地窖
[GDF] size=10 top 20
  1. RR=275 anchor_m=227 Swiss=9 | 彩虹药水,地窖,鳄鱼眼泪,煅烧釜,火焰药水,红宝石,香炉,瓶装闪电
  2. RR=258 anchor_m=243 Swiss=9 | 鳄鱼眼泪,彩虹药水,地窖,香炉,煅烧釜,萤火虫,火焰药水,红宝石
  3. RR=250 anchor_m=241 Swiss=9 | 萤火虫,彩虹药水,地窖,煅烧釜,鳄鱼眼泪,火焰药水,红宝石,瓶装闪电
  4. RR=247 anchor_m=238 Swiss=10 | 彩虹药水,地窖,煅烧釜,鳄鱼眼泪,火焰药水,红宝石,瓶装闪电,碎瓶
  5. RR=240 anchor_m=223 Swiss=9 | 彩虹药水,地窖,煅烧釜,云精灵,鳄鱼眼泪,火焰药水,红宝石,香炉
  6. RR=234 anchor_m=233 Swiss=8 | 地窖,毒液,鳄鱼眼泪,煅烧釜,火焰药水,香炉,红宝石,瓶装闪电
  7. RR=227 anchor_m=218 Swiss=9 | 彩虹药水,地窖,煅烧釜,云精灵,鳄鱼眼泪,火焰药水,红宝石,瓶装闪电
  8. RR=224 anchor_m=217 Swiss=9 | 彩虹药水,硫磺,地窖,瓶装闪电,鳄鱼眼泪,煅烧釜,火焰药水,红宝石
  9. RR=212 anchor_m=207 Swiss=8 | 地窖,鳄鱼眼泪,煅烧釜,火焰药水,红宝石,地刺陷阱,香炉,瓶装闪电
  10. RR=211 anchor_m=204 Swiss=8 | 香炉,彩虹药水,地窖,煅烧釜,鳄鱼眼泪,火焰药水,红宝石,碎瓶
  11. RR=208 anchor_m=204 Swiss=8 | 彩虹药水,地窖,煅烧釜,鳄鱼眼泪,火焰药水,红宝石,贤者之石,瓶装闪电
  12. RR=205 anchor_m=200 Swiss=8 | 香炉,红宝石,硫磺,地窖,煅烧釜,彩虹药水,火焰药水,鳄鱼眼泪
  13. RR=198 anchor_m=194 Swiss=7 | 地窖,煅烧釜,火焰药水,红宝石,香炉,蜡烛,瓶装闪电
  14. RR=197 anchor_m=193 Swiss=8 | 香炉,地窖,煅烧釜,彩虹药水,火焰药水,红宝石,萤火虫,瓶装闪电
  15. RR=196 anchor_m=192 Swiss=8 | 彩虹药水,地窖,毒液,煅烧釜,鳄鱼眼泪,火焰药水,红宝石,瓶装闪电
