anchor	rr	anchor_m	swiss	deck
永恒火炬	250	248	9	香炉,鳄鱼眼泪,火焰药水,彩虹药水,昏睡药水,红宝石,永恒火炬
没药	287	5	9	地刺陷阱,没药,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,毒液注射
火焰药水	290	290	10	瓶装闪电,彩虹药水,蜡烛,贤者之石,火焰药水,红宝石,香炉
炼金梨缶	250	250	9	水蛭,真菌孢子,翡翠,彩虹药水,炼金梨缶,毒芹
煅烧釜	266	263	9	香炉,瓶装闪电,鳄鱼眼泪,昏睡药水,彩虹药水,煅烧釜,红宝石
熏香	288	41	8	熏香,真菌孢子,倒刺利爪,毒液,地刺陷阱,毒蜥,翡翠,毒液注射
猫头鹰奥利	224	21	10	蛇怪之牙,曲颈甑,拆信刀,猫头鹰奥利,研钵与研杵,手术刀
瓶装闪电	262	247	9	煅烧釜,鳄鱼眼泪,香炉,昏睡药水,彩虹药水,红宝石,瓶装闪电
生命导体	280	260	9	生命导体,黑玫瑰,笔与墨,毒液,真菌孢子,毒液注射,翡翠
真菌孢子	284	279	10	地刺陷阱,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,毒液注射,彩虹药水,翡翠
研钵与研杵	206	93	9	研钵与研杵,手术刀,地刺陷阱,蛇怪之牙,倒刺利爪,彩虹药水,鳄鱼眼泪
硫磺	289	204	9	瓶装闪电,红宝石,蜡烛,香炉,火焰药水,硫磺,碎瓶
碎瓶	246	135	9	碎瓶,鳄鱼眼泪,真菌孢子,地刺陷阱,倒刺利爪,毒液,蜡烛
离子闪电	205	52	8	拆信刀,研钵与研杵,手术刀,离子闪电,曲颈甑,蛇怪之牙
空白石碑	281	23	9	彩虹药水,火焰药水,香炉,空白石碑,永恒火炬,红宝石
笔与墨	286	113	10	鳄鱼眼泪,毒液注射,真菌孢子,翡翠,地刺陷阱,笔与墨,倒刺利爪,毒液
红宝石	287	287	9	彩虹药水,蜡烛,红宝石,碎瓶,香炉,瓶装闪电,火焰药水
翡翠	282	268	9	毒液注射,倒刺利爪,毒液,翡翠,地刺陷阱,真菌孢子,鳄鱼眼泪,彩虹药水
腐朽圣像	292	290	10	鳄鱼眼泪,真菌孢子,翡翠,腐朽圣像,地刺陷阱,倒刺利爪,毒液
萤火虫	283	214	9	彩虹药水,香炉,蜡烛,碎瓶,萤火虫,红宝石,火焰药水
蛇怪之牙	224	124	9	红宝石,蛇怪之牙,蜡烛,手术刀,瓶装闪电,香炉,彩虹药水
蜡烛	282	282	9	红宝石,碎瓶,彩虹药水,蜡烛,火焰药水,香炉,瓶装闪电
贤者之石	290	60	9	贤者之石,水蛭,毒液注射,倒刺利爪,毒液,翡翠,真菌孢子
贪婪渡鸦	209	93	8	蛇怪之牙,香炉,贤者之石,贪婪渡鸦,鳄鱼眼泪,手术刀,地刺陷阱
青苔	285	20	10	鳄鱼眼泪,青苔,毒液注射,倒刺利爪,毒液,地刺陷阱,真菌孢子,翡翠
颠茄	277	277	10	真菌孢子,颠茄,翡翠,毒蜥,水蛭,毒液注射
飞蛾粉末	281	197	9	香炉,萤火虫,蜡烛,彩虹药水,飞蛾粉末,红宝石,火焰药水
香炉	287	279	10	碎瓶,香炉,蜡烛,红宝石,瓶装闪电,火焰药水,彩虹药水
魔法飞毯	204	185	8	倒刺利爪,蛇怪之牙,手术刀,贤者之石,拆信刀,地刺陷阱,魔法飞毯
鳄鱼眼泪	283	272	9	昏睡药水,彩虹药水,煅烧釜,鳄鱼眼泪,红宝石,香炉,萤火虫
黑曜石碎片	282	26	9	黑曜石碎片,倒刺利爪,毒液,鳄鱼眼泪,地刺陷阱,翡翠,毒液注射,真菌孢子
黑玫瑰	280	51	9	黑玫瑰,真菌孢子,水蛭,倒刺利爪,毒液,翡翠,毒液注射
