# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=8 top 20
  1. RR=262 anchor_m=174 Swiss=9 | 手斧,左轮手枪,靴里剑,三花,鲨齿爪,葡萄弹,舱底蠕虫
  15. RR=194 anchor_m=194 Swiss=8 | 鲨齿爪,手斧,靴里剑,弹簧刀,武士刀,刺刀
  16. RR=195 anchor_m=192 Swiss=8 | 绵鳚,手斧,靴里剑,鲨齿爪,流星索,迷你弯刀,刺刀
  17. RR=187 anchor_m=184 Swiss=10 | 珊瑚,鲨齿爪,手斧,葡萄弹,左轮手枪,刺刀,舱底蠕虫
  18. RR=186 anchor_m=180 Swiss=9 | 手斧,靴里剑,鲨齿爪,流星索,迷你弯刀,刺刀,宠物石
  19. RR=191 anchor_m=163 Swiss=8 | 流星索,鲨齿爪,靴里剑,手斧,左轮手枪,刺刀,舱底蠕虫
  20. RR=185 anchor_m=172 Swiss=8 | 手雷,鲨齿爪,靴里剑,手斧,左轮手枪,刺刀,舱底蠕虫

[GDF] seeds: 双管霰弹枪
[GDF] size=8 top 20
  1. RR=273 anchor_m=273 Swiss=10 | 手斧,鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹
  2. RR=244 anchor_m=244 Swiss=9 | 鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹,靴里剑
  3. RR=231 anchor_m=231 Swiss=8 | 珊瑚,淬锋钢,火药角,双管霰弹枪,弹簧刀,葡萄弹,手斧
  4. RR=219 anchor_m=219 Swiss=9 | 舱底蠕虫,手斧,淬锋钢,火药角,双管霰弹枪,弹簧刀,葡萄弹
  5. RR=212 anchor_m=212 Swiss=8 | 舱底蠕虫,鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹
  6. RR=209 anchor_m=209 Swiss=9 | 珊瑚,淬锋钢,火药角,双管霰弹枪,弹簧刀,手斧,舱底蠕虫
  7. RR=208 anchor_m=208 Swiss=9 | 鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹,珊瑚
  8. RR=206 anchor_m=206 Swiss=8 | 舱底蠕虫,鲨齿爪,淬锋钢,火药角,双管霰弹枪,刺刀
  9. RR=226 anchor_m=144 Swiss=9 | 葡萄弹,淬锋钢,双管霰弹枪,填弹杆,步枪
  10. RR=197 anchor_m=197 Swiss=8 | 舱底蠕虫,鲨齿爪,淬锋钢,葡萄弹,火药角,双管霰弹枪
  11. RR=193 anchor_m=193 Swiss=8 | 舱底蠕虫,手斧,葡萄弹,淬锋钢,火药角,双管霰弹枪,刺刀
  12. RR=231 anchor_m=112 Swiss=8 | 淬锋钢,双管霰弹枪,填弹杆,步枪,珊瑚
  13. RR=211 anchor_m=143 Swiss=9 | 海螺壳,淬锋钢,双管霰弹枪,填弹杆,步枪
  14. RR=188 anchor_m=188 Swiss=8 | 舱底蠕虫,流星索,手斧,淬锋钢,葡萄弹,火药角,双管霰弹枪
  15. RR=187 anchor_m=187 Swiss=8 | 珊瑚,淬锋钢,火药角,双管霰弹枪,弹簧刀,葡萄弹,舱底蠕虫
  16. RR=210 anchor_m=126 Swiss=8 | 毒须鲶,淬锋钢,双管霰弹枪,填弹杆,步枪
  17. RR=210 anchor_m=118 Swiss=8 | 雪怪蟹,淬锋钢,双管霰弹枪,填弹杆,步枪
  18. RR=176 anchor_m=176 Swiss=8 | 舱底蠕虫,手斧,淬锋钢,鲨齿爪,火药角,双管霰弹枪
  19. RR=164 anchor_m=164 Swiss=8 | 鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹,三花
  20. RR=175 anchor_m=140 Swiss=8 | 淬锋钢,双管霰弹枪,填弹杆,步枪,手斧

[GDF] seeds: 填弹杆
[GDF] size=8 top 20
  1. RR=209 anchor_m=209 Swiss=8 | 救生圈,淬锋钢,步枪,填弹杆,手雷
  2. RR=208 anchor_m=208 Swiss=9 | 手雷,填弹杆,步枪,手斧,葡萄弹,流星索
  3. RR=197 anchor_m=197 Swiss=9 | 手雷,填弹杆,步枪,弹簧刀,葡萄弹,手斧
  4. RR=191 anchor_m=191 Swiss=10 | 靴里剑,手雷,填弹杆,步枪,葡萄弹,手斧
  5. RR=182 anchor_m=182 Swiss=8 | 手雷,填弹杆,步枪,葡萄弹,救生圈
  6. RR=180 anchor_m=180 Swiss=9 | 手雷,填弹杆,步枪,手斧,葡萄弹,珊瑚
  7. RR=175 anchor_m=175 Swiss=9 | 手雷,填弹杆,步枪,绵鳚,葡萄弹,流星索
  8. RR=174 anchor_m=174 Swiss=8 | 淬锋钢,步枪,填弹杆,手雷,靴里剑,葡萄弹
  9. RR=174 anchor_m=174 Swiss=8 | 淬锋钢,手雷,填弹杆,步枪,绵鳚,葡萄弹
  10. RR=173 anchor_m=173 Swiss=8 | 手雷,填弹杆,步枪,葡萄弹,手斧,舱底蠕虫
  11. RR=173 anchor_m=173 Swiss=8 | 淬锋钢,珊瑚,步枪,填弹杆,手雷,葡萄弹
  12. RR=172 anchor_m=172 Swiss=8 | 手雷,填弹杆,步枪,葡萄弹,抓钩,手斧
  13. RR=167 anchor_m=167 Swiss=9 | 手雷,填弹杆,步枪,葡萄弹,狼筅
  14. RR=167 anchor_m=167 Swiss=7 | 手雷,填弹杆,步枪,葡萄弹,手斧,藏刃匕首
  15. RR=166 anchor_m=166 Swiss=8 | 步枪,填弹杆,手雷,淬锋钢,流星索,舱底蠕虫
  16. RR=166 anchor_m=166 Swiss=8 | 珊瑚,绵鳚,步枪,填弹杆,手雷,葡萄弹
  17. RR=165 anchor_m=165 Swiss=8 | 救生圈,绵鳚,步枪,填弹杆,手雷
  18. RR=165 anchor_m=165 Swiss=8 | 救生圈,弹簧刀,步枪,填弹杆,手雷
  19. RR=164 anchor_m=164 Swiss=8 | 手雷,填弹杆,步枪,狼筅,手斧
  20. RR=164 anchor_m=164 Swiss=8 | 淬锋钢,步枪,填弹杆,手雷,靴里剑,手斧

[GDF] seeds: 宠物石
[GDF] size=8 top 20
  1. RR=258 anchor_m=109 Swiss=9 | 靴里剑,鲨齿爪,手斧,淬锋钢,葡萄弹,宠物石,左轮手枪
  2. RR=255 anchor_m=117 Swiss=10 | 靴里剑,葡萄弹,手斧,鲨齿爪,宠物石,左轮手枪,舱底蠕虫
  3. RR=206 anchor_m=159 Swiss=9 | 三花,葡萄弹,手斧,鲨齿爪,宠物石,左轮手枪,舱底蠕虫
  4. RR=200 anchor_m=161 Swiss=8 | 抓钩,葡萄弹,手斧,鲨齿爪,宠物石,左轮手枪,舱底蠕虫
  5. RR=194 anchor_m=167 Swiss=8 | 靴里剑,鲨齿爪,手斧,抓钩,淬锋钢,宠物石,迷你弯刀
  6. RR=200 anchor_m=152 Swiss=8 | 绵鳚,葡萄弹,手斧,鲨齿爪,宠物石,左轮手枪,舱底蠕虫
  7. RR=210 anchor_m=119 Swiss=9 | 靴里剑,鲨齿爪,手斧,淬锋钢,宠物石,左轮手枪,刺刀
  8. RR=188 anchor_m=157 Swiss=9 | 靴里剑,鲨齿爪,手斧,淬锋钢,流星索,宠物石,左轮手枪
  9. RR=206 anchor_m=112 Swiss=8 | 流星索,手斧,鲨齿爪,左轮手枪,宠物石,舱底蠕虫,葡萄弹
  10. RR=186 anchor_m=148 Swiss=8 | 流星索,靴里剑,手斧,葡萄弹,鲨齿爪,宠物石,舱底蠕虫
  11. RR=180 anchor_m=142 Swiss=8 | 靴里剑,鲨齿爪,手斧,淬锋钢,宠物石,三花,左轮手枪
  12. RR=178 anchor_m=143 Swiss=9 | 靴里剑,鲨齿爪,手斧,淬锋钢,宠物石,弹簧刀,迷你弯刀
  13. RR=178 anchor_m=138 Swiss=8 | 手雷,左轮手枪,手斧,鲨齿爪,宠物石,靴里剑,舱底蠕虫
  14. RR=186 anchor_m=113 Swiss=9 | 靴里剑,鲨齿爪,手斧,淬锋钢,宠物石,迷你弯刀,左轮手枪
  15. RR=167 anchor_m=146 Swiss=8 | 靴里剑,鲨齿爪,手斧,淬锋钢,宠物石,流星索,迷你弯刀
  16. RR=171 anchor_m=137 Swiss=8 | 葡萄弹,手斧,鲨齿爪,宠物石,弹簧刀,左轮手枪,舱底蠕虫
  17. RR=187 anchor_m=103 Swiss=8 | 靴里剑,鲨齿爪,手斧,淬锋钢,宠物石,迷你弯刀,刺刀
  18. RR=171 anchor_m=126 Swiss=8 | 手斧,弹簧刀,武士刀,鲨齿爪,宠物石,舱底蠕虫
  19. RR=169 anchor_m=118 Swiss=8 | 流星索,靴里剑,手斧,鲨齿爪,宠物石,迷你弯刀,舱底蠕虫
  20. RR=167 anchor_m=109 Swiss=8 | 流星索,靴里剑,手斧,鲨齿爪,藏刃匕首,宠物石,舱底蠕虫

[GDF] seeds: 左轮手枪
[GDF] size=8 top 20
  1. RR=278 anchor_m=278 Swiss=10 | 靴里剑,鲨齿爪,葡萄弹,手斧,独角鲸,弹簧刀,左轮手枪
  2. RR=257 anchor_m=257 Swiss=9 | 舱底蠕虫,鲨齿爪,葡萄弹,独角鲸,弹簧刀,左轮手枪,手斧
  3. RR=249 anchor_m=243 Swiss=8 | 舱底蠕虫,手斧,葡萄弹,鲨齿爪,左轮手枪,飞鱼,淬锋钢
  4. RR=246 anchor_m=244 Swiss=9 | 靴里剑,舱底蠕虫,鲨齿爪,手斧,独角鲸,弹簧刀,左轮手枪
  5. RR=241 anchor_m=241 Swiss=8 | 靴里剑,流星索,鲨齿爪,手斧,独角鲸,弹簧刀,左轮手枪
  6. RR=237 anchor_m=236 Swiss=9 | 靴里剑,鲨齿爪,手斧,三花,独角鲸,弹簧刀,左轮手枪
  7. RR=243 anchor_m=217 Swiss=9 | 舱底蠕虫,靴里剑,手斧,鲨齿爪,左轮手枪,飞鱼,淬锋钢
  8. RR=233 anchor_m=232 Swiss=8 | 靴里剑,鲨齿爪,手斧,独角鲸,弹簧刀,左轮手枪,刺刀
  9. RR=222 anchor_m=222 Swiss=9 | 手斧,鲨齿爪,独角鲸,弹簧刀,左轮手枪,刺刀,舱底蠕虫
  10. RR=209 anchor_m=204 Swiss=9 | 葡萄弹,鲨齿爪,独角鲸,弹簧刀,左轮手枪,手斧,三花
  11. RR=206 anchor_m=205 Swiss=8 | 靴里剑,鲨齿爪,手斧,珊瑚,独角鲸,弹簧刀,左轮手枪
  12. RR=204 anchor_m=202 Swiss=9 | 葡萄弹,鲨齿爪,独角鲸,弹簧刀,左轮手枪,手斧,流星索
  13. RR=190 anchor_m=190 Swiss=8 | 舱底蠕虫,狼筅,靴里剑,葡萄弹,手斧,左轮手枪,淬锋钢
  14. RR=204 anchor_m=162 Swiss=8 | 舱底蠕虫,鲨齿爪,手斧,左轮手枪,马龙鱼,淬锋钢
  15. RR=190 anchor_m=190 Swiss=8 | 鲨齿爪,独角鲸,弹簧刀,左轮手枪,手斧,抓钩,葡萄弹
  16. RR=186 anchor_m=184 Swiss=8 | 靴里剑,鲨齿爪,手斧,独角鲸,弹簧刀,左轮手枪,飞鱼
  17. RR=183 anchor_m=181 Swiss=8 | 鲨齿爪,独角鲸,弹簧刀,左轮手枪,手斧,抓钩,靴里剑
  18. RR=183 anchor_m=180 Swiss=8 | 手斧,鲨齿爪,独角鲸,弹簧刀,左轮手枪,迷你弯刀,舱底蠕虫
  19. RR=181 anchor_m=181 Swiss=8 | 手斧,三花,鲨齿爪,独角鲸,弹簧刀,左轮手枪,舱底蠕虫
  20. RR=179 anchor_m=179 Swiss=7 | 三花,鲨齿爪,独角鲸,弹簧刀,左轮手枪,刺刀,手斧

[GDF] seeds: 弯刀
[GDF] size=8 top 20
  1. RR=257 anchor_m=248 Swiss=10 | 珊瑚,迷幻蝠鲼,马龙鱼,弹簧刀,弯刀,淬锋钢
  2. RR=243 anchor_m=237 Swiss=8 | 舱底蠕虫,手斧,鲨齿爪,绵鳚,弯刀,淬锋钢
  3. RR=226 anchor_m=224 Swiss=9 | 舱底蠕虫,流星索,手斧,鲨齿爪,弯刀,淬锋钢
  4. RR=218 anchor_m=213 Swiss=9 | 舱底蠕虫,狼筅,绵鳚,手斧,弯刀,淬锋钢
  5. RR=234 anchor_m=171 Swiss=9 | 水草,珊瑚,马龙鱼,弹簧刀,弯刀,淬锋钢
  6. RR=206 anchor_m=206 Swiss=9 | 流星索,鲨齿爪,左轮手枪,手斧,舱底蠕虫,弯刀
  7. RR=204 anchor_m=204 Swiss=8 | 流星索,鲨齿爪,手斧,舱底蠕虫,弯刀,弹簧刀
  8. RR=203 anchor_m=203 Swiss=8 | 珊瑚,淬锋钢,皮皮虾,迷幻蝠鲼,飞鱼,弹簧刀,弯刀
  9. RR=208 anchor_m=182 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,弯刀,淬锋钢,手斧
  10. RR=194 anchor_m=193 Swiss=9 | 流星索,鲨齿爪,三花,手斧,舱底蠕虫,弯刀
  11. RR=190 anchor_m=190 Swiss=9 | 鲨齿爪,手斧,舱底蠕虫,弯刀,刺刀,藏刃匕首
  12. RR=190 anchor_m=190 Swiss=8 | 手斧,鲨齿爪,藏刃匕首,弹簧刀,弯刀,淬锋钢
  13. RR=183 anchor_m=183 Swiss=8 | 手斧,鲨齿爪,弹簧刀,弯刀,刺刀,淬锋钢
  14. RR=181 anchor_m=181 Swiss=8 | 流星索,藏刃匕首,鲨齿爪,手斧,舱底蠕虫,弯刀
  15. RR=179 anchor_m=179 Swiss=8 | 鲨齿爪,手斧,舱底蠕虫,绵鳚,弯刀,刺刀
  16. RR=178 anchor_m=177 Swiss=8 | 流星索,鲨齿爪,绵鳚,手斧,舱底蠕虫,弯刀
  17. RR=179 anchor_m=172 Swiss=8 | 流星索,迷你弯刀,鲨齿爪,手斧,舱底蠕虫,弯刀
  18. RR=180 anchor_m=161 Swiss=9 | 水草,马龙鱼,弹簧刀,弯刀,淬锋钢,手斧
  19. RR=172 anchor_m=167 Swiss=9 | 鲨齿爪,手斧,舱底蠕虫,弯刀,弹簧刀,靴里剑
  20. RR=174 anchor_m=163 Swiss=8 | 舱底蠕虫,靴里剑,淬锋钢,鲨齿爪,手斧,弯刀

[GDF] seeds: 弹簧刀
[GDF] size=8 top 20
  1. RR=237 anchor_m=221 Swiss=9 | 舱底蠕虫,鲨齿爪,手斧,左轮手枪,弹簧刀,独角鲸,淬锋钢
  2. RR=230 anchor_m=215 Swiss=8 | 手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢
  3. RR=225 anchor_m=208 Swiss=9 | 靴里剑,手斧,鲨齿爪,弹簧刀,武士刀,淬锋钢
  4. RR=223 anchor_m=208 Swiss=9 | 鲨齿爪,葡萄弹,手斧,左轮手枪,弹簧刀,马龙鱼
  5. RR=223 anchor_m=208 Swiss=8 | 鲨齿爪,靴里剑,手斧,飞鱼,弹簧刀,马龙鱼
  6. RR=219 anchor_m=200 Swiss=9 | 舱底蠕虫,鲨齿爪,手斧,靴里剑,弹簧刀,独角鲸,淬锋钢
  7. RR=213 anchor_m=201 Swiss=7 | 鲨齿爪,手斧,左轮手枪,弹簧刀,马龙鱼,靴里剑
  8. RR=196 anchor_m=188 Swiss=9 | 鲨齿爪,飞鱼,手斧,流星索,弹簧刀,马龙鱼
  9. RR=198 anchor_m=183 Swiss=8 | 舱底蠕虫,鲨齿爪,手斧,弹簧刀,武士刀,淬锋钢
  10. RR=190 anchor_m=190 Swiss=8 | 珊瑚,燃烧响炮,弹簧刀,马龙鱼,绵鳚,鲨齿爪
  11. RR=190 anchor_m=186 Swiss=9 | 鲨齿爪,飞鱼,手斧,左轮手枪,弹簧刀,马龙鱼
  12. RR=181 anchor_m=177 Swiss=8 | 鲨齿爪,手斧,流星索,左轮手枪,弹簧刀,马龙鱼
  13. RR=181 anchor_m=173 Swiss=8 | 鲨齿爪,靴里剑,流星索,手斧,弹簧刀,马龙鱼
  14. RR=177 anchor_m=177 Swiss=10 | 靴里剑,手斧,流星索,弹簧刀,武士刀,刺刀,淬锋钢
  15. RR=183 anchor_m=162 Swiss=9 | 鲨齿爪,靴里剑,淬锋钢,手斧,弹簧刀,马龙鱼
  16. RR=174 anchor_m=174 Swiss=8 | 手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,淬锋钢
  17. RR=179 anchor_m=162 Swiss=8 | 舱底蠕虫,鲨齿爪,飞鱼,弹簧刀,马龙鱼,淬锋钢
  18. RR=170 anchor_m=168 Swiss=9 | 鲨齿爪,手斧,独角鲸,弹簧刀,马龙鱼,流星索
  19. RR=169 anchor_m=168 Swiss=8 | 手斧,鲨齿爪,迷你弯刀,弹簧刀,马龙鱼,流星索
  20. RR=170 anchor_m=164 Swiss=8 | 鲨齿爪,靴里剑,手斧,弹簧刀,马龙鱼,刺刀

[GDF] seeds: 手斧
[GDF] size=8 top 20
  1. RR=254 anchor_m=250 Swiss=10 | 靴里剑,流星索,手斧,葡萄弹,弹簧刀,左轮手枪,鲨齿爪
  2. RR=247 anchor_m=247 Swiss=9 | 靴里剑,手斧,流星索,葡萄弹,左轮手枪,刺刀,鲨齿爪
  3. RR=240 anchor_m=237 Swiss=8 | 舱底蠕虫,靴里剑,手斧,葡萄弹,弹簧刀,左轮手枪,鲨齿爪
  4. RR=237 anchor_m=235 Swiss=9 | 流星索,靴里剑,手斧,舱底蠕虫,葡萄弹,左轮手枪,鲨齿爪
  5. RR=232 anchor_m=232 Swiss=9 | 三花,靴里剑,手斧,流星索,葡萄弹,左轮手枪,鲨齿爪
  6. RR=229 anchor_m=229 Swiss=8 | 靴里剑,手斧,流星索,葡萄弹,左轮手枪,独角鲸,鲨齿爪
  7. RR=227 anchor_m=225 Swiss=9 | 靴里剑,手斧,葡萄弹,左轮手枪,刺刀,鲨齿爪,舱底蠕虫
  8. RR=224 anchor_m=221 Swiss=8 | 靴里剑,手斧,葡萄弹,弹簧刀,左轮手枪,刺刀,鲨齿爪
  9. RR=211 anchor_m=211 Swiss=9 | 靴里剑,手斧,流星索,葡萄弹,飞鱼,左轮手枪,鲨齿爪
  10. RR=205 anchor_m=203 Swiss=8 | 靴里剑,手斧,葡萄弹,弹簧刀,左轮手枪,鲨齿爪,三花
  11. RR=201 anchor_m=200 Swiss=9 | 靴里剑,藏刃匕首,手斧,流星索,葡萄弹,左轮手枪,鲨齿爪
  12. RR=204 anchor_m=191 Swiss=9 | 水草,珊瑚,马龙鱼,弹簧刀,手斧,飞鱼,淬锋钢
  13. RR=194 anchor_m=193 Swiss=8 | 靴里剑,手斧,舱底蠕虫,葡萄弹,左轮手枪,鲨齿爪,三花
  14. RR=190 anchor_m=190 Swiss=9 | 珊瑚,靴里剑,手斧,舱底蠕虫,葡萄弹,左轮手枪,鲨齿爪
  15. RR=186 anchor_m=186 Swiss=8 | 靴里剑,手斧,抓钩,葡萄弹,左轮手枪,刺刀,鲨齿爪
  16. RR=182 anchor_m=182 Swiss=8 | 靴里剑,手斧,流星索,淬锋钢,葡萄弹,左轮手枪,鲨齿爪
  17. RR=181 anchor_m=181 Swiss=8 | 靴里剑,手斧,葡萄弹,左轮手枪,刺刀,三花,鲨齿爪
  18. RR=181 anchor_m=179 Swiss=8 | 抓钩,靴里剑,手斧,舱底蠕虫,葡萄弹,左轮手枪,鲨齿爪
  19. RR=180 anchor_m=180 Swiss=8 | 靴里剑,手斧,葡萄弹,弹簧刀,左轮手枪,鲨齿爪,珊瑚
  20. RR=176 anchor_m=175 Swiss=8 | 靴里剑,手斧,葡萄弹,弹簧刀,左轮手枪,淬锋钢,鲨齿爪

[GDF] seeds: 手里剑
[GDF] size=8 top 20
  1. RR=210 anchor_m=15 Swiss=9 | 步枪,填弹杆,手雷,手里剑,葡萄弹,淬锋钢
  2. RR=204 anchor_m=139 Swiss=8 | 马龙鱼,弹簧刀,手里剑,淬锋钢,手斧,鲨齿爪
  3. RR=181 anchor_m=122 Swiss=9 | 马龙鱼,手里剑,手斧,飞鱼,鲨齿爪,淬锋钢
  4. RR=165 anchor_m=138 Swiss=8 | 沙滩充气球,马龙鱼,弹簧刀,手里剑,淬锋钢,葡萄弹
  5. RR=206 anchor_m=52 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,手里剑,淬锋钢,手斧,舱底蠕虫
  6. RR=172 anchor_m=108 Swiss=7 | 马龙鱼,弹簧刀,手里剑,淬锋钢,鲨齿爪,飞鱼
  7. RR=185 anchor_m=61 Swiss=9 | 水草,马龙鱼,弹簧刀,手里剑,手斧,飞鱼,淬锋钢
  8. RR=204 anchor_m=21 Swiss=8 | 步枪,填弹杆,手里剑,救生圈,淬锋钢
  9. RR=161 anchor_m=101 Swiss=8 | 马龙鱼,弹簧刀,手里剑,淬锋钢,鲨齿爪,左轮手枪
  10. RR=205 anchor_m=2 Swiss=9 | 舱底蠕虫,珊瑚,步枪,填弹杆,手里剑,淬锋钢
  11. RR=140 anchor_m=132 Swiss=9 | 马龙鱼,弹簧刀,手里剑,葡萄弹,淬锋钢,鲨齿爪
  12. RR=180 anchor_m=45 Swiss=8 | 沙滩充气球,马龙鱼,弹簧刀,手里剑,舱底蠕虫,淬锋钢
  13. RR=184 anchor_m=27 Swiss=9 | 手里剑,燃烧响炮,火炮,毒须鲶,鹦鹉皮特,绵鳚,打火机
  14. RR=170 anchor_m=51 Swiss=10 | 珊瑚,马龙鱼,手里剑,鲨齿爪,飞鱼,淬锋钢
  15. RR=193 anchor_m=4 Swiss=8 | 绵鳚,步枪,填弹杆,手里剑,珊瑚,淬锋钢
  16. RR=185 anchor_m=19 Swiss=8 | 步枪,填弹杆,手里剑,珊瑚,葡萄弹,淬锋钢
  17. RR=204 anchor_m=-21 Swiss=8 | 步枪,填弹杆,手雷,手里剑,珊瑚,淬锋钢
  18. RR=170 anchor_m=44 Swiss=7 | 手里剑,燃烧响炮,火炮,毒须鲶,绵鳚,打火机,手斧
  19. RR=185 anchor_m=9 Swiss=9 | 海螺壳,步枪,填弹杆,手里剑,珊瑚,淬锋钢
  20. RR=136 anchor_m=96 Swiss=8 | 步枪,填弹杆,手里剑,刺刀,珊瑚,淬锋钢

[GDF] seeds: 手雷
[GDF] size=8 top 20
  1. RR=220 anchor_m=126 Swiss=9 | 步枪,填弹杆,手雷,救生圈,淬锋钢
  2. RR=210 anchor_m=181 Swiss=9 | 流星索,步枪,填弹杆,手雷,葡萄弹,手斧
  3. RR=195 anchor_m=138 Swiss=9 | 步枪,填弹杆,手雷,珊瑚,葡萄弹,淬锋钢
  4. RR=187 anchor_m=150 Swiss=9 | 藏刃匕首,葡萄弹,手斧,步枪,填弹杆,手雷
  5. RR=187 anchor_m=149 Swiss=8 | 靴里剑,绵鳚,步枪,填弹杆,手雷,手斧
  6. RR=183 anchor_m=155 Swiss=8 | 抓钩,葡萄弹,步枪,填弹杆,手雷,手斧
  7. RR=183 anchor_m=152 Swiss=9 | 靴里剑,葡萄弹,步枪,填弹杆,手雷,手斧
  8. RR=183 anchor_m=152 Swiss=8 | 步枪,填弹杆,手雷,淬锋钢,靴里剑,手斧
  9. RR=193 anchor_m=125 Swiss=9 | 步枪,填弹杆,手雷,手斧,舱底蠕虫,淬锋钢
