anchor	rr	anchor_m	swiss	deck
皮皮虾	257	257	10	海螺壳,打火机,海底热泉,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,燃烧响炮
绵鳚	264	264	10	珊瑚,马龙鱼,绵鳚,鲨齿爪,淬锋钢,手斧,飞鱼,打火机
舱底蠕虫	263	85	9	舱底蠕虫,狼筅,藏刃匕首,绵鳚,鲨齿爪,左轮手枪,葡萄弹,手斧
葡萄弹	233	136	8	舱底蠕虫,手斧,火药角,手雷,葡萄弹,鲨齿爪,淬锋钢,马龙鱼
藏刃匕首	261	155	9	舱底蠕虫,手斧,鲨齿爪,藏刃匕首,弹簧刀,武士刀,刺刀,淬锋钢
迷你弯刀	238	224	10	鲨齿爪,葡萄弹,左轮手枪,弹簧刀,迷你弯刀,狼筅,手斧,靴里剑
迷幻蝠鲼	264	263	9	水草,海底热泉,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,燃烧响炮,打火机,海螺壳
钓鱼竿	224	209	10	珍珠,海螺壳,珊瑚,钓鱼竿,毒须鲶,绵鳚,水草,鱼饵,打火机
铲子	246	155	9	湿件战服,马龙鱼,弹簧刀,铲子,手斧,飞鱼,淬锋钢
雪怪蟹	229	209	9	水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼,飞鱼,鱼饵,海螺壳,淬锋钢
靴里剑	244	160	9	舱底蠕虫,靴里剑,淬锋钢,鲨齿爪,手斧,飞鱼,弹簧刀,马龙鱼
飞鱼	241	214	9	珊瑚,马龙鱼,绵鳚,鲨齿爪,打火机,手斧,飞鱼,淬锋钢
食人鱼	257	83	9	珊瑚,马龙鱼,绵鳚,鲨齿爪,淬锋钢,食人鱼,手斧,舱底蠕虫
马龙鱼	244	244	8	珊瑚,马龙鱼,绵鳚,鲨齿爪,手斧,飞鱼,淬锋钢,燃烧响炮
鱼饵	248	46	9	珊瑚,舱底蠕虫,鱼饵,飞鱼,淬锋钢,鲨齿爪,绵鳚,马龙鱼
鲨齿爪	261	261	9	靴里剑,手斧,鲨齿爪,葡萄弹,左轮手枪,弹簧刀,武士刀,刺刀
鹦鹉皮特	238	111	8	舱底蠕虫,鹦鹉皮特,飞鱼,手斧,淬锋钢,鲨齿爪,绵鳚,马龙鱼
龙涎香	264	57	8	淬锋钢,飞鱼,龙涎香,手斧,鲨齿爪,绵鳚,马龙鱼,水草
