final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
34,"蔻森娜纹章,恶鬼面具,打火机,绵鳚,燃烧响炮,燃烧子弹,套娃,流星索,靴里剑",2869,24,3,32
35,"小冰镐,套娃,水车,步枪,填弹杆,流星索",2847,24,0,35
36,"拍立蚌,大钢弩,燃烧响炮,绵鳚,加速烙刀,烈酒杯,星盘",2766,24,1,34
37,"海底热泉,绵鳚,葡萄弹,打火机,流星索,燃烧响炮,鱼雷,蔻森娜纹章",2595,22,1,36
37,"湿件战服,淬锋钢,带刃悬浮板,潜水配重,独角鲸,弹簧刀,手斧,舱底蠕虫",2595,28,0,31
39,"燃烧响炮,潜行滑翔机,飞鱼,小冰镐,绵鳚,湿件战服,打火机",2533,24,0,35
40,"手斧,流星索,小冰镐,弹簧刀,武士刀,水车,淬锋钢",2397,20,0,39
41,"流星索,靴里剑,手里剑,刺刀,葡萄弹,鲨齿爪,小冰镐,左轮手枪,手斧",2249,19,2,38
42,"牌桌,码头缆索,马龙鱼,水车,淬锋钢",2232,18,0,41
43,"理查森先生,淬锋钢,水车,套娃,弯刀,码头缆索",2122,18,0,41
44,"流星索,手斧,手雷,填弹杆,步枪,绵鳚,小冰镐,葡萄弹",2038,17,0,42
45,"理查森先生,潜水配重,旗舰,淬锋钢,鸦巢,蔻森娜纹章",2022,13,1,45
46,"大钢弩,鳐鲨,吸血章鱼,水母,救生圈,潜水配重,飞鱼",1927,11,1,47
47,"枪套,风暴瓶,绵鳚,打火机,燃烧子弹,拍立蚌,大钢弩,燃烧响炮",1869,17,1,41
48,"珊瑚,潜水配重,港口,流星索,鱼雷,救生圈",1795,15,0,44
49,"葡萄弹,港口,绵鳚,鱼雷,燃烧响炮,流星索,手雷",1687,15,0,44
50,"小冰镐,喷射摩托,理查森先生,潜行滑翔机,潜水配重,飞鱼",1670,16,0,43
51,"鱼饵,淬锋钢,燃烧子弹,潜艇,湿件战服,绵鳚,小冰镐",1646,13,0,46
52,"船首像,舱底蠕虫,手斧,手里剑,弹簧刀,武士刀,刺刀,淬锋钢",1600,14,0,45
53,"鱼雷,手雷,港口,水车,套娃",1546,16,0,43
54,"燃烧响炮,燃烧子弹,潜行滑翔机,绵鳚,加速烙刀,飞鱼,打火机",1481,9,0,50
55,"淬锋钢,水车,火药角,双管霰弹枪,鸦巢",1426,14,0,45
56,"毒须鲶,雪怪蟹,元素深水炸弹,船舵,小冰镐,鸦巢",1329,11,1,47
57,"狼筅,加速烙刀,标枪,绵鳚,打火机,枪套,燃烧响炮",1057,10,0,49
58,"潜水配重,珊瑚,淬锋钢,火药角,双管霰弹枪,消音器,鸦巢",1028,7,0,52
59,"小冰镐,淬锋钢,火药角,双管霰弹枪,水车,珊瑚,理查森先生",1001,8,0,51
60,"淬锋钢,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,吸血章鱼,鸦巢",896,6,1,52
