final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
43,"燃烧响炮,小冰镐,绵鳚,风暴瓶,雪怪蟹,水母,珊瑚,打火机,流星索",1863,15,0,41
44,"淬锋钢,理查森先生,拍立蚌,水车,迷你弯刀,潜水配重,六分仪",1730,9,1,46
45,"盐钳海盗,迷幻蝠鲼,皮皮虾,飞鱼,海狗沙龙,绵鳚,鳐鲨",1724,15,1,40
46,"枪套,燃烧响炮,加速烙刀,绵鳚,潜水配重,水母,河豚,燃烧子弹",1720,17,1,38
47,"海影宝驹,迷幻蝠鲼,理查森先生,淬锋钢,水车,弯刀",1705,13,0,43
48,"淬锋钢,水车,马龙鱼,弹簧刀,牌桌,小冰镐",1615,14,1,41
49,"船长舱,淬锋钢,迷你弯刀,码头缆索,潜水配重,六分仪",1583,7,0,49
50,"淬锋钢,水车,武士刀,弹簧刀,小冰镐,理查森先生,迷幻蝠鲼",1245,11,0,45
51,"小冰镐,套娃,水车,淬锋钢,理查森先生,珊瑚,狼筅",1088,6,1,49
51,"淬锋钢,旗舰,潜水配重,蔻森娜纹章,鸦巢,雪怪蟹",1088,6,0,50
53,"船长舱,淬锋钢,旗舰,潜水配重,六分仪",999,4,0,52
54,"海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,潜艇,小冰镐",909,6,0,50
55,"珊瑚,潜水配重,码头缆索,淬锋钢,水车,弯刀",869,6,0,50
56,"飞鱼,潜水配重,理查森先生,喷射摩托,淬锋钢,潜行滑翔机",863,7,0,49
57,"燃烧响炮,鲨齿爪,绵鳚,小冰镐,飞鱼,抛石机,手斧",806,6,0,50
