order,node_index,signature
27,89,"枪套,燃烧响炮,加速烙刀,绵鳚,潜水配重,水母,河豚,燃烧子弹"
28,94,"船长舱,淬锋钢,迷你弯刀,码头缆索,潜水配重,六分仪"
29,95,"手斧,小冰镐,流星索,沙滩充气球,潜水配重,带刃悬浮板,深潜器"
30,96,"燃烧响炮,小冰镐,潜水配重,绵鳚,加速烙刀,枪套,打火机,海影宝驹"
31,99,"盐钳海盗,迷幻蝠鲼,皮皮虾,飞鱼,海狗沙龙,绵鳚,鳐鲨"
32,102,"小冰镐,流星索,船长舱,潜水配重,带刃悬浮板,深潜器"
33,103,"流星索,鱼雷,船舵,潜水配重,拍立蚌,港口"
34,106,"火药角,烈酒杯,拍立蚌,流星索,抓钩,牌桌,十手,锁镰,皮皮虾"
35,108,"海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,潜艇,小冰镐"
36,111,"燃烧响炮,篝火,珊瑚,加速烙刀,绵鳚,打火机,火炮"
37,120,"淬锋钢,理查森先生,拍立蚌,水车,迷你弯刀,潜水配重,六分仪"
38,122,"枪套,流星索,大钢弩,火药角,烈酒杯,拍立蚌,潜水配重,皮皮虾,十手"
39,126,"火药角,烈酒杯,枪套,流星索,抓钩,大钢弩,牌桌,皮皮虾"
40,127,"淬锋钢,水车,吸血章鱼,潜水配重,六分仪,牌桌"
41,129,"燃烧响炮,狼筅,绵鳚,珊瑚,大钢弩,打火机,篝火"
42,133,"小冰镐,船舵,绵鳚,藏刃匕首,大钢弩,抛石机"
43,134,"抛石机,燃烧响炮,藏刃匕首,船舵,绵鳚,加速烙刀"
44,135,"理查森先生,藏刃匕首,拍立蚌,水车,船舵,加速烙刀"
45,136,"十手,船长舱,流星索,烈酒杯,皮皮虾,手雷,锁镰,小冰镐"
46,137,"水草,绵鳚,元素深水炸弹,雪怪蟹,毒须鲶,潜水配重,船首像,小冰镐"
47,144,"蔻森娜纹章,小冰镐,绵鳚,打火机,燃烧响炮,靴里剑,葡萄弹,赛博铁尺,珊瑚"
48,145,"淬锋钢,套娃,水车,连发步枪,填弹杆,燃烧响炮"
49,153,"燃烧响炮,拍立蚌,小冰镐,珊瑚,元素深水炸弹,绵鳚,风暴瓶,雪怪蟹"
50,157,"流星索,小冰镐,火药角,鱼雷,潜水配重,水车,拍立蚌"
51,161,"燃烧响炮,鲨齿爪,绵鳚,小冰镐,飞鱼,抛石机,手斧"
52,163,"珊瑚,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,鳐鲨"
53,19,"大钢弩,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀"
54,72,"烈酒杯,流星索,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪"
55,17,"加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,枪套,流星索"
56,155,"燃烧响炮,小冰镐,绵鳚,风暴瓶,雪怪蟹,水母,珊瑚,打火机,流星索"
57,24,"淬锋钢,水车,马龙鱼,弹簧刀,牌桌,小冰镐"
